 	il	est	asthmatique	</S>
a23	0.492991	0.133616	0.142151	0.231242
a87	0.417732	0.19934	0.160641	0.222287
a23	0.435899	0.248974	0.139133	0.175993
a20	0.151491	0.118399	0.25711	0.473
a41	0.39696	0.203663	0.260683	0.138694
a26	0.469805	0.338164	0.140187	0.0518446
a24	0.427742	0.333824	0.156882	0.0815516
a26	0.405269	0.290114	0.189777	0.11484
a24	0.339183	0.316963	0.197377	0.146477
a41	0.188569	0.224644	0.293884	0.292903
a94	0.113669	0.140685	0.303598	0.442047
a66	0.114449	0.116361	0.234423	0.534768
a75	0.0663242	0.0907829	0.239457	0.603436
a41	0.0257755	0.0607392	0.275355	0.63813
a2	0.0131407	0.0466116	0.294747	0.645501
a38	0.019592	0.0467881	0.232045	0.701575
a90	0.00572393	0.0203391	0.169245	0.804692
a4	0.0119885	0.0396804	0.210333	0.737998
a57	0.0144276	0.0348037	0.20421	0.746559
a3	0.0146476	0.0457195	0.217389	0.722244
a87	0.0218996	0.0480747	0.153657	0.776368
</S>	0.0386834	0.0854015	0.215164	0.660751
