 	criez	fort	</S>
a10	0.586405	0.221429	0.192166
a50	0.617731	0.250076	0.132193
a62	0.588886	0.240057	0.171057
a21	0.741879	0.177659	0.080462
a96	0.777019	0.156091	0.0668899
a88	0.787782	0.145168	0.06705
a61	0.587703	0.257275	0.155021
a21	0.566418	0.259428	0.174154
a85	0.503272	0.297179	0.199548
a2	0.377379	0.294724	0.327897
a38	0.0771713	0.252361	0.670468
a85	0.0488343	0.221148	0.730017
a37	0.0424902	0.20598	0.75153
a66	0.0294199	0.169229	0.801351
a9	0.0326694	0.181615	0.785715
a87	0.191027	0.255975	0.552998
a23	0.388006	0.319713	0.292282
a87	0.281392	0.355731	0.362877
a23	0.157155	0.355531	0.487314
a87	0.151788	0.361328	0.486884
</S>	0.15627	0.310853	0.532876
