 	les	adultes	ont	des	poils	pubiens	</S>
a66	0.352244	0.298367	0.149062	0.10453	0.0484119	0.0277055	0.0196787
a87	0.405916	0.189676	0.135149	0.128791	0.0819875	0.0341016	0.0243785
a23	0.57354	0.273852	0.0687709	0.0312884	0.022778	0.0159258	0.0138443
a87	0.468468	0.307464	0.0974869	0.0257005	0.0224097	0.0261938	0.0522773
a23	0.502207	0.317383	0.109248	0.0244669	0.0129121	0.0144772	0.0193051
a54	0.347494	0.170288	0.121411	0.0954043	0.0950121	0.0742067	0.0961836
a6	0.236489	0.297173	0.292358	0.0952358	0.0415366	0.0157377	0.0214693
a47	0.103391	0.181254	0.309248	0.230636	0.132086	0.0304669	0.0129164
a37	0.0441213	0.0767775	0.235143	0.295136	0.259503	0.0623294	0.0269903
a92	0.0709348	0.0888504	0.174311	0.267674	0.243746	0.099119	0.0553657
a5	0.083877	0.101617	0.168305	0.203509	0.191872	0.156276	0.0945437
a21	0.048983	0.0606566	0.0678568	0.0956346	0.19352	0.294623	0.238726
a5	0.00808231	0.00959827	0.0128894	0.0482721	0.163235	0.361134	0.396789
a36	0.00363135	0.0044909	0.00574145	0.0183773	0.0839047	0.276344	0.60751
a43	0.00194508	0.00152197	0.00142067	0.00543718	0.0314618	0.161579	0.796635
a62	0.0126496	0.00813287	0.00661536	0.0141761	0.0492368	0.135106	0.774083
a88	0.00422575	0.00425294	0.00959623	0.032256	0.0833577	0.219358	0.646953
a9	0.00167023	0.00182996	0.00256868	0.00880978	0.0427943	0.152335	0.789993
a10	0.112212	0.0807963	0.0371878	0.0330782	0.0614081	0.156289	0.519029
a87	0.223794	0.151577	0.0507312	0.0475945	0.0786318	0.161407	0.286264
a23	0.347493	0.281419	0.109046	0.0514719	0.0410422	0.0723154	0.0972123
a87	0.209307	0.132349	0.0683299	0.0461826	0.0749568	0.133126	0.33575
a23	0.0104896	0.0065703	0.00498502	0.0116251	0.0662472	0.200572	0.699511
</S>	0.0193099	0.0144629	0.0149969	0.0252357	0.0831025	0.219453	0.623439
