 	sa	jambe	est	enfoncée	dans	la	boue	</S>
a66	0.26969	0.225784	0.18366	0.151794	0.0882408	0.0469052	0.020208	0.0137186
a87	0.440625	0.300173	0.120489	0.0459999	0.0388195	0.0242539	0.0175056	0.0121351
a23	0.312899	0.3313	0.21298	0.0672057	0.0260425	0.0256368	0.01423	0.0097065
a50	0.321742	0.34406	0.18954	0.0736003	0.0174217	0.0170501	0.0168613	0.019725
a62	0.339684	0.284575	0.157842	0.0941272	0.028838	0.0314106	0.0367365	0.026787
a88	0.282976	0.368183	0.196578	0.0649156	0.0238786	0.0222574	0.0237658	0.017446
a38	0.210379	0.335512	0.22423	0.0975743	0.0429777	0.0338644	0.0314643	0.0239982
a93	0.162335	0.26133	0.208958	0.111178	0.060911	0.0546609	0.0711669	0.0694594
a90	0.17013	0.224011	0.212465	0.124748	0.0714588	0.0575226	0.0712542	0.0684097
a15	0.12804	0.172128	0.174758	0.154263	0.104807	0.0811566	0.0937387	0.0911087
a90	0.0812546	0.116143	0.135499	0.216001	0.160181	0.100845	0.0903592	0.0997169
a93	0.0699069	0.0936836	0.115403	0.229773	0.148901	0.0988013	0.102705	0.140827
a56	0.0795395	0.109299	0.151245	0.239641	0.110721	0.0719561	0.0947621	0.142836
a37	0.0867435	0.109566	0.174649	0.284568	0.12101	0.0612643	0.0654976	0.0967002
a92	0.0304337	0.0437035	0.0852837	0.296546	0.181296	0.102771	0.10199	0.157976
a75	0.00915194	0.0133765	0.0304793	0.180946	0.178171	0.166715	0.170132	0.251029
a92	0.00849649	0.0115419	0.0262245	0.152126	0.210549	0.204807	0.171294	0.21496
a44	0.00901926	0.0116706	0.0255876	0.13533	0.177944	0.205995	0.196937	0.237516
a90	0.00787923	0.00745921	0.0114913	0.0820636	0.110368	0.170201	0.260158	0.350379
a92	0.00286837	0.00332353	0.00595907	0.0513956	0.101983	0.187204	0.302895	0.344371
a75	0.00184461	0.00208556	0.00375008	0.0390817	0.0809088	0.174942	0.308199	0.389189
a56	0.0014545	0.00156019	0.002816	0.0292585	0.0621757	0.154907	0.342625	0.405204
a44	0.00154175	0.00134411	0.00207906	0.0146983	0.0308087	0.0985881	0.294013	0.556927
a56	0.00146876	0.00109739	0.00129056	0.00614274	0.0135612	0.0604819	0.254521	0.661437
a11	0.00122055	0.00110174	0.00136722	0.00607315	0.0165684	0.0803341	0.252696	0.640639
a93	0.00126536	0.0008746	0.000961549	0.00299342	0.0118068	0.064863	0.237393	0.679842
a70	0.000786384	0.000643554	0.000750328	0.00290534	0.00882999	0.0523622	0.243176	0.690546
a50	0.00113041	0.00111764	0.0013753	0.00390253	0.0116554	0.0616203	0.261559	0.65764
a88	0.0022225	0.00193149	0.00260575	0.00690393	0.0228339	0.0934361	0.272702	0.597364
a71	0.0017798	0.00134812	0.00170667	0.00513487	0.0207412	0.0859041	0.269186	0.6142
a26	0.0115666	0.00624343	0.00566784	0.010636	0.0363599	0.0828289	0.230001	0.616697
a3	0.0572075	0.0267204	0.0214731	0.0294789	0.059449	0.0978428	0.208013	0.499815
a87	0.187983	0.120425	0.0998961	0.094461	0.0862023	0.113027	0.12957	0.168435
a23	0.145856	0.124851	0.118913	0.144534	0.122103	0.145667	0.111764	0.0863128
a87	0.0431568	0.0359272	0.0245252	0.0265285	0.0546219	0.133966	0.265936	0.415339
</S>	0.0210707	0.0189212	0.0174251	0.0330431	0.0464172	0.100839	0.221652	0.540631
