 	ils	ont	levé	l'	ancre	hier	</S>
a97	0.114507	0.0758374	0.0702249	0.0954751	0.1181	0.200367	0.325487
a87	0.175643	0.111775	0.106689	0.117355	0.108835	0.138099	0.241604
a23	0.205783	0.108837	0.0974412	0.0997509	0.0935897	0.136441	0.258157
a38	0.0872099	0.0559946	0.0927639	0.133755	0.163945	0.187074	0.279257
a30	0.264356	0.148302	0.134709	0.126122	0.126798	0.104141	0.0955725
a35	0.234668	0.108957	0.139585	0.127264	0.15164	0.132283	0.105601
a57	0.354012	0.184409	0.140426	0.104753	0.0910867	0.0707985	0.0545146
a38	0.230554	0.162981	0.153544	0.124826	0.11636	0.108137	0.103599
a41	0.258457	0.200493	0.170262	0.1322	0.101613	0.0780893	0.0588855
a35	0.256354	0.219945	0.165104	0.134935	0.101106	0.0723196	0.0502371
a24	0.25468	0.23863	0.162063	0.129927	0.0992686	0.0668897	0.0485428
a35	0.189152	0.190326	0.161418	0.140404	0.140368	0.100429	0.0779049
a14	0.119555	0.149962	0.15915	0.148858	0.165594	0.136364	0.120517
a73	0.0959277	0.128068	0.139031	0.14274	0.180443	0.160263	0.153527
a84	0.0346571	0.0565398	0.118045	0.147859	0.229905	0.214302	0.198692
a57	0.0210574	0.0363346	0.0936119	0.125533	0.205276	0.246529	0.271658
a79	0.0197361	0.0331234	0.0851322	0.113001	0.214088	0.244183	0.290736
a20	0.0165984	0.0256114	0.0749631	0.104294	0.22691	0.259958	0.291665
a73	0.0112859	0.0163749	0.0445238	0.0726592	0.162811	0.27312	0.419225
a57	0.0026167	0.00439129	0.023432	0.0452607	0.130283	0.302297	0.491719
a87	0.00176098	0.00344228	0.0187968	0.0349061	0.0998991	0.294268	0.546927
</S>	0.00374935	0.0103352	0.038539	0.0621185	0.122147	0.260137	0.502974
