 	ma	mère	a	un	foulard	de	couleur	noire	</S>
a66	0.354659	0.210034	0.12096	0.0774636	0.0617779	0.0457046	0.0444801	0.0472265	0.0376951
a97	0.211121	0.150117	0.115156	0.103871	0.106118	0.0793672	0.096327	0.0716967	0.0662253
a13	0.414775	0.189251	0.100283	0.0640817	0.0521812	0.0446888	0.0582735	0.0418612	0.0346042
a70	0.497575	0.231932	0.10686	0.0515011	0.0280671	0.0197742	0.0251686	0.0197581	0.0193643
a53	0.392483	0.209811	0.132089	0.0757696	0.0471736	0.0344055	0.043257	0.0328656	0.0321462
a90	0.329846	0.221365	0.165692	0.110357	0.0504132	0.0308758	0.0439366	0.02512	0.0223943
a15	0.214857	0.197214	0.219361	0.151889	0.0620126	0.0333993	0.0557127	0.0346298	0.0309254
a56	0.15197	0.168971	0.210293	0.177904	0.0931384	0.0491961	0.0662732	0.0454709	0.0367839
a96	0.121255	0.153061	0.20765	0.17803	0.108173	0.0658264	0.0762568	0.0521256	0.0376232
a85	0.0490662	0.0748356	0.12935	0.158876	0.140503	0.111963	0.13836	0.11904	0.0780078
a5	0.0241852	0.0404025	0.069027	0.116953	0.16953	0.155858	0.161109	0.161347	0.10159
a18	0.0157407	0.0257454	0.0430568	0.0854072	0.156389	0.159145	0.167182	0.203732	0.143601
a61	0.00797749	0.0126495	0.0203081	0.0484467	0.112104	0.13952	0.165862	0.223581	0.269551
a47	0.00640969	0.0100722	0.015029	0.0311884	0.0806678	0.119133	0.129741	0.256224	0.351534
a88	0.00564381	0.00905328	0.0125537	0.0236738	0.0527095	0.0825391	0.11108	0.220068	0.48268
a0	0.0030039	0.00520614	0.00775816	0.0157891	0.0393266	0.0753379	0.108485	0.218767	0.526326
a11	0.00486203	0.0080352	0.0107557	0.0218091	0.0336675	0.0670409	0.136785	0.244634	0.47241
a96	0.00314259	0.00451462	0.0065084	0.0140602	0.0299619	0.0750861	0.126431	0.245395	0.4949
a21	0.00237414	0.00400017	0.00538472	0.0124775	0.0270825	0.0608671	0.107674	0.24013	0.54001
a94	0.00404283	0.00557426	0.0069589	0.0147607	0.0308838	0.0629219	0.106568	0.223343	0.544947
a58	0.00215685	0.00372807	0.00517394	0.0126845	0.0293116	0.0678082	0.117587	0.246681	0.514869
a38	0.0100953	0.0139841	0.0173786	0.0329369	0.0622519	0.123569	0.158429	0.224342	0.357014
a9	0.0130843	0.0153362	0.0191658	0.0332738	0.0578305	0.109405	0.150152	0.216617	0.385135
a87	0.0619702	0.054778	0.0526538	0.0733157	0.107653	0.139824	0.16023	0.167255	0.18232
a10	0.201433	0.150304	0.115447	0.10352	0.0890165	0.0834894	0.0926004	0.0776845	0.086505
a87	0.158943	0.137283	0.119079	0.110257	0.0801978	0.0714599	0.0894275	0.0817142	0.15164
a23	0.0755982	0.0722714	0.0736332	0.0872357	0.0917235	0.0943964	0.109214	0.142519	0.253408
a99	0.0661589	0.065867	0.0692448	0.105737	0.127703	0.111105	0.100034	0.120524	0.233626
a87	0.0377794	0.0384251	0.0413	0.069811	0.100584	0.111203	0.117165	0.167973	0.315759
a97	0.0298481	0.0336892	0.0430021	0.0721951	0.0947156	0.105626	0.112826	0.169468	0.338629
</S>	0.0773508	0.0716929	0.0684607	0.0923887	0.110515	0.119151	0.116373	0.131988	0.21208
