 	l'	enfant	s'	est	recroquevillé	dans	le	pagne	à	cause	du	froid	</S>
a66	0.315255	0.241828	0.126148	0.0742047	0.0481493	0.0285172	0.0338874	0.0372857	0.0277113	0.0230861	0.0165487	0.0147701	0.0126085
a87	0.202539	0.0558717	0.0282376	0.022479	0.0174061	0.0297009	0.0556198	0.0880993	0.0913734	0.0986494	0.0999744	0.113613	0.0964361
a97	0.122121	0.0623718	0.0518415	0.0577736	0.0656538	0.0585642	0.0910581	0.123387	0.107874	0.0956944	0.0657349	0.0540706	0.0438549
a87	0.0852341	0.0499444	0.0682356	0.0997398	0.156992	0.113796	0.112203	0.105314	0.0811331	0.0541778	0.0340693	0.0216561	0.0175043
a97	0.0894045	0.0514936	0.0726753	0.103188	0.1383	0.103367	0.112136	0.111363	0.0878501	0.0565295	0.0350927	0.0216089	0.0169918
a38	0.0953606	0.0533116	0.0730096	0.097637	0.110213	0.0897911	0.103718	0.112733	0.0981546	0.0703439	0.0456239	0.0283942	0.0217085
a90	0.225018	0.0918482	0.0549138	0.0408223	0.0391905	0.0391414	0.0675547	0.0967785	0.106696	0.0997322	0.0638725	0.045401	0.0290302
a92	0.27826	0.155622	0.0833934	0.0490643	0.0306314	0.0233513	0.0279994	0.0397779	0.0448495	0.0672879	0.0687123	0.0726538	0.0583965
a85	0.16876	0.126294	0.0914949	0.0767849	0.062752	0.0484331	0.0602686	0.0667276	0.0570899	0.0635766	0.0596154	0.062137	0.0560657
a79	0.126969	0.148418	0.106223	0.085128	0.0567362	0.0631118	0.0669679	0.0627127	0.0501082	0.0467803	0.0486028	0.0663647	0.0718775
a44	0.0879561	0.145881	0.163578	0.143111	0.0854886	0.0707977	0.0660171	0.0517248	0.0372166	0.0332922	0.0327242	0.0391723	0.0430403
a93	0.0754505	0.115383	0.172086	0.18557	0.126875	0.0876754	0.0684266	0.0459467	0.0285288	0.0230196	0.0219025	0.0228447	0.0262911
a56	0.0929608	0.124013	0.148002	0.149056	0.143604	0.0918933	0.0700087	0.0481334	0.0307129	0.02426	0.0234877	0.0243818	0.0294859
a75	0.0426124	0.0656464	0.107132	0.131022	0.157371	0.123104	0.104106	0.0784154	0.0521398	0.0375639	0.0325366	0.0317021	0.0366473
a56	0.0122292	0.024524	0.0582155	0.0992329	0.154079	0.160084	0.131691	0.0955552	0.0714821	0.0552296	0.0466171	0.0422404	0.0488204
a34	0.0112401	0.0232758	0.0637741	0.114333	0.179976	0.179648	0.13452	0.0902097	0.0577461	0.039669	0.0331036	0.0321689	0.0403347
a56	0.00447894	0.00827434	0.0256999	0.0596096	0.176003	0.208543	0.159975	0.110307	0.0719202	0.050942	0.04185	0.0383968	0.0439999
a61	0.00264249	0.00461704	0.0164182	0.0424844	0.149343	0.212295	0.172057	0.119846	0.0795036	0.056516	0.0473199	0.0452667	0.0516904
a0	0.00123815	0.00187082	0.00657756	0.0190541	0.106572	0.199373	0.170829	0.121819	0.0892309	0.0677206	0.0657125	0.0705139	0.0794884
a88	0.00132281	0.00179541	0.00390159	0.00936338	0.0713844	0.154708	0.145661	0.116249	0.0991079	0.093942	0.0935905	0.103343	0.105631
a9	0.000793363	0.00124494	0.0029939	0.00718341	0.0509827	0.124425	0.130055	0.106381	0.101267	0.109143	0.115752	0.122402	0.127375
a13	0.00124877	0.00135252	0.00246262	0.0051079	0.0452818	0.132193	0.155117	0.125639	0.131732	0.117404	0.104229	0.0816393	0.0965928
a75	0.00236194	0.00194543	0.00323918	0.00588427	0.0313443	0.114478	0.175402	0.160693	0.167913	0.131031	0.0931728	0.0541872	0.0583476
a36	0.000176899	0.000263835	0.000744837	0.00250363	0.0105158	0.0263081	0.0410766	0.0441091	0.0620708	0.1154	0.195063	0.232235	0.269532
a37	0.000177688	0.000202842	0.000498842	0.00162583	0.0112924	0.0321008	0.0436924	0.0482714	0.0769506	0.143404	0.20903	0.198527	0.234227
a44	0.000162834	0.000188987	0.000441789	0.00135674	0.00926445	0.0326213	0.0474589	0.0549523	0.081326	0.140798	0.201965	0.197744	0.23172
a57	0.000114856	0.000163388	0.000407384	0.00122952	0.00690697	0.0209561	0.0285788	0.0326858	0.0509977	0.0985796	0.188363	0.250892	0.320125
a38	0.000272777	0.000239648	0.000493965	0.001483	0.0118736	0.0519223	0.0816156	0.078137	0.108117	0.126678	0.166194	0.149039	0.223933
a62	0.00076726	0.000572286	0.000958167	0.00241386	0.0107818	0.0470055	0.0841373	0.0967319	0.119382	0.127754	0.154855	0.13964	0.215002
a88	0.000252519	0.000273352	0.000537223	0.00142422	0.00936934	0.0392371	0.0556959	0.0518294	0.0719968	0.115188	0.183638	0.179126	0.291432
a9	0.000215292	0.000259875	0.000559824	0.00158516	0.0111191	0.0430658	0.0557368	0.0475384	0.0677669	0.105556	0.172133	0.174458	0.320006
a97	0.00357208	0.00349689	0.00491711	0.00921127	0.0326596	0.1035	0.117031	0.0798791	0.0890179	0.0957862	0.138345	0.12126	0.201324
a87	0.022641	0.0154186	0.0154251	0.0198018	0.048187	0.092211	0.113489	0.1038	0.106681	0.102951	0.112177	0.105927	0.141291
a97	0.0135103	0.00873895	0.0121036	0.0172387	0.0370086	0.0993801	0.140564	0.128288	0.122695	0.110762	0.106291	0.101902	0.101517
a87	0.0118239	0.00809909	0.0147215	0.0253491	0.0520553	0.123432	0.156422	0.13863	0.115008	0.091714	0.0844276	0.0876993	0.0906177
