 	dès	qu'	il	a	de	l'	argent	il	se	met	à	boire	</S>
a23	0.291496	0.115333	0.069099	0.056329	0.0456817	0.0510831	0.0743226	0.0713184	0.063691	0.0519004	0.035975	0.0349975	0.0387729
a87	0.312773	0.161719	0.0751439	0.0698696	0.0597708	0.0779592	0.0731488	0.0495502	0.0339683	0.0265537	0.0190062	0.0203349	0.0202026
a23	0.137009	0.138765	0.0900595	0.0973975	0.0861343	0.103399	0.0837469	0.0473681	0.0351939	0.0366045	0.0362122	0.0507933	0.0573165
a20	0.17706	0.136252	0.0762875	0.100247	0.0866748	0.0917147	0.0631472	0.0455695	0.0361305	0.034521	0.0302147	0.0511346	0.0710461
a69	0.440799	0.234039	0.115284	0.0826496	0.0326574	0.0194794	0.0108631	0.0125777	0.0108776	0.00879411	0.00801497	0.00993221	0.014032
a20	0.2105	0.297251	0.166844	0.140808	0.062649	0.0371128	0.0212821	0.0170807	0.0122097	0.00799214	0.00696607	0.00810814	0.0111963
a73	0.139115	0.211446	0.138211	0.140681	0.0967278	0.0798756	0.0594499	0.0414037	0.0277455	0.0193167	0.0146796	0.0151112	0.0162376
a44	0.126008	0.165575	0.14145	0.145386	0.117465	0.0937395	0.0763707	0.0489873	0.0313858	0.0189883	0.0124407	0.0112495	0.0109534
a58	0.113636	0.148769	0.132434	0.140192	0.121831	0.10038	0.0838137	0.0565592	0.0379568	0.0231308	0.0151706	0.0132925	0.0128341
a11	0.0825548	0.121588	0.113773	0.129353	0.119627	0.1089	0.0961191	0.0706287	0.0473708	0.0319005	0.0254141	0.0253041	0.0274664
a24	0.0881113	0.116089	0.105367	0.117415	0.115929	0.107044	0.0985236	0.0775735	0.0571719	0.0387536	0.0277865	0.0250983	0.025138
a94	0.0858406	0.0933692	0.087464	0.0991115	0.107054	0.110726	0.121942	0.102401	0.0763293	0.0464518	0.0266314	0.0217563	0.0209226
a71	0.0789679	0.07168	0.0792571	0.0998498	0.124779	0.130675	0.134185	0.0980316	0.0719271	0.0424716	0.0249119	0.0215577	0.0217061
a20	0.0450388	0.0413338	0.0508426	0.0726858	0.110746	0.13427	0.154225	0.131491	0.0992683	0.0621318	0.0351924	0.0304204	0.0323536
a94	0.0757442	0.0721407	0.0719375	0.0843582	0.102809	0.119776	0.129007	0.0968215	0.0772121	0.0572327	0.040528	0.037122	0.0353105
a53	0.0516094	0.0466491	0.0462832	0.0589489	0.0819205	0.106846	0.138224	0.129016	0.104708	0.0807669	0.0551759	0.0507796	0.0490731
a69	0.0426121	0.0427311	0.0429063	0.0524679	0.0631361	0.0885911	0.138005	0.128773	0.107248	0.0874007	0.066131	0.0708968	0.0691015
a58	0.0411679	0.0399083	0.0376811	0.0472555	0.0565828	0.0771602	0.121418	0.123102	0.106579	0.0944456	0.0780469	0.0874679	0.0891853
a82	0.0154471	0.0153323	0.0163966	0.0283229	0.0402198	0.0606154	0.107999	0.126785	0.116239	0.124048	0.108192	0.118576	0.121826
a87	0.013249	0.0121268	0.0112625	0.0235506	0.0372069	0.0612077	0.106014	0.126858	0.112616	0.115536	0.104659	0.121723	0.153991
a40	0.0164383	0.012215	0.0107408	0.0169738	0.0257894	0.0378286	0.061023	0.0933692	0.0949604	0.114593	0.124461	0.171919	0.219688
a20	0.0322591	0.021015	0.0203616	0.0282878	0.0335018	0.0411446	0.0461948	0.0619917	0.0597412	0.0768249	0.104998	0.181086	0.292594
a58	0.0202375	0.0174075	0.020866	0.0293369	0.0399742	0.0474216	0.0603357	0.0847433	0.0883488	0.10735	0.123428	0.158471	0.20208
a57	0.00740191	0.00731387	0.00819014	0.0140571	0.0193243	0.0257387	0.0388859	0.0503509	0.0576855	0.0894641	0.148117	0.234715	0.298756
a38	0.00572186	0.00512021	0.00458629	0.00836739	0.0128253	0.0193765	0.0336837	0.0516994	0.0577512	0.0958823	0.153246	0.235577	0.316162
a56	0.00678482	0.00514623	0.00510326	0.00913836	0.013969	0.0206222	0.0344106	0.0498538	0.0550591	0.0897708	0.150898	0.235361	0.323883
