 	quand	il	rit	il	couvre	sa	bouche	avec	la	main	parce	qu'	il	a	perdu	des	dents	</S>
a66	0.157033	0.192939	0.127562	0.0823929	0.0597289	0.0477494	0.0420668	0.0391494	0.0370799	0.0448907	0.0382767	0.0352399	0.0249374	0.0188735	0.0136278	0.0131973	0.0129768	0.0122778
a87	0.358068	0.201819	0.0418564	0.0235018	0.0159331	0.014036	0.0175749	0.0180928	0.0184314	0.0218475	0.0249917	0.0231432	0.0185231	0.0239699	0.0340445	0.0454169	0.0515423	0.0472073
a23	0.557362	0.229281	0.0501944	0.0232391	0.0134883	0.0134525	0.0126365	0.0106604	0.00831111	0.00699556	0.00613445	0.00557213	0.00470238	0.00509566	0.00865693	0.0135227	0.0151531	0.0155416
a79	0.321329	0.105358	0.0233107	0.024399	0.0182085	0.0266594	0.0381826	0.0391946	0.0366016	0.0326723	0.0272352	0.0222124	0.0188464	0.0221786	0.0394005	0.0600549	0.0655262	0.0786292
a20	0.136643	0.0778984	0.038291	0.0383006	0.0338786	0.0532775	0.0695273	0.0544548	0.0467807	0.049153	0.0429662	0.0389125	0.0331071	0.0389075	0.0438885	0.0584171	0.0667754	0.0788204
a47	0.173492	0.184184	0.117568	0.0635798	0.0378271	0.040132	0.0405078	0.025628	0.0199015	0.0253694	0.0245463	0.0232934	0.0201384	0.0287902	0.0364444	0.0473318	0.0473149	0.0439515
a85	0.161424	0.147696	0.0750837	0.036039	0.0347104	0.0349497	0.0362821	0.0199888	0.0150291	0.0181884	0.0193788	0.0183315	0.0166761	0.0296692	0.0432207	0.0683472	0.101773	0.123212
a6	0.0529675	0.0915489	0.109048	0.0814392	0.075045	0.0680227	0.0705378	0.0383029	0.0279798	0.0265565	0.0252802	0.0223138	0.0214412	0.0312966	0.0397219	0.0535202	0.0749571	0.0900202
a36	0.115833	0.133266	0.112866	0.080047	0.0707305	0.0593257	0.0623962	0.0363925	0.0284397	0.0273118	0.0250337	0.0226085	0.0208689	0.0252488	0.0273829	0.0341688	0.0487058	0.0693738
a61	0.0773419	0.0925408	0.0978949	0.127047	0.0938108	0.0933444	0.08856	0.0561501	0.0454299	0.0381573	0.0297497	0.0271368	0.0227545	0.0195889	0.016701	0.0179212	0.0240238	0.0318466
a21	0.0431912	0.0702244	0.0987142	0.150921	0.118359	0.11968	0.108235	0.0643607	0.0500023	0.0381697	0.0265314	0.0235794	0.0176346	0.0136945	0.0113176	0.0124258	0.0151875	0.017772
a5	0.0124485	0.0284347	0.0656951	0.148855	0.127464	0.127423	0.125821	0.0822437	0.0679839	0.0527986	0.0360161	0.0307067	0.0215072	0.0147874	0.0112626	0.0116927	0.0154522	0.0194073
a23	0.00604797	0.0131933	0.0358079	0.116744	0.110292	0.126821	0.137422	0.100573	0.0858862	0.0648394	0.0447147	0.0366981	0.0270003	0.0184038	0.0137567	0.0142206	0.0204295	0.0271508
a27	0.00234539	0.00706104	0.0230993	0.0924434	0.105016	0.138054	0.183966	0.126727	0.105351	0.0651293	0.0386215	0.0259774	0.0192757	0.0120171	0.00820999	0.00898987	0.0148974	0.0228185
a25	0.0159844	0.0288754	0.0332367	0.0613973	0.117219	0.174234	0.134129	0.107251	0.0797434	0.0543122	0.0470207	0.0424262	0.0304527	0.0187167	0.0110268	0.00969191	0.0140653	0.0202173
a53	0.0297528	0.0468217	0.0579404	0.0646	0.092648	0.124761	0.118572	0.118047	0.0969143	0.0673444	0.0479228	0.0423362	0.0268456	0.0150719	0.00962552	0.00870584	0.0128972	0.0191924
a15	0.042818	0.0410988	0.0298789	0.0446839	0.071003	0.0980294	0.0867293	0.0860236	0.0742527	0.0627941	0.052612	0.0505545	0.0417957	0.0306754	0.0250258	0.030484	0.0523959	0.079145
a47	0.00210727	0.00361505	0.0114185	0.0496675	0.0901173	0.113905	0.133947	0.122551	0.124515	0.0866804	0.0545602	0.0372165	0.0324652	0.0208495	0.014025	0.0153339	0.0314055	0.0556195
a36	0.000824394	0.00180127	0.00825214	0.0487026	0.100424	0.127062	0.14677	0.133923	0.120363	0.083934	0.0501828	0.0318921	0.0272688	0.0151827	0.00974998	0.0115439	0.0285201	0.0536037
a6	0.00689105	0.0105581	0.0157705	0.0424446	0.0792076	0.108067	0.119055	0.121032	0.123169	0.0831034	0.0575234	0.0433797	0.0385522	0.0204125	0.0132269	0.0157614	0.0378945	0.0639514
a37	0.00233551	0.00396111	0.0117972	0.0494133	0.0687973	0.0893794	0.111145	0.105457	0.113006	0.0823494	0.0520282	0.0339463	0.0349122	0.0239085	0.0202367	0.0247406	0.0593745	0.113212
a5	0.00251851	0.00539288	0.0119895	0.0413102	0.0748782	0.115524	0.149138	0.136425	0.130128	0.0759562	0.0470453	0.0300287	0.0302983	0.0182082	0.012211	0.0138013	0.0365105	0.0686359
a37	0.00131513	0.00294048	0.00892636	0.0380365	0.0707195	0.107503	0.148234	0.134315	0.133855	0.0785497	0.0468588	0.0301193	0.029496	0.0184273	0.0129248	0.0156141	0.0421526	0.0800132
a90	0.00218257	0.005134	0.0130839	0.0423349	0.0694063	0.110253	0.15528	0.131547	0.122771	0.0709667	0.0439426	0.0282533	0.0268048	0.0180706	0.0137296	0.0167356	0.0441138	0.0853902
a56	0.00135955	0.00284194	0.00834119	0.0336343	0.0629893	0.112284	0.154889	0.141373	0.133118	0.0800964	0.0484548	0.0300124	0.0291956	0.0185235	0.0136856	0.0161452	0.0391861	0.0738695
a90	0.00190718	0.00432449	0.0125399	0.037329	0.0686259	0.115304	0.152079	0.142795	0.131275	0.0751305	0.0486277	0.0307686	0.0307124	0.0197796	0.0142049	0.0150777	0.0348644	0.0646541
a25	0.0022956	0.0044189	0.0128576	0.0404638	0.0722098	0.109313	0.1272	0.132274	0.127455	0.0818061	0.0558976	0.0369954	0.0365596	0.02435	0.0190017	0.0196142	0.0364874	0.0607998
a79	0.00136629	0.00264435	0.0072373	0.0311309	0.0640311	0.105853	0.149035	0.160997	0.151935	0.0783044	0.0455219	0.0250389	0.0261046	0.0169764	0.0139707	0.01555	0.0347361	0.069567
a44	0.00116436	0.00224284	0.00731828	0.0332758	0.0639755	0.102417	0.134123	0.144782	0.138338	0.0817692	0.0523525	0.0319312	0.0334389	0.0226547	0.0199332	0.0214076	0.039712	0.0691644
a79	0.00245964	0.00436611	0.0118745	0.0382185	0.0669363	0.1097	0.160854	0.156079	0.148992	0.072744	0.0465314	0.027498	0.0283353	0.0188098	0.0150069	0.0146227	0.0287207	0.048251
a69	0.00309737	0.00502636	0.0144591	0.0449529	0.0727448	0.112585	0.155699	0.153956	0.13879	0.0677418	0.0438783	0.0260536	0.0246368	0.0168332	0.0137565	0.0143622	0.0318659	0.0595608
a58	0.00458075	0.00753637	0.0173553	0.0453307	0.0725347	0.110126	0.146081	0.144602	0.129053	0.0626947	0.0437147	0.0273892	0.026491	0.0193404	0.016249	0.0176122	0.039832	0.0694771
a82	0.0203546	0.0251913	0.0263455	0.046447	0.0753994	0.102881	0.13308	0.112483	0.0900481	0.049791	0.0385195	0.0241879	0.0236687	0.0197235	0.0204457	0.0269907	0.0635729	0.10087
a87	0.0520727	0.0440024	0.0449469	0.0547421	0.0709564	0.0771392	0.101153	0.0875659	0.0734683	0.0571923	0.0435895	0.0309237	0.027782	0.0205029	0.0206966	0.0298602	0.06644	0.0969656
a23	0.0847835	0.0658077	0.0250984	0.011376	0.0144009	0.0109571	0.0134912	0.0173367	0.0178284	0.0230374	0.0292069	0.028135	0.0374673	0.0461366	0.0796174	0.135296	0.177759	0.182264
a10	0.0164722	0.0113093	0.00510477	0.0056524	0.0101662	0.0110234	0.0158121	0.0264812	0.0318139	0.0362446	0.0447722	0.0367089	0.0411646	0.0502373	0.0926948	0.140132	0.189164	0.235046
a83	0.00317759	0.00260615	0.00271698	0.00393488	0.010858	0.0158469	0.0262661	0.0414219	0.0499723	0.0511318	0.0549248	0.0412712	0.0504395	0.0658048	0.113904	0.13177	0.143108	0.190846
a36	0.000688807	0.000834855	0.00148604	0.00293898	0.00859885	0.0155625	0.0251994	0.0363899	0.0465936	0.0484118	0.049587	0.0402908	0.0549581	0.0782848	0.112212	0.131043	0.151168	0.195752
a79	0.000450569	0.000751346	0.00166941	0.00292005	0.00852599	0.0143768	0.0223659	0.0285065	0.0335006	0.0338842	0.0331424	0.0262726	0.0313852	0.0459837	0.0702633	0.119866	0.199736	0.3264
a54	0.000642719	0.0014923	0.00462911	0.0113634	0.0263043	0.0371834	0.0381997	0.0388045	0.0347667	0.0300022	0.0248258	0.0179651	0.0206694	0.029282	0.0503776	0.105457	0.213733	0.314301
a6	0.000622202	0.00166068	0.00760173	0.0217622	0.0387831	0.0465926	0.0503966	0.0500845	0.0517242	0.0425359	0.0326797	0.0238465	0.0269749	0.0289218	0.0451526	0.0970985	0.183424	0.250139
a36	0.000647303	0.00148787	0.00570351	0.0175649	0.033384	0.0397954	0.0464907	0.0572043	0.0629049	0.0471468	0.0342165	0.0244955	0.0294179	0.0306005	0.0472408	0.0999004	0.176841	0.244958
a47	0.00100534	0.00224078	0.00589403	0.0125786	0.0242689	0.0314468	0.0365047	0.0523175	0.0595601	0.0408778	0.0310446	0.023066	0.0286224	0.0299312	0.0478756	0.11011	0.200002	0.262653
a75	0.00045989	0.00107832	0.00351376	0.0100344	0.0209156	0.0284598	0.0387957	0.059375	0.0723764	0.0493861	0.0350486	0.0244951	0.0305408	0.0296522	0.0452252	0.101578	0.188845	0.26022
a47	0.000422842	0.000897023	0.00273296	0.0078473	0.0157307	0.0214056	0.0336616	0.0580775	0.0777219	0.053618	0.0364736	0.0249923	0.0315811	0.0273728	0.0405993	0.0914425	0.190289	0.285134
a36	0.000129237	0.000318893	0.00128801	0.00594335	0.0145306	0.0238973	0.0379758	0.0660374	0.0769871	0.0468239	0.0296604	0.0168476	0.0220306	0.020226	0.0349314	0.0846353	0.202161	0.315576
a37	0.00172162	0.00258118	0.00572488	0.0125084	0.0196554	0.0249289	0.0398273	0.0683489	0.0887038	0.0436877	0.0279936	0.0154139	0.020245	0.0204344	0.0369356	0.0783531	0.190133	0.302803
a26	0.00232763	0.00373832	0.0083794	0.0145675	0.0249728	0.0276409	0.0331727	0.0506365	0.058583	0.0310517	0.0220563	0.0139224	0.0192335	0.0199704	0.0346811	0.0841561	0.22407	0.326839
a90	0.0102469	0.0123971	0.011063	0.013458	0.0227496	0.0288585	0.0298152	0.0309223	0.0264275	0.0178655	0.0170744	0.0111634	0.0161355	0.0221124	0.0451379	0.106236	0.241028	0.337309
a15	0.00135383	0.00203302	0.00423929	0.0083209	0.0130149	0.0161762	0.0214514	0.030111	0.0306901	0.0171784	0.0121826	0.00821855	0.0111483	0.011736	0.0242447	0.0846988	0.276991	0.426211
a69	0.000573142	0.000809618	0.00162552	0.00460405	0.00694676	0.0118095	0.0198569	0.0253413	0.0253441	0.0138731	0.0100711	0.0063599	0.00776291	0.00858279	0.0194481	0.0674044	0.254004	0.515583
a58	0.000954855	0.00135968	0.00296154	0.00695359	0.0101994	0.0150441	0.0221701	0.0277465	0.0269024	0.0148197	0.0108836	0.00723037	0.00913785	0.00928041	0.0194653	0.0740556	0.277346	0.463489
a82	0.00330412	0.00365241	0.00356312	0.00465816	0.00708731	0.0106987	0.0151342	0.0174007	0.0156613	0.0108927	0.0103904	0.00812937	0.0104034	0.0129027	0.0333258	0.110388	0.294804	0.427604
a87	0.0231557	0.0212824	0.0241469	0.0213397	0.0261049	0.0229975	0.0299314	0.0323919	0.0308314	0.0263862	0.024944	0.0188788	0.0271704	0.0362439	0.0729532	0.133379	0.193894	0.233969
a23	0.1047	0.0797495	0.0732304	0.0577169	0.0537447	0.0374755	0.0389431	0.0362985	0.032387	0.0286774	0.0276035	0.0239722	0.0342742	0.0338169	0.0588033	0.0911622	0.0937099	0.0937353
a87	0.0203072	0.0137364	0.00957752	0.0104501	0.0116984	0.0121958	0.0169161	0.0207762	0.0210143	0.0218709	0.0240848	0.0182935	0.0275033	0.0376485	0.0880447	0.18457	0.22913	0.232182
</S>	0.00844243	0.006284	0.00654086	0.00867751	0.00926616	0.0116249	0.0183153	0.0245047	0.0252223	0.0161917	0.0130168	0.00912845	0.0125976	0.0145465	0.0348185	0.0995308	0.250257	0.431034
