 	des	deux	quel	est	le	plaignant	</S>
a66	0.18658	0.239078	0.234039	0.201239	0.103858	0.0263042	0.00890197
a87	0.549643	0.198648	0.0990862	0.0594964	0.0498447	0.0284462	0.0148353
a23	0.431126	0.226336	0.186096	0.080343	0.0350045	0.0198468	0.0212476
a54	0.275045	0.180912	0.190948	0.128689	0.0748849	0.0582391	0.0912823
a47	0.184163	0.182558	0.180298	0.174197	0.150611	0.0891054	0.0390671
a15	0.0916432	0.175129	0.194713	0.221671	0.177799	0.0876804	0.0513647
a7	0.159722	0.24509	0.201903	0.192365	0.125727	0.0509277	0.0242649
a90	0.202844	0.209011	0.229584	0.166668	0.106306	0.0519969	0.0335902
a93	0.154448	0.176916	0.191346	0.171268	0.167885	0.0923185	0.0458184
a56	0.201223	0.209384	0.216127	0.174019	0.119964	0.0494462	0.0298378
a43	0.165245	0.218725	0.244596	0.205725	0.110965	0.0346182	0.020126
a56	0.103474	0.168372	0.223669	0.244421	0.154427	0.0620179	0.0436179
a96	0.0833716	0.152543	0.209656	0.235965	0.166469	0.0892472	0.0627487
a93	0.0549227	0.124503	0.195582	0.266023	0.193405	0.103869	0.0616947
a4	0.057426	0.124217	0.189043	0.240607	0.186112	0.123193	0.0794018
a13	0.0427169	0.07233	0.10014	0.175003	0.191864	0.205533	0.212413
a62	0.0636411	0.115742	0.129907	0.186535	0.205834	0.164077	0.134263
a21	0.0463254	0.0717204	0.0949848	0.175298	0.20469	0.228465	0.178516
a85	0.0225373	0.0317249	0.0431947	0.080279	0.115845	0.271698	0.434721
a6	0.00821293	0.0160034	0.0271499	0.0590274	0.0913005	0.261024	0.537282
a36	0.00313185	0.00682533	0.0127698	0.0439778	0.0893949	0.333579	0.510322
a47	0.00957723	0.0120259	0.0140907	0.0289454	0.0633593	0.22153	0.650471
a85	0.0107701	0.0125222	0.0133251	0.0213661	0.0435217	0.213927	0.684568
a6	0.00192936	0.00198201	0.00237908	0.00581306	0.0176029	0.183665	0.786629
a36	0.00164752	0.00198339	0.0023106	0.00513262	0.0149416	0.192069	0.781915
a12	0.0039171	0.00404747	0.00406812	0.00661285	0.0198136	0.200237	0.761304
a18	0.00120193	0.00141035	0.00155018	0.00324921	0.00956433	0.129765	0.853259
a27	0.0105174	0.0115546	0.00971505	0.0133925	0.0419285	0.338424	0.574468
a57	0.0693417	0.0395804	0.0327211	0.0318123	0.0660957	0.349496	0.410953
a87	0.217603	0.109095	0.104193	0.0864035	0.110903	0.21065	0.161153
a23	0.217039	0.132473	0.120025	0.121337	0.145821	0.157237	0.106068
a99	0.0372072	0.0233405	0.0198506	0.0203611	0.0447083	0.2899	0.564632
a27	0.0164557	0.0101159	0.0111026	0.0152133	0.0440916	0.258562	0.644459
</S>	0.00689155	0.00563064	0.00768986	0.01078	0.0358597	0.270887	0.662261
