 	il	n'	y	a	plus	de	juge	dans	notre	vil-	lage	</S>
a66	0.197654	0.144021	0.141032	0.174984	0.159663	0.0742804	0.0273856	0.0161637	0.0161179	0.0146425	0.017196	0.0168599
a87	0.110538	0.108464	0.112631	0.106868	0.0763105	0.056212	0.0339386	0.0371307	0.059935	0.111084	0.0974713	0.0894183
a79	0.170921	0.115479	0.0940246	0.0666669	0.0457038	0.0422079	0.0372559	0.0376248	0.0758675	0.118033	0.137635	0.058581
a90	0.169444	0.13999	0.108418	0.0658408	0.0318418	0.0282885	0.0299637	0.0469496	0.0847948	0.110118	0.127479	0.0568714
a15	0.281351	0.196612	0.142729	0.118049	0.0767444	0.0460097	0.0254917	0.0223133	0.0231161	0.0226313	0.0288397	0.0161129
a25	0.132824	0.136714	0.108915	0.107204	0.092178	0.0789273	0.070416	0.0785525	0.0644515	0.043427	0.0530756	0.0333148
a41	0.126161	0.131569	0.106385	0.114551	0.106168	0.0909336	0.07542	0.0730103	0.0580071	0.0393254	0.0445175	0.0339515
a21	0.116609	0.115443	0.104432	0.118417	0.107082	0.0834679	0.0669633	0.0616729	0.0536898	0.0424792	0.0654548	0.0642882
a47	0.109892	0.116914	0.120226	0.125831	0.117655	0.0761759	0.0528671	0.0430879	0.0420907	0.0426558	0.07168	0.0809251
a61	0.109793	0.127456	0.135993	0.13024	0.114003	0.0779261	0.0541964	0.0499311	0.0467209	0.0349713	0.0480616	0.0707067
a75	0.0715751	0.0842647	0.104692	0.117159	0.12432	0.0907721	0.0597082	0.0541524	0.0576961	0.05171	0.074978	0.108972
a5	0.0235157	0.030576	0.0426936	0.0517377	0.0650939	0.0717345	0.0816321	0.103002	0.111977	0.110007	0.128006	0.180024
a18	0.0342869	0.038702	0.0482362	0.0633121	0.0824114	0.074009	0.0594035	0.0718184	0.0892776	0.0896365	0.141731	0.207175
a75	0.0150632	0.0135013	0.0125651	0.0152945	0.0154127	0.0149536	0.018488	0.039788	0.072163	0.0925221	0.302069	0.388179
a47	0.00705384	0.00641221	0.00665756	0.00938432	0.0158378	0.0260086	0.0457751	0.0945632	0.128062	0.117688	0.216648	0.32591
a36	0.00405627	0.0032078	0.00297561	0.00406362	0.00754234	0.0140859	0.0349257	0.102383	0.149871	0.128894	0.229424	0.318571
a2	0.00600259	0.00501953	0.00432205	0.00475098	0.00595761	0.00781857	0.0121628	0.0287403	0.0673538	0.0865835	0.291746	0.479543
a57	0.0599826	0.0436996	0.035134	0.0324191	0.0303374	0.0329662	0.0409548	0.0612276	0.0852101	0.109682	0.174723	0.293664
a87	0.110954	0.0737818	0.0630231	0.0607092	0.053477	0.0477394	0.0397581	0.0485651	0.0715542	0.103187	0.168651	0.1586
a23	0.145507	0.0891423	0.0725125	0.0689728	0.0570045	0.0582758	0.0439161	0.0646809	0.0910836	0.0967517	0.12971	0.0824422
a99	0.0210643	0.0153157	0.0138613	0.0134761	0.0132697	0.018246	0.0207496	0.0486321	0.128161	0.203143	0.324359	0.179722
a37	0.0112557	0.010195	0.0116368	0.0158507	0.0188007	0.0275992	0.0338073	0.0652122	0.130642	0.207603	0.298061	0.169337
</S>	0.0134932	0.0131048	0.0150585	0.0243525	0.0286009	0.0379974	0.0376411	0.0608532	0.111572	0.192962	0.283931	0.180433
