 	il	a	planté	des	caféiers	le	long	de	l'	allée	qui	mène	à	la	maison	</S>
a23	0.174356	0.121574	0.0805913	0.0565141	0.0697177	0.0754995	0.0745409	0.0552129	0.054604	0.0361194	0.0287201	0.020365	0.0257188	0.0341339	0.0399765	0.0523555
a79	0.206578	0.137724	0.120275	0.107783	0.0887853	0.0617616	0.0457615	0.032189	0.0269983	0.0124612	0.010986	0.0154308	0.0220488	0.0320019	0.0374789	0.041737
a20	0.220636	0.159763	0.167359	0.129655	0.0807274	0.0403323	0.0258116	0.0228091	0.0155101	0.0107128	0.00959054	0.015229	0.0194889	0.0241628	0.0281347	0.0300777
a30	0.343554	0.313295	0.198766	0.0646627	0.0273751	0.00961761	0.00714337	0.00546829	0.00379368	0.00235283	0.00282103	0.00296893	0.00412321	0.00407791	0.00500028	0.00497989
a35	0.302519	0.332805	0.202764	0.0685689	0.0296884	0.0151961	0.0113485	0.00859757	0.00620776	0.00305826	0.00351108	0.00266563	0.00329517	0.00299038	0.00337766	0.00340613
a24	0.253934	0.25134	0.195557	0.10275	0.0527027	0.0326291	0.0267521	0.0227243	0.018656	0.00946523	0.00716195	0.00539476	0.00580795	0.00488879	0.00504273	0.00519352
a25	0.186375	0.176624	0.187409	0.138397	0.0797892	0.0551972	0.0468383	0.0398812	0.0319817	0.0156295	0.00987159	0.00709579	0.00653559	0.00564227	0.0061513	0.00658036
a99	0.104669	0.105744	0.140557	0.169627	0.137461	0.0975454	0.0689287	0.0493501	0.035231	0.015898	0.0123378	0.00909784	0.0107966	0.011821	0.0141884	0.0167481
a79	0.058205	0.0645358	0.0940348	0.134173	0.142465	0.129272	0.0983443	0.073089	0.044173	0.0265866	0.0234496	0.019108	0.020413	0.0200785	0.0227347	0.0293382
a24	0.0784529	0.0834254	0.0987653	0.130381	0.120254	0.118516	0.0931585	0.0783196	0.0523159	0.0275179	0.0198973	0.0175232	0.0177146	0.0187302	0.0208127	0.0242152
a25	0.100009	0.0931142	0.121386	0.152723	0.111971	0.100444	0.0835798	0.07239	0.0611131	0.0339153	0.0227135	0.0127643	0.0109383	0.00793478	0.00750599	0.00749756
a38	0.0560815	0.0606614	0.0898031	0.133813	0.141415	0.141559	0.108351	0.0837275	0.0579358	0.0297618	0.0217444	0.01413	0.0139364	0.0135195	0.0151214	0.0184399
