 	on	lui	fait	des	massages	à	l'	eau	chaude	</S>
a66	0.144111	0.114223	0.0955306	0.0855032	0.0798004	0.158127	0.198077	0.0783718	0.0308521	0.0154031
a87	0.139872	0.109505	0.104661	0.0901769	0.0867436	0.158046	0.149048	0.0801738	0.0486013	0.0331728
a23	0.259027	0.218514	0.15176	0.121965	0.0780394	0.0740632	0.050348	0.0204608	0.0135651	0.0122573
a87	0.256012	0.216089	0.163112	0.138471	0.0794607	0.0624695	0.0384637	0.0171282	0.0143173	0.0144758
a23	0.253299	0.211984	0.151584	0.140449	0.0833644	0.0662857	0.0443715	0.0191919	0.0152273	0.014242
a87	0.215509	0.155592	0.117614	0.0983556	0.088435	0.106308	0.10415	0.0546678	0.0363002	0.0230687
a99	0.20993	0.166381	0.129492	0.121623	0.0929413	0.102521	0.0886829	0.0424118	0.0281086	0.0179086
a53	0.150461	0.11694	0.102098	0.0948574	0.098674	0.142314	0.14022	0.0799885	0.050892	0.0235549
a4	0.177152	0.145674	0.131093	0.120013	0.0973035	0.103293	0.0835115	0.0618231	0.0506293	0.0295076
a90	0.138593	0.133469	0.120156	0.143332	0.103885	0.109899	0.0843124	0.0768455	0.0568755	0.0326325
a20	0.0770171	0.0744765	0.0789614	0.105293	0.0905185	0.112637	0.104374	0.128521	0.133554	0.0946466
a47	0.0498987	0.0485208	0.0603154	0.0826176	0.0840409	0.124028	0.129939	0.148676	0.150773	0.12119
a26	0.0515862	0.0502832	0.0597069	0.0854693	0.0992429	0.135151	0.113331	0.105886	0.131366	0.167977
a75	0.0580565	0.0566584	0.0688605	0.0820067	0.11207	0.147329	0.126323	0.109224	0.111407	0.128065
a41	0.0450388	0.0411593	0.0510815	0.0601902	0.0808822	0.126307	0.120184	0.117797	0.15631	0.201051
a21	0.0501742	0.046366	0.0616656	0.0625216	0.090546	0.14831	0.135059	0.099836	0.122128	0.183394
a47	0.0620365	0.0576734	0.0699989	0.0694881	0.0997054	0.132057	0.122366	0.101508	0.124136	0.16103
a96	0.0444969	0.0402301	0.0548635	0.0471127	0.0577119	0.107373	0.138042	0.129276	0.152709	0.228185
a24	0.0281034	0.026289	0.0323323	0.0291326	0.0314248	0.0461818	0.0800695	0.135114	0.231862	0.35949
a71	0.00831291	0.00853727	0.0109288	0.00983033	0.010708	0.0171684	0.0342965	0.0801128	0.254585	0.56552
a24	0.00611658	0.00603296	0.0074389	0.00616554	0.00866223	0.0137823	0.0263866	0.0842123	0.293842	0.54736
a31	0.00215403	0.00211796	0.00253513	0.00238182	0.00284617	0.00463834	0.0119832	0.0686388	0.299852	0.602852
a24	0.00209725	0.00208345	0.00227788	0.00208798	0.00234	0.00295733	0.00774915	0.0468846	0.23989	0.691632
a9	0.00462911	0.0038829	0.00370458	0.00291228	0.0047093	0.00765335	0.0216087	0.0712022	0.240749	0.638948
a10	0.093828	0.0670222	0.0619769	0.04399	0.0420474	0.052073	0.069145	0.0761909	0.151322	0.342404
a87	0.142774	0.109162	0.10241	0.07892	0.0801909	0.0862993	0.0955652	0.0848354	0.102455	0.117389
a23	0.104313	0.0866715	0.07976	0.0662294	0.064695	0.0764811	0.116909	0.13862	0.142302	0.124018
a97	0.0657668	0.047617	0.0523699	0.0421208	0.0377337	0.0605792	0.0930859	0.130269	0.205237	0.265221
</S>	0.030557	0.0188958	0.0186811	0.0151062	0.0142701	0.0299346	0.0515382	0.0716911	0.196476	0.55285
