 	je	connais	tous	tes	enfants	</S>
a66	0.459092	0.203864	0.127396	0.0952491	0.0643118	0.050087
a87	0.543027	0.200416	0.112714	0.0693326	0.0411395	0.0333705
a23	0.573366	0.274178	0.0697485	0.0284884	0.0277868	0.0264325
a87	0.426416	0.241691	0.142481	0.07428	0.0612186	0.0539132
a23	0.511304	0.202618	0.110392	0.063286	0.0573298	0.0550702
a54	0.341679	0.236527	0.145921	0.09064	0.0922467	0.0929862
a94	0.41979	0.279894	0.114079	0.0679152	0.0624006	0.0559213
a70	0.275359	0.348708	0.178194	0.083959	0.0615727	0.0522081
a50	0.136982	0.237073	0.231823	0.157035	0.121068	0.116019
a96	0.103104	0.172008	0.202828	0.179788	0.168943	0.173329
a94	0.100458	0.133966	0.184141	0.196374	0.186659	0.198402
a20	0.0842529	0.12042	0.183037	0.192973	0.201047	0.218271
a69	0.0845741	0.126584	0.18547	0.184781	0.196592	0.221999
a4	0.0636091	0.130001	0.245008	0.217777	0.169277	0.174328
a76	0.0154088	0.0389382	0.168301	0.227151	0.24798	0.302221
a94	0.0453662	0.0739288	0.192171	0.216626	0.215362	0.256546
a34	0.0112613	0.0226775	0.104291	0.19563	0.275548	0.390593
a56	0.00917723	0.0173233	0.0822632	0.179042	0.299308	0.412886
a96	0.0104651	0.0185151	0.0758965	0.155564	0.291914	0.447645
a70	0.0017513	0.00416352	0.0348129	0.120553	0.309336	0.529384
a54	0.00172627	0.00410583	0.0374338	0.117833	0.288936	0.549966
a44	0.00296373	0.00490799	0.0276163	0.0800968	0.254901	0.629515
a26	0.00396218	0.00603179	0.0343296	0.0880399	0.26907	0.598567
a11	0.018043	0.0197111	0.0478171	0.0982892	0.25812	0.558019
a38	0.0600117	0.0416787	0.0636774	0.0947154	0.231405	0.508512
a82	0.0536558	0.0413847	0.0655526	0.095414	0.231963	0.51203
a9	0.158307	0.0914655	0.0886111	0.104602	0.202282	0.354732
a87	0.304618	0.169314	0.101413	0.0860302	0.141598	0.197027
a97	0.276266	0.190385	0.104637	0.0936044	0.146575	0.188533
a87	0.230318	0.181005	0.159395	0.132096	0.144731	0.152456
a23	0.130117	0.153008	0.187189	0.170148	0.178093	0.181445
a87	0.157249	0.170003	0.207567	0.168813	0.158794	0.137574
a23	0.175405	0.177459	0.192418	0.150449	0.160348	0.143921
a87	0.136423	0.16694	0.222167	0.17115	0.166472	0.136848
a23	0.145421	0.186936	0.222503	0.16135	0.155544	0.128246
</S>	0.14191	0.181253	0.231844	0.167848	0.156643	0.120502
