 	il	s'	est	assuré	qu'	il	n'	y	avait	personne	avant	d'	entrer	</S>
a23	0.219283	0.193635	0.124729	0.0938344	0.0682579	0.0677268	0.0584007	0.0449756	0.0431278	0.0377266	0.018695	0.011387	0.00951238	0.00870903
a87	0.252526	0.189705	0.111511	0.0732729	0.0575829	0.0607269	0.0520728	0.048566	0.0475849	0.0356035	0.0177051	0.0133008	0.0151301	0.0247122
a23	0.0957951	0.0740637	0.0715806	0.0704568	0.0864116	0.100957	0.0883894	0.0692276	0.06918	0.0550922	0.0437111	0.046029	0.0478976	0.0812086
a4	0.118896	0.112413	0.105281	0.129017	0.10326	0.0860043	0.0681271	0.0495648	0.0447366	0.0330607	0.0290376	0.028442	0.0346365	0.0575231
a57	0.248161	0.272613	0.202771	0.144325	0.0478684	0.024746	0.0158288	0.0099841	0.0089716	0.00592623	0.00419054	0.00386092	0.00455209	0.00620239
a9	0.22332	0.274751	0.208791	0.165665	0.0561616	0.0260445	0.0162166	0.00878667	0.00696933	0.00441124	0.00252719	0.00190191	0.0019076	0.00254706
a53	0.148173	0.193802	0.166298	0.176411	0.0944118	0.0536361	0.0392775	0.0217987	0.0206476	0.0180694	0.0172204	0.0163784	0.0160084	0.0178667
a90	0.0804286	0.114925	0.120238	0.174539	0.113206	0.0809423	0.0759188	0.0525484	0.0434116	0.0348161	0.0286572	0.0254466	0.0262123	0.0287098
a32	0.0735189	0.114805	0.138414	0.188609	0.12356	0.0852838	0.074632	0.0513071	0.0408864	0.0317383	0.0217513	0.01831	0.0181096	0.0190752
a76	0.0621538	0.0984046	0.140036	0.221067	0.150212	0.0964425	0.077796	0.0435233	0.033625	0.0235544	0.0151066	0.0124263	0.0123337	0.013319
a94	0.0627967	0.081774	0.109531	0.15682	0.117096	0.0887585	0.0804098	0.0653027	0.0562467	0.0495312	0.0391646	0.032473	0.0306957	0.0293998
a38	0.0468904	0.0569319	0.0890276	0.149828	0.154307	0.120012	0.102521	0.0719669	0.0602202	0.045608	0.0295094	0.0228712	0.0235101	0.0267966
a24	0.0373782	0.0431607	0.0657049	0.121979	0.146696	0.126941	0.115665	0.0867449	0.0749459	0.0569142	0.0351608	0.0251533	0.0280606	0.0354958
a18	0.0255349	0.0262317	0.0429444	0.0954614	0.152729	0.161305	0.15686	0.107171	0.0846967	0.0565123	0.0257794	0.0158619	0.0194855	0.0294275
