 	j'	ai	déjà	tué	un	serpent	naja	dans	la	nasse	</S>
a66	0.280331	0.213035	0.139794	0.0904355	0.0823747	0.0695849	0.0634558	0.0262307	0.0143594	0.0104133	0.00998476
a87	0.412486	0.23121	0.119121	0.0577537	0.0294942	0.02713	0.035484	0.0195585	0.0208272	0.0236403	0.0232959
a23	0.298831	0.217838	0.157727	0.0995074	0.0549491	0.0432281	0.0443298	0.0191616	0.0172427	0.0216007	0.0255844
a83	0.233259	0.197028	0.136	0.0822757	0.055577	0.0526189	0.0754784	0.0372002	0.0361126	0.0426866	0.051764
a98	0.239477	0.175787	0.130887	0.107543	0.0649281	0.0620402	0.077242	0.0362858	0.0363898	0.0344943	0.0349263
a92	0.203218	0.179125	0.145477	0.148066	0.107268	0.0910136	0.0801022	0.0167193	0.0107417	0.00911592	0.00915338
a56	0.118752	0.159126	0.178596	0.177561	0.124043	0.114008	0.091029	0.018065	0.00767935	0.0058141	0.00532688
a93	0.115392	0.14524	0.168934	0.162527	0.135532	0.129647	0.106099	0.0176021	0.00773348	0.00601279	0.00527969
a4	0.0897005	0.113829	0.163863	0.170897	0.158682	0.145703	0.104738	0.0213458	0.0115185	0.0100756	0.00964813
a93	0.0640044	0.0837682	0.134792	0.158566	0.166511	0.1589	0.132253	0.039179	0.023523	0.0196169	0.0188872
a96	0.0745662	0.100311	0.145373	0.163485	0.161289	0.145443	0.111676	0.0357717	0.0228572	0.0198486	0.0193786
a62	0.0412138	0.0535504	0.0835527	0.142592	0.18299	0.163198	0.144942	0.0626242	0.0447238	0.0398127	0.0407999
a88	0.0190717	0.0235029	0.0392049	0.0894042	0.159082	0.149978	0.175363	0.119861	0.0856256	0.0699879	0.068919
a62	0.00689413	0.0090684	0.014627	0.0351442	0.0822161	0.0900635	0.158001	0.209254	0.176615	0.11792	0.100197
a34	0.00591585	0.00701649	0.0100224	0.0234157	0.0605538	0.0712586	0.130983	0.218716	0.199858	0.147744	0.124517
a90	0.00360779	0.00384385	0.00439202	0.00993682	0.0271746	0.0374082	0.0914223	0.223162	0.259995	0.19119	0.147867
a69	0.00139988	0.0014013	0.00159428	0.00407786	0.013147	0.0218656	0.0651145	0.196059	0.280913	0.231642	0.182785
a53	0.000490283	0.000442927	0.000452769	0.00104182	0.00395314	0.00865728	0.0316967	0.145767	0.267363	0.271065	0.26907
a93	0.000373091	0.000323793	0.000326135	0.000785554	0.00318314	0.00649965	0.0207687	0.106036	0.239814	0.312708	0.309182
a44	0.000103776	8.82982e-05	9.2206e-05	0.000298551	0.00142075	0.00324932	0.0119423	0.0748599	0.216671	0.339739	0.351535
a70	6.87329e-05	5.19768e-05	4.72549e-05	0.000120323	0.000428318	0.00124634	0.00702055	0.0615176	0.213	0.345746	0.370753
a13	6.88017e-05	4.93336e-05	4.05636e-05	0.00010062	0.000323701	0.00105064	0.00645138	0.0644521	0.229922	0.336959	0.360582
a3	0.000450038	0.000310843	0.000247412	0.000590598	0.00156328	0.00379412	0.0134575	0.0892993	0.25428	0.314567	0.321439
a97	0.042231	0.0220686	0.0157039	0.0192497	0.0292059	0.0293475	0.0384727	0.0978551	0.187013	0.24117	0.277683
a99	0.174227	0.119307	0.0843271	0.0711218	0.0656617	0.0539338	0.063765	0.0933959	0.100555	0.0918915	0.0818133
a97	0.0460155	0.0218392	0.0118448	0.00853612	0.00803486	0.0103825	0.0325066	0.0915442	0.20195	0.293519	0.273828
a87	0.0291306	0.0163859	0.0103965	0.00943702	0.0106665	0.0132479	0.0393393	0.0941495	0.18874	0.292412	0.296095
a23	0.0418435	0.0271243	0.0195194	0.0166344	0.019862	0.0233152	0.0589248	0.111609	0.181621	0.248562	0.250984
a99	0.0103356	0.00603457	0.00427057	0.00301911	0.0031447	0.00617918	0.0219274	0.074107	0.170817	0.326975	0.37319
a26	0.0140043	0.00882527	0.00735274	0.00619754	0.00848236	0.0144455	0.0338297	0.0721767	0.151767	0.305682	0.377237
</S>	0.0171378	0.012626	0.0105753	0.00970931	0.0119075	0.0185781	0.0402629	0.0669882	0.137377	0.282242	0.392596
