 	il	aiguise	son	couteau	</S>
a87	0.504732	0.208952	0.0873003	0.0823515	0.116665
a23	0.291606	0.14802	0.161648	0.181161	0.217565
a53	0.294604	0.218932	0.152775	0.141183	0.192507
a20	0.448994	0.28817	0.125014	0.0777743	0.0600477
a14	0.534078	0.35651	0.0696548	0.0268667	0.0128902
a35	0.552679	0.317858	0.0801558	0.0317807	0.0175266
a2	0.55112	0.300502	0.0940578	0.0345309	0.0197891
a75	0.476503	0.279926	0.139367	0.0606525	0.0435512
a14	0.381866	0.280255	0.180954	0.092213	0.0647123
a35	0.418565	0.253081	0.166365	0.0957309	0.0662581
a75	0.31641	0.244532	0.213016	0.128366	0.097675
a35	0.244045	0.225137	0.224142	0.163415	0.143261
a32	0.152049	0.170512	0.233621	0.224797	0.219021
a24	0.131802	0.145538	0.206135	0.242589	0.273935
a71	0.0699904	0.0976855	0.163587	0.267594	0.401144
a38	0.0227883	0.0381582	0.0983295	0.266365	0.574359
a35	0.0160345	0.0244534	0.0882086	0.273686	0.597617
a14	0.0155602	0.0255043	0.0873545	0.263114	0.608467
a73	0.00850403	0.0153099	0.0614762	0.232413	0.682297
a35	0.009741	0.0162314	0.0633977	0.236105	0.674524
a24	0.00661702	0.0107767	0.0480217	0.213572	0.721013
a41	0.00955937	0.0139515	0.0476862	0.191959	0.736843
a35	0.0154132	0.0288984	0.0821189	0.226645	0.646925
a66	0.012816	0.0225287	0.0738536	0.237405	0.653396
a90	0.0193339	0.0284124	0.0932547	0.251053	0.607946
a69	0.0124864	0.022109	0.0813306	0.234952	0.649122
a58	0.00440904	0.00842671	0.0469129	0.201209	0.739042
a84	0.0221598	0.037817	0.134332	0.245496	0.560196
a87	0.0260599	0.0382567	0.129754	0.252025	0.553904
</S>	0.0746276	0.0891937	0.158357	0.250993	0.426828
