 	ils	s'	arrêtèrent	en	bordure	du	village	</S>
a85	0.153446	0.043298	0.0373756	0.0698118	0.108108	0.143013	0.198626	0.246321
a87	0.0732711	0.0490911	0.0640876	0.124682	0.15103	0.129529	0.174986	0.233324
a23	0.147108	0.0692685	0.0557336	0.0674308	0.082075	0.120414	0.175538	0.282432
a97	0.0842551	0.0433331	0.0410377	0.0308756	0.0462515	0.110027	0.259671	0.384549
a79	0.0805484	0.0607586	0.0588863	0.0513892	0.0552438	0.0945392	0.237983	0.360652
a40	0.156961	0.0885847	0.0838593	0.0777589	0.0769479	0.0797218	0.178129	0.258037
a30	0.325806	0.189753	0.121269	0.0770594	0.0724821	0.0645306	0.0728319	0.0762686
a73	0.33396	0.268459	0.169744	0.0899563	0.053773	0.0309202	0.0264939	0.0266935
a84	0.22898	0.216116	0.169878	0.11552	0.0868821	0.0612834	0.0579481	0.0633922
a54	0.165784	0.18776	0.142344	0.0937921	0.091652	0.0774321	0.103535	0.1377
a30	0.170045	0.192167	0.169899	0.144092	0.115015	0.07804	0.0637063	0.0670368
a14	0.212883	0.212478	0.191858	0.167778	0.0938582	0.0512693	0.0350166	0.0348583
a0	0.132618	0.167854	0.187271	0.204303	0.128087	0.0719724	0.0521101	0.0557855
a11	0.0888829	0.1296	0.151779	0.192315	0.159106	0.0992336	0.0806354	0.0984484
a90	0.0835656	0.11556	0.132621	0.183747	0.167818	0.108414	0.0894337	0.118841
a54	0.0849636	0.132323	0.159205	0.236047	0.168436	0.0797287	0.0576911	0.0816052
a41	0.0547405	0.0848639	0.118299	0.199967	0.192334	0.130051	0.0999086	0.119836
a35	0.0295062	0.0523888	0.0828132	0.174295	0.218123	0.166156	0.119272	0.157446
a76	0.0201096	0.0416925	0.0728712	0.153482	0.212816	0.169663	0.140083	0.189283
a90	0.0234306	0.0476118	0.0798643	0.15629	0.223476	0.190699	0.13279	0.145837
a58	0.0230486	0.0443228	0.0668092	0.127627	0.189405	0.196779	0.160624	0.191384
a82	0.0149717	0.0247669	0.0370875	0.0811405	0.170493	0.208274	0.20452	0.258746
a75	0.006974	0.0131276	0.0205342	0.0514971	0.147522	0.197439	0.243156	0.31975
a56	0.0114904	0.022921	0.0300043	0.0589065	0.112979	0.160057	0.250079	0.353563
a75	0.0110731	0.0157249	0.0210167	0.0369191	0.0647391	0.115262	0.260299	0.474966
a14	0.00962559	0.0174968	0.0200827	0.0326169	0.0627842	0.122009	0.284945	0.45044
a73	0.0196127	0.0357806	0.0401975	0.0571527	0.0885985	0.140853	0.252917	0.364888
a2	0.0192996	0.0244005	0.0250846	0.0378064	0.0669067	0.126604	0.251614	0.448285
a44	0.00666815	0.0070054	0.00797528	0.0184888	0.0456077	0.0967486	0.244327	0.573179
a4	0.00422176	0.00293163	0.00289818	0.00662169	0.0237769	0.0895919	0.272798	0.59716
a13	0.00387394	0.00360408	0.00366687	0.00824751	0.0245312	0.0845941	0.26942	0.602063
a3	0.00382817	0.00276089	0.00274527	0.00650418	0.024348	0.102122	0.276705	0.580986
a87	0.00208122	0.00165021	0.00249947	0.00821387	0.026595	0.116461	0.27826	0.564239
</S>	0.00658002	0.0039681	0.00384209	0.00744665	0.0235443	0.118801	0.298752	0.537065
