 	après	la	mort	de	sa	mère	elle	se	lança	dans	la	prostitution	</S>
a66	0.210896	0.149975	0.0840246	0.0764696	0.0669448	0.0946288	0.0781282	0.104307	0.0635305	0.0269224	0.0204409	0.0139744	0.00975801
a87	0.174409	0.122321	0.0972298	0.0789256	0.0839265	0.0664732	0.0424602	0.0422658	0.0569369	0.0539059	0.0658988	0.0566201	0.0586266
a97	0.223401	0.176534	0.124461	0.0913077	0.0732813	0.0582362	0.0342502	0.0482385	0.0455687	0.034527	0.0434042	0.025234	0.0215571
a87	0.179932	0.143542	0.100134	0.0784962	0.0643094	0.0586179	0.0424803	0.0747042	0.0865918	0.0563312	0.0634816	0.0325167	0.0188623
a97	0.158981	0.12578	0.0913047	0.0760635	0.0663027	0.0613949	0.0461415	0.0817055	0.0954014	0.0649934	0.0733323	0.0373891	0.0212092
a30	0.13527	0.104627	0.0767381	0.0658017	0.0579326	0.0591785	0.0515925	0.0936351	0.126046	0.076355	0.0767419	0.0476887	0.0283932
a53	0.149676	0.110038	0.075531	0.0626273	0.0513377	0.0588792	0.0508901	0.0836682	0.12746	0.0770358	0.0752766	0.0506473	0.0269318
a90	0.213721	0.157728	0.102516	0.0851036	0.0554175	0.0610676	0.0476285	0.0705914	0.0767723	0.0422342	0.0388862	0.0287277	0.019607
a93	0.190337	0.199666	0.136012	0.0973436	0.0616949	0.0559085	0.041568	0.0537286	0.048032	0.0305393	0.032301	0.0293029	0.0235668
a25	0.121454	0.160086	0.125811	0.0947991	0.0718742	0.0601286	0.048933	0.056891	0.0518071	0.0422485	0.0467112	0.0588235	0.0604334
a69	0.106792	0.124223	0.10627	0.0850608	0.0703183	0.061933	0.0585325	0.0714481	0.0686853	0.0575494	0.0569091	0.0656972	0.0665811
a15	0.0748691	0.103731	0.0958536	0.0879776	0.0829471	0.0778053	0.0665144	0.0702854	0.0623819	0.0539496	0.0576826	0.081517	0.0844851
a20	0.0611812	0.0797733	0.0858951	0.0878766	0.0973297	0.0951074	0.084705	0.0768281	0.0669659	0.0580191	0.058545	0.073403	0.0743705
a0	0.0574018	0.0709213	0.080169	0.0853219	0.0967903	0.0917519	0.0788346	0.0684842	0.0699038	0.0621486	0.0649943	0.0831018	0.0901765
a4	0.0349387	0.0451391	0.0567396	0.0627682	0.0814302	0.0699569	0.0581989	0.0453476	0.0492321	0.0646989	0.0765612	0.154443	0.200546
a93	0.0386652	0.0432225	0.0568425	0.0678623	0.095836	0.0853016	0.0735679	0.0521934	0.0481933	0.0658434	0.0734832	0.127797	0.171191
a94	0.0524039	0.054656	0.0667395	0.0754858	0.0997495	0.0900706	0.0767636	0.0502557	0.0405126	0.0565148	0.0632259	0.112281	0.161341
a13	0.0277313	0.0258441	0.0322117	0.0402762	0.069406	0.0665342	0.0645558	0.0396284	0.0377611	0.0678956	0.0858449	0.173074	0.269236
a4	0.0149596	0.0126411	0.0161408	0.0206778	0.0382555	0.0355492	0.0357264	0.021853	0.026924	0.063759	0.0970441	0.215951	0.400518
a13	0.00990873	0.00758417	0.00946319	0.0114108	0.0200299	0.0186521	0.0220564	0.0159	0.0276907	0.0723593	0.124774	0.252422	0.407749
a44	0.0035353	0.00223478	0.00285678	0.00360965	0.00667497	0.00633917	0.00682944	0.00584742	0.0152131	0.0501522	0.136152	0.252382	0.508173
a26	0.00178749	0.000923387	0.00134255	0.00182982	0.00366601	0.00344731	0.0041004	0.00379697	0.0130094	0.0463189	0.129947	0.251552	0.538278
a57	0.00607356	0.00285566	0.00269295	0.00322771	0.00448996	0.00426253	0.00435376	0.00471239	0.0142951	0.0366578	0.0993262	0.225234	0.591818
a3	0.0329732	0.0195111	0.0142306	0.013846	0.0157392	0.013963	0.0121281	0.0128082	0.0223399	0.0402866	0.0912436	0.218384	0.492546
a97	0.050259	0.037021	0.0270582	0.0259673	0.0311138	0.029638	0.0254531	0.0230165	0.0301919	0.0547824	0.102462	0.212704	0.350332
a87	0.0562706	0.0455949	0.0360464	0.0353589	0.0443884	0.0451293	0.0409	0.035436	0.037145	0.0696566	0.117241	0.201573	0.23526
a97	0.0399226	0.0321924	0.0287515	0.028812	0.0416754	0.0409327	0.0351788	0.030443	0.0392688	0.0797579	0.134781	0.215687	0.252597
</S>	0.035024	0.0296136	0.0363757	0.0386682	0.0545603	0.0511518	0.0493996	0.0567111	0.0809271	0.112136	0.145173	0.168739	0.14152
