 	pendant	la	saison	sèche	l'	oranger	perd	ses	feuilles	</S>
a66	0.200303	0.202927	0.177103	0.116486	0.112539	0.0911471	0.0578437	0.0179342	0.0128708	0.0108445
a87	0.300781	0.169536	0.121973	0.0840802	0.0784667	0.0819609	0.0678935	0.0316211	0.0305213	0.0331657
a23	0.360918	0.174674	0.132627	0.0853908	0.0626782	0.0801375	0.0451095	0.0171589	0.018658	0.0226475
a4	0.321894	0.158673	0.139583	0.0869675	0.0721287	0.117117	0.0506215	0.0174665	0.0169323	0.0186153
a11	0.198323	0.141693	0.13938	0.118032	0.104228	0.135574	0.0556943	0.0335754	0.0382059	0.0352949
a75	0.160583	0.141603	0.150164	0.163908	0.118548	0.16539	0.0455129	0.0180851	0.0192259	0.0169799
a56	0.111949	0.118968	0.132714	0.180529	0.11523	0.162191	0.0647335	0.0334185	0.042808	0.0374588
a75	0.0637168	0.101036	0.150118	0.205809	0.127759	0.171101	0.0747255	0.0349427	0.0379904	0.0328014
a21	0.0621696	0.106403	0.146285	0.185413	0.125829	0.147241	0.0854981	0.0515635	0.0489996	0.0405986
a56	0.0565442	0.0918659	0.149612	0.211794	0.166245	0.181993	0.0706265	0.0250507	0.0245828	0.0216857
a90	0.0479313	0.0848064	0.137707	0.199865	0.191723	0.191673	0.0746618	0.0249527	0.0234942	0.023185
a93	0.0394339	0.079343	0.131556	0.19125	0.193124	0.184068	0.0933725	0.0320044	0.0276425	0.0282057
a4	0.0530476	0.0933051	0.127404	0.175077	0.171799	0.169871	0.102935	0.0386893	0.0338216	0.0340507
a53	0.0381737	0.0687973	0.0996094	0.141902	0.18076	0.158226	0.124586	0.069601	0.0564543	0.06189
a90	0.0309253	0.0534941	0.0790996	0.122837	0.166518	0.132937	0.131074	0.102459	0.0855232	0.0951317
a94	0.0203464	0.0340296	0.0503837	0.0965698	0.147439	0.117136	0.136259	0.13902	0.124637	0.13418
a56	0.0124667	0.0165058	0.0176998	0.032153	0.0623275	0.0577741	0.119396	0.18694	0.203271	0.291467
a43	0.0146686	0.0169864	0.0170715	0.0273704	0.0496598	0.0435573	0.106356	0.19719	0.221055	0.306085
a75	0.00825224	0.00862201	0.00681404	0.0115187	0.0242462	0.0276873	0.0762853	0.2186	0.260758	0.357215
a6	0.00159426	0.00146501	0.00141845	0.00320327	0.00712135	0.00717985	0.0220601	0.13366	0.272395	0.549903
a36	0.00151694	0.00146855	0.00153562	0.00405712	0.00932412	0.00869249	0.0298056	0.171795	0.28743	0.484374
a75	0.00186144	0.00134453	0.000952493	0.00166741	0.00285517	0.00293574	0.00815806	0.107592	0.283259	0.589374
a41	0.000715213	0.000589844	0.000570241	0.00126825	0.0027407	0.00261229	0.00943585	0.11897	0.312138	0.55096
a43	0.000401043	0.00031151	0.000232271	0.000536785	0.00102067	0.000890742	0.00428526	0.0925126	0.328182	0.571627
a62	0.000412528	0.00032393	0.000215096	0.000500804	0.000908775	0.000730302	0.00404409	0.0886479	0.289532	0.614685
a47	0.000795441	0.000629848	0.00044411	0.000904349	0.00143198	0.00127167	0.00482915	0.0722586	0.256011	0.661424
a96	0.000741759	0.000699778	0.000531406	0.00105229	0.00173799	0.00127207	0.00540871	0.0851519	0.249456	0.653949
a90	0.000518359	0.000475375	0.000405958	0.00090836	0.0015715	0.00124464	0.00434383	0.0668214	0.238048	0.685663
a75	0.000134833	0.000102358	8.26267e-05	0.000190022	0.000369154	0.000333929	0.00156296	0.0428919	0.20077	0.753563
a5	0.000170488	0.000121094	9.77398e-05	0.000202663	0.000349922	0.000418164	0.00242081	0.0521584	0.209756	0.734305
a36	0.000468782	0.000308569	0.000224951	0.000467835	0.000722919	0.000639199	0.00302037	0.0591512	0.227354	0.707642
a27	0.000570901	0.000391954	0.000229105	0.000610199	0.00103402	0.000737799	0.00432401	0.0705816	0.236163	0.685357
a82	0.00267274	0.00260309	0.00214268	0.0028662	0.00437311	0.00342062	0.0148418	0.108215	0.267957	0.590908
a87	0.0430566	0.034713	0.0319503	0.039942	0.0508505	0.0387806	0.0665678	0.135532	0.211117	0.34749
a23	0.171886	0.0907048	0.0754201	0.0624777	0.0655631	0.0550138	0.0626871	0.101464	0.139165	0.175618
a99	0.0724742	0.0274517	0.014443	0.0138875	0.0155324	0.0173048	0.0497359	0.185568	0.259486	0.344116
a97	0.0397927	0.0154689	0.0102928	0.0113802	0.0119797	0.0135842	0.0440994	0.156571	0.293972	0.402858
a87	0.0161186	0.00721624	0.00599196	0.00934316	0.0151324	0.0231788	0.0608938	0.155292	0.275077	0.431756
</S>	0.0224948	0.012481	0.0107386	0.01343	0.0183338	0.0253956	0.0690061	0.156761	0.259454	0.411905
