 	le	véhicule	de	nono	est	irréparable	pour	de	bon	</S>
a87	0.202615	0.116079	0.111812	0.202493	0.15882	0.0904403	0.0432884	0.0255504	0.0240232	0.0248781
a23	0.30448	0.139842	0.0749632	0.0812263	0.0923683	0.0810613	0.0620493	0.0505951	0.0574573	0.0559577
a87	0.128409	0.119624	0.0961378	0.111596	0.0867559	0.0678129	0.059514	0.0739068	0.101377	0.154866
a79	0.202055	0.126703	0.094318	0.110476	0.05755	0.0400637	0.0419868	0.0616726	0.0979985	0.167177
a90	0.580091	0.203111	0.0855829	0.0442217	0.0155323	0.0118101	0.00719001	0.00965732	0.015354	0.02745
a82	0.498149	0.291767	0.0995192	0.0569493	0.0159562	0.00934764	0.00483258	0.00551743	0.00731803	0.010644
a38	0.31674	0.280562	0.151305	0.124796	0.0305317	0.0216073	0.014895	0.0159887	0.0180833	0.025491
a15	0.260425	0.275579	0.168281	0.151252	0.0425859	0.0259223	0.0175685	0.0172928	0.017997	0.023097
a94	0.185672	0.223366	0.174164	0.173733	0.0816786	0.0464672	0.0306262	0.0262161	0.026145	0.0319328
a70	0.116871	0.181602	0.19137	0.230466	0.101721	0.0506123	0.0328327	0.0283689	0.0290323	0.0371235
a66	0.0688208	0.128712	0.197073	0.281303	0.127053	0.0573896	0.0360555	0.03144	0.0318767	0.0402779
a61	0.038257	0.0739795	0.15358	0.268038	0.145089	0.0851643	0.0637878	0.0565972	0.0529943	0.0625121
a12	0.0535965	0.0848815	0.167067	0.267149	0.164471	0.0830189	0.0494735	0.0426894	0.0402416	0.0474112
a61	0.0663136	0.0792453	0.151613	0.292195	0.16975	0.0757286	0.0459547	0.0394519	0.0370299	0.0427189
a75	0.0528789	0.0615279	0.132672	0.291593	0.198908	0.0954336	0.0518896	0.0403751	0.0350331	0.0396883
a96	0.0541509	0.0629815	0.115185	0.259341	0.191867	0.101477	0.0659331	0.0532096	0.044906	0.0509492
