 	il	saisit	son	adversaire	à	bras-le-corps	</S>
a23	0.158322	0.112097	0.0911858	0.108547	0.156396	0.180543	0.19291
a53	0.230638	0.125575	0.126308	0.12415	0.14032	0.121483	0.131526
a15	0.313859	0.218133	0.147536	0.114519	0.09038	0.0588774	0.0566956
a69	0.36837	0.289384	0.142194	0.0892773	0.0532915	0.0292654	0.0282173
a58	0.280859	0.241621	0.160657	0.115066	0.0789567	0.0570253	0.0658152
a38	0.230217	0.208669	0.178395	0.120655	0.0914827	0.0797045	0.090877
a56	0.16243	0.161567	0.183401	0.144954	0.112235	0.106766	0.128647
a34	0.109558	0.106678	0.158356	0.186454	0.154654	0.133366	0.150933
a54	0.100196	0.0835782	0.151428	0.194615	0.163706	0.142763	0.163714
a90	0.0713864	0.0650131	0.107228	0.158473	0.187645	0.187353	0.222902
a4	0.0597357	0.054392	0.113749	0.202198	0.217176	0.173272	0.179478
a75	0.0473856	0.0451134	0.0791553	0.13897	0.202205	0.210284	0.276887
a25	0.0339431	0.0324231	0.0485782	0.0893614	0.165671	0.265002	0.365021
a94	0.0272478	0.0303913	0.0518735	0.103386	0.205171	0.278347	0.303583
a98	0.019935	0.0180784	0.0333633	0.0647846	0.136618	0.256684	0.470536
a41	0.0225735	0.0271742	0.039863	0.0729621	0.147398	0.257205	0.432824
a37	0.0196327	0.0227677	0.0280855	0.0539347	0.129638	0.293223	0.452718
a66	0.0059928	0.00662934	0.0129647	0.0348385	0.102736	0.271828	0.56501
a9	0.00461351	0.00650338	0.0106637	0.0285262	0.0749682	0.229122	0.645604
a87	0.0305922	0.0376927	0.0599856	0.09299	0.126917	0.2239	0.427922
a23	0.257367	0.170683	0.140316	0.0923097	0.0820363	0.106321	0.150968
a87	0.134303	0.086399	0.0967875	0.114589	0.172477	0.198463	0.196983
</S>	0.0163368	0.0156916	0.0289418	0.0699252	0.182927	0.306139	0.380039
