 	il	faut	amarrer	les	bagages	dans	la	voiture	</S>
a23	0.191094	0.180725	0.22856	0.0649153	0.0815604	0.0624958	0.0618936	0.0683345	0.0604215
a87	0.164208	0.289571	0.188807	0.0894659	0.0764415	0.0420069	0.0440866	0.0463425	0.0590709
a23	0.123395	0.185049	0.147399	0.119783	0.119262	0.0729945	0.0711683	0.064914	0.0960353
a40	0.120935	0.197222	0.187602	0.100416	0.0909992	0.0633417	0.0672507	0.074631	0.0976025
a30	0.281188	0.234776	0.265794	0.0950117	0.0635943	0.0258993	0.0126664	0.0114296	0.00964003
a35	0.285274	0.198736	0.266917	0.109109	0.077777	0.026267	0.0147949	0.0118646	0.0092598
a41	0.268873	0.205122	0.238254	0.115167	0.0899989	0.0378386	0.0203191	0.0139576	0.0104699
a32	0.221397	0.2114	0.229512	0.136171	0.106125	0.0468399	0.0231645	0.0144476	0.0109435
a25	0.18955	0.222083	0.188646	0.171555	0.12808	0.0509923	0.024131	0.0136602	0.0113022
a10	0.15376	0.211303	0.177314	0.189262	0.140552	0.0563631	0.0304816	0.0201252	0.0208389
a11	0.116039	0.165043	0.163326	0.197073	0.184439	0.0829079	0.0399142	0.0257949	0.0254618
a26	0.139606	0.18413	0.160452	0.192059	0.168066	0.0803239	0.036314	0.0209522	0.0180962
a98	0.124116	0.16088	0.148096	0.196812	0.178871	0.0922867	0.0462444	0.0279521	0.0247423
a75	0.12237	0.158291	0.133936	0.205813	0.163471	0.0855636	0.0532391	0.0397069	0.0376093
a30	0.10193	0.140158	0.119169	0.184532	0.155049	0.09371	0.0720501	0.0670012	0.0663994
a44	0.0537397	0.0964743	0.103196	0.175709	0.181947	0.116298	0.0936539	0.0890864	0.0898959
a38	0.045589	0.077126	0.0811236	0.148407	0.19196	0.133236	0.109874	0.10136	0.111324
a75	0.0474152	0.0790416	0.0783442	0.143169	0.188341	0.13905	0.115675	0.101645	0.107319
a41	0.0678859	0.0718403	0.0729691	0.112534	0.135665	0.139259	0.124357	0.129385	0.146105
a14	0.0300245	0.0391196	0.0473445	0.0945589	0.12141	0.139985	0.141205	0.169891	0.216462
a35	0.0414316	0.0558293	0.0645296	0.108889	0.133	0.126631	0.123129	0.149603	0.196957
a32	0.0269104	0.0331271	0.0374685	0.0804277	0.0822598	0.110125	0.139067	0.183524	0.30709
a54	0.0182761	0.0260415	0.0274568	0.0615706	0.0639833	0.0975263	0.146931	0.205658	0.352556
a76	0.0207806	0.0284922	0.028242	0.0573435	0.0564617	0.0698846	0.118821	0.21536	0.404614
a90	0.0205497	0.0280668	0.0282873	0.0614285	0.0576383	0.0906486	0.14062	0.222913	0.349848
a82	0.0179132	0.0274357	0.0263304	0.050334	0.0505139	0.0638667	0.113491	0.217693	0.432423
a38	0.00296396	0.0053343	0.0047534	0.0127929	0.0160339	0.0358576	0.09722	0.24074	0.584304
a76	0.00281748	0.00570592	0.00443016	0.0111648	0.0141553	0.0320346	0.0891796	0.230735	0.609777
a94	0.0114916	0.0181241	0.0137006	0.0231242	0.0231361	0.0354904	0.0784748	0.217492	0.578966
a66	0.00460606	0.0120588	0.00693149	0.0142931	0.0141523	0.0245915	0.0659319	0.201938	0.655497
a24	0.00609868	0.0130878	0.00798905	0.014954	0.0147361	0.0309766	0.0907072	0.225985	0.595465
a41	0.00452971	0.0100763	0.00496003	0.00694001	0.00728871	0.01582	0.0554285	0.188809	0.706148
a35	0.00211335	0.00521046	0.00283219	0.00650343	0.00703683	0.0175647	0.0556775	0.21059	0.692472
a98	0.00277215	0.00560094	0.00360736	0.00949138	0.0102812	0.0206082	0.054254	0.204589	0.688796
a76	0.00233415	0.00429217	0.00351693	0.00819161	0.00939457	0.0198183	0.053103	0.214051	0.685298
a90	0.00469795	0.00934757	0.00668322	0.0130236	0.0131655	0.02286	0.0521346	0.196615	0.681473
a38	0.00623643	0.0134966	0.00862789	0.0164792	0.0167638	0.0259452	0.0568686	0.191944	0.663639
a98	0.0100963	0.0240324	0.0123094	0.0198156	0.0187189	0.0302292	0.0669947	0.185832	0.631971
a41	0.00723414	0.0129169	0.00766618	0.0088723	0.00852375	0.0159995	0.0446554	0.176008	0.718124
a35	0.00285322	0.00645325	0.00391021	0.0068067	0.00767948	0.016587	0.0538834	0.203709	0.698118
a66	0.00361944	0.00795103	0.00469514	0.0102468	0.0121442	0.0228047	0.0617971	0.200519	0.676222
a38	0.00521999	0.0103691	0.00634299	0.0117463	0.0128427	0.0282714	0.0818654	0.22194	0.621402
a21	0.0041246	0.00896915	0.00523676	0.00879477	0.0108918	0.0269382	0.087886	0.227736	0.619422
a41	0.00493614	0.00992768	0.00541185	0.00708135	0.00867057	0.0201556	0.0748214	0.225854	0.643141
a25	0.00871138	0.0190317	0.0107283	0.0133301	0.016072	0.0338331	0.101897	0.230225	0.566172
a87	0.00959662	0.0179521	0.0106714	0.0133138	0.0158177	0.0295034	0.0838097	0.224589	0.594746
a23	0.00852253	0.0140608	0.00906383	0.00877181	0.012779	0.0324261	0.0924587	0.217578	0.604339
a87	0.0186165	0.0243404	0.0276174	0.0301868	0.0364827	0.0624111	0.143513	0.226234	0.430598
</S>	0.0189363	0.0201644	0.0169539	0.0185471	0.0286289	0.0708736	0.143096	0.224966	0.457834
