 	je	vais	boire	de	l'	eau	</S>
a85	0.583241	0.184068	0.0645373	0.0416495	0.0367615	0.0438428	0.0458996
a87	0.504883	0.159173	0.0875379	0.0902003	0.0598342	0.0466246	0.0517468
a23	0.297588	0.225444	0.182324	0.126523	0.069133	0.0465435	0.0524434
a87	0.327057	0.19047	0.152712	0.0893242	0.0705339	0.0676491	0.102254
a23	0.323231	0.206189	0.197841	0.105084	0.0628153	0.0447344	0.0601058
a57	0.335192	0.211747	0.179045	0.0875654	0.061029	0.0522162	0.0732047
a54	0.202851	0.210684	0.245027	0.127874	0.0860603	0.0588015	0.068702
a73	0.249402	0.25066	0.214804	0.117932	0.0782078	0.0503632	0.0386299
a56	0.26514	0.303432	0.223943	0.107585	0.0471022	0.0291901	0.0236078
a18	0.165844	0.227456	0.215222	0.159584	0.100921	0.0704147	0.0605563
a62	0.127253	0.189887	0.219544	0.183588	0.126234	0.0828044	0.0706904
a98	0.0796434	0.127484	0.183698	0.199012	0.181897	0.128038	0.100227
a94	0.0724713	0.105101	0.177037	0.206094	0.187288	0.138658	0.11335
a76	0.0480208	0.0788613	0.147532	0.197751	0.20933	0.17041	0.148095
a94	0.0425978	0.0599809	0.0906628	0.15104	0.196406	0.221037	0.238276
a98	0.0228207	0.0295352	0.0507628	0.104787	0.1998	0.279639	0.312655
a73	0.0171402	0.0207871	0.0319738	0.0667238	0.155603	0.298918	0.408855
a84	0.0063922	0.00810594	0.011703	0.0280474	0.0916471	0.316172	0.537932
a57	0.000895627	0.00137346	0.00387142	0.0149033	0.0552395	0.207336	0.716381
a87	0.00332498	0.00242797	0.00414686	0.0119321	0.0380135	0.187561	0.752594
a23	0.004816	0.00463276	0.00677195	0.0258212	0.0862932	0.28838	0.583285
a87	0.00582715	0.00702653	0.00779082	0.0255063	0.0872363	0.299617	0.566996
</S>	0.00398146	0.00587995	0.0077701	0.0386156	0.124017	0.345955	0.47378
