 	prenez	quelque	chose	pour	vous	en	servir	au	besoin	</S>
a23	0.174197	0.118826	0.0711323	0.0579484	0.0947411	0.121699	0.0669767	0.08718	0.0980469	0.109253
a87	0.439478	0.168798	0.0689005	0.0535705	0.051784	0.0465984	0.0339972	0.0308336	0.0395963	0.0664441
a23	0.248508	0.156387	0.0657023	0.0524726	0.0563929	0.0674015	0.0701303	0.0646311	0.0812474	0.137127
a53	0.0951033	0.0418341	0.0168104	0.0121046	0.0153151	0.0249502	0.0559781	0.109957	0.195654	0.432293
a20	0.379787	0.167883	0.0647486	0.0308666	0.0394021	0.0302467	0.0315949	0.0641718	0.0827041	0.108595
a73	0.432057	0.223147	0.107227	0.0482674	0.0492785	0.0333813	0.0233437	0.0254164	0.0252559	0.032626
a56	0.332942	0.225212	0.14409	0.0843201	0.0749239	0.0441254	0.023104	0.0213418	0.0217213	0.0282184
a24	0.245556	0.208806	0.167344	0.112873	0.0998537	0.0542827	0.0279472	0.0255208	0.0262824	0.0315349
a41	0.191922	0.186713	0.157231	0.126395	0.129228	0.0769776	0.0388609	0.0293041	0.0289729	0.0343951
a24	0.165817	0.177309	0.162326	0.157452	0.150844	0.0760945	0.0352844	0.0225017	0.0233895	0.0289819
a41	0.1274	0.165523	0.14051	0.173599	0.174718	0.0958308	0.0437427	0.0231423	0.0233047	0.0322293
a73	0.114562	0.188722	0.168052	0.186208	0.167553	0.0777004	0.0316706	0.0174242	0.0195852	0.0285219
a26	0.0778277	0.158327	0.158028	0.180611	0.165044	0.0963268	0.0487969	0.0310928	0.0341202	0.0498251
a20	0.0593711	0.0986064	0.0909628	0.174476	0.181677	0.153865	0.0887966	0.0508571	0.0424894	0.0588985
a73	0.0914944	0.138364	0.136093	0.158271	0.143355	0.0939394	0.0583591	0.0466726	0.0505466	0.0829051
a94	0.0568443	0.134774	0.107279	0.132722	0.143289	0.0793329	0.0574834	0.064838	0.0949734	0.128464
a76	0.0675823	0.120575	0.0827598	0.121668	0.147396	0.12115	0.0765168	0.059162	0.0818124	0.121377
a90	0.0578772	0.0855688	0.0616104	0.0860778	0.114018	0.125186	0.0978744	0.085218	0.112246	0.174324
a94	0.044758	0.0653229	0.0423235	0.0598358	0.0883987	0.126995	0.141974	0.136393	0.135586	0.158414
a32	0.0463265	0.0648231	0.0408694	0.0496528	0.0708889	0.126338	0.160587	0.145608	0.132683	0.162223
a75	0.0372928	0.0496708	0.0358674	0.0498422	0.0694209	0.109482	0.148824	0.156834	0.157456	0.18531
a12	0.037679	0.0520666	0.0381463	0.0512641	0.0678257	0.106728	0.133457	0.145235	0.174298	0.193301
a18	0.0330043	0.0382193	0.0307495	0.0410054	0.0536409	0.106113	0.167234	0.216169	0.172755	0.141109
a75	0.0375069	0.0535279	0.0469822	0.0627004	0.0853561	0.123136	0.154711	0.181341	0.136251	0.118487
a73	0.0352922	0.0505685	0.0314796	0.0356592	0.0477059	0.100693	0.168799	0.196911	0.166243	0.166649
a20	0.0186317	0.0341913	0.0249228	0.0336145	0.0463892	0.109926	0.189018	0.215014	0.166266	0.162025
a73	0.0306065	0.0437138	0.0334826	0.0360826	0.0455055	0.0837223	0.158751	0.204943	0.171782	0.191411
a84	0.0239855	0.0398724	0.0290603	0.0317053	0.0372983	0.0737989	0.137813	0.193281	0.196886	0.236299
a57	0.0175434	0.0377691	0.0286373	0.0510432	0.0615733	0.0872372	0.119361	0.182066	0.173489	0.24128
a87	0.0260494	0.0282826	0.0220886	0.0315369	0.0394445	0.0417071	0.0602253	0.119994	0.210446	0.420226
a23	0.0178436	0.0159014	0.00960579	0.011332	0.014993	0.0222608	0.0378592	0.107828	0.260615	0.501762
a13	0.0148283	0.0121254	0.006447	0.00717348	0.00934104	0.0130617	0.0232434	0.0777358	0.249845	0.586199
a20	0.00500625	0.0045942	0.00298119	0.00547541	0.00689001	0.0100151	0.0246856	0.105418	0.272391	0.562543
a69	0.00951656	0.00801705	0.00385395	0.00504448	0.00633964	0.0138892	0.032049	0.0974539	0.223222	0.600615
a58	0.0134393	0.0175325	0.0104399	0.0122369	0.0142655	0.0198184	0.0298776	0.0948277	0.270747	0.516815
a82	0.00492494	0.00740532	0.00493318	0.00607135	0.00763683	0.0134394	0.0233584	0.0781187	0.278891	0.57522
a54	0.00162014	0.00243388	0.00212189	0.00316466	0.00397569	0.00822535	0.0208141	0.0963705	0.303626	0.557647
a73	0.00667874	0.00947456	0.00618425	0.00730165	0.00830714	0.0141209	0.0278879	0.0793641	0.233057	0.607624
a94	0.00244111	0.00572705	0.00448988	0.00675118	0.00827939	0.0173378	0.0335087	0.098765	0.279863	0.542837
a13	0.00145528	0.00342984	0.00318303	0.0053588	0.00672944	0.010678	0.0210224	0.0824003	0.28807	0.577673
a83	0.00133262	0.00261617	0.00248514	0.0044008	0.00528148	0.0101213	0.0230059	0.0856979	0.289263	0.575795
a9	0.00313759	0.00503903	0.00406514	0.00621808	0.00693314	0.0110467	0.0228083	0.0821895	0.283947	0.574615
a99	0.00139984	0.002755	0.0021441	0.00506806	0.00600237	0.0112703	0.0252247	0.107821	0.309284	0.52903
a87	0.00189456	0.00252232	0.00168248	0.00302511	0.00354816	0.00636814	0.0149293	0.0744665	0.274266	0.617298
</S>	0.00116351	0.00107846	0.00069183	0.00132994	0.00175716	0.00422771	0.0159187	0.0926144	0.273816	0.607402
