 	la	longueur	de	ce	serpent	les	a	épaté	</S>
a66	0.238469	0.159138	0.119669	0.110894	0.131949	0.112572	0.0551115	0.0397991	0.0323994
a87	0.302631	0.11006	0.0586371	0.0687187	0.120478	0.104679	0.0940697	0.0579305	0.0827962
a23	0.31643	0.204194	0.160556	0.107986	0.080827	0.0474325	0.0321677	0.0220276	0.0283799
a20	0.136634	0.153717	0.167638	0.160566	0.10948	0.0732284	0.0637416	0.0563524	0.0786434
a44	0.264236	0.202324	0.145509	0.127931	0.0968119	0.0580322	0.0400102	0.030098	0.0350482
a15	0.429669	0.236354	0.142746	0.07318	0.0413201	0.0286908	0.0187931	0.0147729	0.0144741
a7	0.299312	0.207512	0.163356	0.114708	0.0767849	0.0524447	0.0331074	0.028512	0.0242625
a79	0.159942	0.161384	0.166051	0.141678	0.110643	0.0760209	0.0619141	0.0622449	0.0601216
a44	0.241517	0.201578	0.158191	0.107838	0.0851031	0.0579512	0.0478979	0.0538118	0.046111
a90	0.215505	0.173449	0.167937	0.119531	0.097887	0.0586009	0.0470675	0.0615621	0.0584606
a93	0.181147	0.156475	0.149476	0.112174	0.102553	0.0691386	0.0616436	0.083907	0.0834862
a4	0.136905	0.142351	0.145384	0.121497	0.120223	0.080639	0.0648294	0.0938099	0.0943622
a57	0.0372788	0.076083	0.103202	0.115822	0.140218	0.10946	0.0973511	0.152405	0.16818
a75	0.0150144	0.0296545	0.0452318	0.0660054	0.0924335	0.0926376	0.132814	0.222238	0.30397
a5	0.0126108	0.0289714	0.0387554	0.0595962	0.10137	0.141511	0.166605	0.232869	0.217712
a36	0.00449208	0.0080262	0.0114108	0.0213332	0.0434105	0.0817008	0.16271	0.328079	0.338837
a54	0.00214365	0.00393992	0.00510048	0.0102248	0.0250606	0.0465307	0.150105	0.329655	0.42724
a15	0.00160164	0.00492219	0.00489521	0.00991332	0.0211045	0.0474133	0.153165	0.351878	0.405107
a36	0.00167471	0.00495276	0.00418476	0.00944287	0.0194664	0.0410938	0.127299	0.343283	0.448602
a7	0.00421795	0.00862407	0.00684881	0.0135213	0.0269137	0.0471629	0.143451	0.318273	0.430987
a84	0.00770861	0.0124161	0.013192	0.0242044	0.0415235	0.0600433	0.129421	0.275117	0.436375
a57	0.054938	0.0737327	0.0692084	0.0718807	0.0721736	0.0796893	0.109595	0.21353	0.255252
a87	0.267209	0.202166	0.137153	0.0992143	0.0751402	0.0612412	0.0497281	0.0551329	0.0530147
</S>	0.431204	0.202769	0.11206	0.0689275	0.0493886	0.0433092	0.033612	0.0312784	0.0274512
