 	yongo	qui	était	chef	de	can	ton	mbochi	voyageait	toujours	en	chaise	à	porteurs	dans	son	fief	</S>
a66	0.0594289	0.0827715	0.0877788	0.0940182	0.104284	0.125763	0.0969037	0.104821	0.0802644	0.0415061	0.0353925	0.0279249	0.0205281	0.0135856	0.00921442	0.00555664	0.00477353	0.00548525
a10	0.0812443	0.0729867	0.0667829	0.0687497	0.0658991	0.0667598	0.0894772	0.080293	0.0975179	0.078959	0.0475905	0.0426631	0.0353192	0.0239018	0.0185301	0.0180976	0.0210337	0.0241942
a87	0.150076	0.11776	0.0960408	0.0874938	0.0897982	0.118869	0.0920362	0.106086	0.069243	0.022995	0.0118851	0.010814	0.00582492	0.00326388	0.0028363	0.0030234	0.00430219	0.00765199
a23	0.16602	0.122405	0.10985	0.0840104	0.0814045	0.131311	0.081354	0.0846025	0.0569381	0.0230014	0.0144996	0.0131948	0.00841721	0.00463017	0.00392463	0.00358898	0.00432164	0.00652626
a83	0.170395	0.111031	0.102626	0.0793701	0.0686786	0.127418	0.070027	0.0816002	0.0681679	0.0258745	0.0206271	0.0202246	0.0153739	0.00897757	0.00673943	0.00592875	0.00765325	0.0092874
a93	0.106775	0.0827881	0.0879673	0.0836018	0.0769539	0.131816	0.0967503	0.078749	0.0628831	0.0286237	0.0287991	0.0294084	0.0203517	0.0112866	0.0100698	0.0128166	0.0201044	0.0302562
a70	0.165618	0.0876537	0.0737411	0.0594166	0.0539887	0.110044	0.0853951	0.0732937	0.0777779	0.0287467	0.0295998	0.0343136	0.0224966	0.0105611	0.0103297	0.0141947	0.0219756	0.0408532
a93	0.104928	0.0750131	0.0847532	0.0741785	0.0704531	0.15106	0.10899	0.0791221	0.0778706	0.0334184	0.0280846	0.0297252	0.0185955	0.00967017	0.00872402	0.00939479	0.0139167	0.0221026
a56	0.0699369	0.0569864	0.0715186	0.0687692	0.0706157	0.154603	0.121483	0.0829358	0.0848596	0.0440623	0.0341679	0.0347383	0.0214752	0.0122181	0.0116354	0.012025	0.0182073	0.0297619
a21	0.053188	0.0598118	0.084179	0.0865734	0.0890069	0.154216	0.123207	0.088821	0.0797398	0.0418467	0.0301324	0.0309284	0.0190411	0.0119608	0.00956821	0.00813135	0.0112778	0.0183714
a5	0.0386201	0.0507173	0.0752488	0.0796821	0.0839332	0.150598	0.126321	0.0926654	0.0900148	0.0487414	0.0357202	0.036653	0.0229149	0.0154938	0.0129561	0.0106101	0.0122591	0.0168502
a56	0.028151	0.0472708	0.0678432	0.0713511	0.0768432	0.135438	0.117219	0.0942516	0.0930376	0.0579749	0.0468099	0.0469698	0.0319249	0.0230411	0.0177321	0.0125411	0.013413	0.0181881
