 	le	village	tsongo	est	situé	dans	une	chaine	de	collines	</S>
a66	0.202687	0.196431	0.170295	0.114529	0.0801035	0.0608604	0.0519065	0.0549451	0.0368095	0.0201126	0.0113205
a87	0.32099	0.177554	0.116685	0.0761782	0.137534	0.0813078	0.0493306	0.0142625	0.0112843	0.00776125	0.00711184
a23	0.465704	0.199082	0.095572	0.0557522	0.0700375	0.0487687	0.02838	0.00887431	0.00756144	0.00955994	0.0107086
a53	0.388846	0.106435	0.0430653	0.0427333	0.116526	0.102048	0.0733434	0.0251885	0.0205529	0.0261669	0.0550938
a44	0.207234	0.106987	0.107191	0.0835355	0.183721	0.129566	0.0780157	0.0325467	0.027708	0.023665	0.01983
a54	0.194491	0.155073	0.154388	0.121547	0.160403	0.095875	0.0471561	0.0217737	0.0192502	0.0147661	0.0152776
a5	0.0670486	0.0764617	0.140057	0.113769	0.210481	0.141147	0.0858394	0.0479702	0.044014	0.0379457	0.0352665
a36	0.0887094	0.0958295	0.109115	0.107774	0.22243	0.154924	0.0999104	0.0411896	0.0344738	0.0226295	0.0230143
a61	0.0703658	0.0935892	0.144021	0.130575	0.190313	0.152637	0.10452	0.0490814	0.0328525	0.0165219	0.0155242
a43	0.0436241	0.068417	0.135163	0.142971	0.157016	0.164025	0.133753	0.075324	0.040296	0.0198643	0.019547
a47	0.0363547	0.0518357	0.0887114	0.108275	0.112785	0.157874	0.16099	0.132805	0.0817279	0.0368816	0.0317592
a31	0.0643756	0.0621265	0.0581305	0.0659843	0.0495366	0.0851057	0.117958	0.173613	0.127198	0.0865547	0.109417
a88	0.023061	0.0295161	0.0624281	0.0652206	0.0451554	0.0559347	0.0857351	0.198224	0.164598	0.146146	0.123982
a53	0.0132618	0.0139236	0.0217259	0.0287978	0.0237614	0.0357387	0.0510404	0.127987	0.157357	0.259821	0.266585
a90	0.0168575	0.01719	0.0255056	0.0307509	0.0192927	0.0274662	0.0381002	0.121139	0.147223	0.271282	0.285193
a92	0.00758161	0.0072718	0.00994317	0.0125223	0.00811547	0.0117901	0.0180212	0.064484	0.0907285	0.297897	0.471645
a85	0.0010675	0.000884923	0.00141971	0.001736	0.00131173	0.00247595	0.0044796	0.035066	0.0556847	0.297866	0.598008
a47	0.000416291	0.000341002	0.000460506	0.000587832	0.000585222	0.00108708	0.00198164	0.013777	0.028216	0.248201	0.704346
a36	0.0017531	0.00148338	0.00235147	0.00241769	0.00165548	0.00267542	0.00418678	0.0267226	0.050755	0.273565	0.632434
a2	0.0169527	0.0147039	0.0235247	0.0165802	0.00807844	0.00840974	0.00951559	0.0547557	0.0871685	0.27923	0.481081
a57	0.117368	0.0974497	0.124004	0.0926049	0.0576124	0.0398259	0.0269264	0.0551859	0.0699953	0.121235	0.197792
a87	0.231801	0.143163	0.13343	0.0937216	0.0691297	0.0548563	0.0448036	0.0568494	0.0451265	0.0563456	0.0707735
a23	0.25236	0.199703	0.156828	0.0766573	0.0582232	0.0434101	0.0370193	0.046193	0.0426757	0.0460187	0.0409109
a87	0.115403	0.0735018	0.0870158	0.0606972	0.0594255	0.0568459	0.0500036	0.0793847	0.0745898	0.133011	0.210121
a23	0.0584995	0.0365508	0.0348595	0.0226516	0.0232257	0.0239227	0.0240743	0.0708814	0.0874274	0.174336	0.443571
a99	0.035482	0.0201745	0.0231867	0.017858	0.0203265	0.0247948	0.0267458	0.0939526	0.11394	0.218913	0.404625
a97	0.0170977	0.00937373	0.0174036	0.017023	0.0174418	0.0270007	0.0360214	0.0991102	0.128045	0.225344	0.406139
</S>	0.0148346	0.00848217	0.0143618	0.0128016	0.0137907	0.0214196	0.0282475	0.0805585	0.0938673	0.190826	0.52081
