 	le	soleil	est	ardent	</S>
a23	0.594538	0.216946	0.0882305	0.049155	0.0511308
a85	0.668115	0.217384	0.0591506	0.0261594	0.0291914
a87	0.412547	0.308757	0.114927	0.0703001	0.0934694
a23	0.429071	0.261026	0.10173	0.0806201	0.127553
a10	0.391471	0.219616	0.0940648	0.124737	0.170111
a87	0.478042	0.294806	0.0931104	0.0719317	0.0621097
a23	0.273971	0.28394	0.170896	0.133777	0.137416
a79	0.263966	0.214268	0.135066	0.204784	0.181916
a94	0.313637	0.213775	0.154852	0.181473	0.136263
a20	0.382757	0.327383	0.198782	0.0620291	0.0290488
a41	0.305017	0.341855	0.227164	0.0775279	0.0484356
a43	0.362928	0.305271	0.199376	0.0749534	0.0574724
a11	0.260665	0.323345	0.245488	0.0920643	0.078438
a54	0.166191	0.276129	0.304753	0.136461	0.116468
a76	0.230815	0.30017	0.242416	0.111689	0.114909
a94	0.264796	0.248199	0.232827	0.133624	0.120554
a24	0.116724	0.163941	0.266756	0.231503	0.221075
a35	0.0313337	0.0479001	0.151197	0.323483	0.446085
a73	0.0232811	0.0290657	0.105664	0.330712	0.511277
a84	0.0234908	0.0283466	0.106736	0.348877	0.492549
a20	0.0108651	0.0120043	0.0388583	0.19842	0.739852
a73	0.0217168	0.0204306	0.0581628	0.246621	0.653068
a37	0.00785681	0.0098333	0.0370716	0.254195	0.691043
a94	0.00577918	0.00685233	0.0280132	0.194205	0.765151
a38	0.0105716	0.0161793	0.0458067	0.184087	0.743355
a9	0.0144954	0.0267583	0.0649445	0.191904	0.701898
a87	0.0156897	0.0170213	0.0306689	0.123003	0.813617
</S>	0.0189578	0.0208117	0.04523	0.15238	0.762621
