 	les	pygmées	sont	de	courte	taille	</S>
a66	0.354012	0.345651	0.18796	0.0715433	0.0264096	0.00849459	0.00592925
a87	0.590948	0.197242	0.0579616	0.056762	0.0385776	0.0313998	0.0271092
a23	0.504958	0.179239	0.0726144	0.0734819	0.0422529	0.0496705	0.0777827
a7	0.177734	0.0768592	0.0739941	0.138039	0.130011	0.154329	0.249034
a84	0.284529	0.240512	0.128038	0.116198	0.0819303	0.0681886	0.0806037
a54	0.201929	0.222953	0.178272	0.165131	0.0968404	0.0658377	0.0690366
a98	0.172604	0.26853	0.153446	0.145098	0.13335	0.0763605	0.050612
a6	0.241505	0.289083	0.144879	0.117829	0.103914	0.0617697	0.0410213
a36	0.245807	0.267714	0.139827	0.108186	0.0862974	0.0800578	0.0721109
a6	0.259385	0.255795	0.147696	0.106807	0.0776441	0.0718086	0.0808636
a47	0.222931	0.251803	0.156636	0.104704	0.0763632	0.0827934	0.10477
a36	0.16882	0.28664	0.174269	0.103169	0.0783743	0.0870136	0.101714
a2	0.128108	0.226566	0.174065	0.120531	0.0923407	0.114512	0.143876
a44	0.0721505	0.121429	0.163782	0.142147	0.132808	0.151784	0.2159
a54	0.0976264	0.20658	0.180983	0.129339	0.0994608	0.122465	0.163545
a47	0.0296095	0.0929138	0.114097	0.118012	0.131983	0.218389	0.294996
a36	0.00945085	0.0548005	0.112126	0.102028	0.132489	0.235602	0.353504
a7	0.0117542	0.0333569	0.0728023	0.0790174	0.125244	0.254194	0.423632
a57	0.0058075	0.0152929	0.0290897	0.0386611	0.0850752	0.251327	0.574747
a13	0.00426354	0.00665	0.0102775	0.0167982	0.0712336	0.279408	0.611369
a99	0.00593682	0.0100581	0.0161535	0.0269224	0.0965193	0.297232	0.547178
a87	0.00588738	0.0137795	0.0276309	0.0469169	0.126085	0.297016	0.482685
a23	0.0924766	0.131556	0.132019	0.116983	0.121757	0.176707	0.2285
a87	0.056557	0.0907624	0.0607967	0.0665543	0.0899777	0.232472	0.402879
</S>	0.0461303	0.0583143	0.0450748	0.052328	0.0750898	0.239533	0.48353
