 	on	n'	aime	pas	être	battu	</S>
a23	0.343774	0.15895	0.0781622	0.0769331	0.0914724	0.110357	0.140351
a10	0.347891	0.227862	0.125622	0.0674241	0.0604419	0.0720181	0.0987403
a87	0.331366	0.208383	0.113741	0.0652795	0.0533265	0.080525	0.14738
a23	0.276492	0.20356	0.125254	0.0682667	0.061966	0.0959918	0.16847
a38	0.227582	0.159899	0.0953576	0.060414	0.0771868	0.136833	0.242728
a24	0.505886	0.274007	0.121493	0.0448327	0.0199135	0.0161589	0.017709
a43	0.501139	0.304981	0.131429	0.0359799	0.0106986	0.0074518	0.00831996
a32	0.355709	0.31065	0.196126	0.0688341	0.0261203	0.0203901	0.0221708
a26	0.287877	0.299145	0.234085	0.101079	0.0341758	0.0221381	0.0215007
a75	0.196279	0.241578	0.266718	0.154984	0.0621143	0.0387658	0.0395606
a41	0.221889	0.238622	0.253975	0.157404	0.063445	0.0354244	0.0292401
a66	0.202161	0.232297	0.258294	0.169486	0.0671633	0.0376947	0.0329041
a24	0.0912732	0.135353	0.239136	0.226116	0.120903	0.0842403	0.102978
a26	0.112192	0.149083	0.201168	0.189222	0.136313	0.101509	0.110512
a98	0.0829376	0.106855	0.161397	0.155449	0.141591	0.142929	0.208841
a25	0.104731	0.126261	0.180248	0.181969	0.150688	0.117977	0.138125
a38	0.0708869	0.0744702	0.11108	0.151817	0.183387	0.18261	0.22575
a76	0.0581514	0.0540576	0.0741328	0.11841	0.188735	0.222118	0.284396
a94	0.0448225	0.039655	0.0661534	0.136501	0.222744	0.228971	0.261153
a32	0.0323096	0.0282976	0.0368892	0.0635002	0.166402	0.284678	0.387924
a38	0.0280277	0.0225011	0.0265396	0.0393911	0.110559	0.274664	0.498318
a73	0.0180832	0.0144991	0.0179202	0.0280904	0.0968388	0.277048	0.54752
a76	0.0167583	0.0120026	0.0133651	0.0260525	0.109306	0.303066	0.519449
a14	0.0155459	0.0130295	0.0197336	0.0360474	0.106039	0.279691	0.529914
a44	0.0147826	0.0124781	0.0171495	0.0346142	0.109975	0.298957	0.512044
a38	0.0210288	0.0196267	0.0262349	0.0374658	0.0944809	0.251129	0.550034
a41	0.00783825	0.00592818	0.00647076	0.0111991	0.0477402	0.20743	0.713394
a66	0.00682207	0.0049892	0.00522648	0.0107984	0.0596823	0.240384	0.672097
a24	0.00689996	0.00486924	0.00492492	0.0100962	0.0578624	0.230949	0.684399
a32	0.0105903	0.00747017	0.00724174	0.014541	0.0741458	0.236203	0.649808
a24	0.0111055	0.00788443	0.00731923	0.0144277	0.0755579	0.252637	0.631069
a98	0.012064	0.00864563	0.00853322	0.017726	0.0841719	0.243014	0.625846
a25	0.00653533	0.00485709	0.0059325	0.0150635	0.0768293	0.238362	0.65242
a38	0.00457267	0.00328475	0.00335426	0.00870945	0.0545835	0.219993	0.705503
a75	0.00527124	0.00383079	0.00361068	0.00705501	0.0419287	0.193733	0.74457
a14	0.00334888	0.00248322	0.00299187	0.00767671	0.0474582	0.20244	0.733601
a30	0.00692086	0.00479596	0.00518832	0.0128905	0.0624034	0.22887	0.678931
a2	0.00459096	0.00359726	0.00455535	0.0117685	0.0610374	0.24679	0.667661
a57	0.00931963	0.00747719	0.00930015	0.0204901	0.0674508	0.235691	0.650271
a10	0.0150683	0.0116775	0.0139765	0.0266576	0.0909757	0.25707	0.584575
a87	0.00754863	0.00622976	0.00830252	0.0168088	0.0727021	0.261893	0.626516
</S>	0.0240688	0.017381	0.0178071	0.0311266	0.106623	0.282982	0.520012
