 	on	l'	a	accusé	à	tort	d'	avoir	volé	un	cabri	</S>
a66	0.27987	0.223189	0.153923	0.102076	0.102938	0.0553719	0.0290005	0.015869	0.0136311	0.00863385	0.00707497	0.00842312
a87	0.260618	0.205756	0.13404	0.0726877	0.0603598	0.0384298	0.0291541	0.0232334	0.0314855	0.0303361	0.0439982	0.0699017
a40	0.318244	0.264569	0.162004	0.0662878	0.0670091	0.0339108	0.0185844	0.0129855	0.0129491	0.00959664	0.0122066	0.0216526
a36	0.360247	0.264873	0.133837	0.0549654	0.0532707	0.0314412	0.0218577	0.018499	0.0147717	0.0140466	0.0148113	0.0173799
a2	0.240455	0.276246	0.215618	0.0977035	0.0667831	0.0319433	0.0144177	0.0104425	0.0074272	0.0092831	0.0126147	0.0170669
a40	0.168889	0.193639	0.182653	0.118829	0.0945939	0.0730197	0.0403691	0.0279841	0.0166631	0.0187531	0.0245512	0.0400553
a6	0.114291	0.128772	0.147807	0.134931	0.12334	0.118296	0.075773	0.0488178	0.0272649	0.0225618	0.0241477	0.033998
a37	0.0792802	0.0927173	0.122314	0.127379	0.120682	0.135124	0.0964121	0.0670442	0.0397474	0.0326247	0.0356969	0.0509793
a90	0.0893063	0.0982045	0.122717	0.111229	0.113734	0.125498	0.0793895	0.0588216	0.0410785	0.0357482	0.0479233	0.0763498
a98	0.0820408	0.0932119	0.132852	0.120146	0.117904	0.136345	0.0878578	0.0619782	0.0426896	0.0318198	0.0379338	0.055222
a79	0.0648896	0.0770575	0.126716	0.13087	0.106696	0.1284	0.105732	0.0763562	0.0503031	0.0351149	0.0379069	0.0599585
a7	0.0355571	0.0405628	0.0848683	0.123876	0.130295	0.175596	0.12587	0.0858499	0.0587957	0.0372059	0.0404177	0.0611058
a6	0.0338696	0.0312933	0.058248	0.10474	0.108734	0.156781	0.123162	0.0904437	0.0700131	0.0517451	0.0651302	0.10584
a5	0.0204512	0.0172508	0.0316332	0.0765616	0.0834513	0.137832	0.138054	0.114896	0.095802	0.0709283	0.0803923	0.132748
a85	0.0162398	0.0137227	0.0235353	0.0581782	0.0706959	0.129093	0.142814	0.142505	0.141836	0.0899866	0.075157	0.0962365
a92	0.00936262	0.00950328	0.0218362	0.0616331	0.0720558	0.115726	0.123612	0.131927	0.123306	0.0996732	0.0986416	0.132723
a98	0.00777538	0.00779226	0.0195837	0.064575	0.0775409	0.129273	0.141589	0.15086	0.136522	0.0950375	0.0748694	0.0945823
a85	0.00495753	0.005253	0.0129233	0.0470695	0.0590266	0.106491	0.131811	0.152142	0.141525	0.106929	0.101261	0.130612
a5	0.00389869	0.00384678	0.00895628	0.0368859	0.0503586	0.0990621	0.137895	0.168638	0.146363	0.112179	0.0989201	0.132996
a36	0.00719184	0.00626026	0.00999283	0.0268991	0.0365475	0.0743245	0.115351	0.157715	0.178904	0.1304	0.101613	0.154801
a27	0.00888325	0.00779314	0.012279	0.026483	0.0324526	0.0683587	0.140462	0.190147	0.177657	0.115628	0.0837565	0.1361
a82	0.0276744	0.0249754	0.027997	0.0429341	0.0515958	0.0671373	0.0956142	0.106219	0.117174	0.094089	0.124954	0.219635
a87	0.0520567	0.0466437	0.0472889	0.0572682	0.0647798	0.0728089	0.0874632	0.0969954	0.106477	0.0941202	0.115125	0.158973
a23	0.0548453	0.0377949	0.0359947	0.0395879	0.0392628	0.0484797	0.0765042	0.107068	0.112522	0.119955	0.150973	0.177013
a79	0.0240015	0.0161666	0.0153332	0.0144604	0.00952614	0.0120445	0.0291096	0.061264	0.0890213	0.155007	0.259703	0.314363
a20	0.00945094	0.00641447	0.0072485	0.00875885	0.00632219	0.0106024	0.0292707	0.0511916	0.0536402	0.118445	0.26336	0.435295
a56	0.00415039	0.00285728	0.00425291	0.00772521	0.00613	0.0107226	0.0264908	0.0438093	0.0496765	0.10903	0.265721	0.469434
a96	0.00159404	0.00116963	0.00185512	0.00446729	0.00466028	0.0101964	0.023165	0.0456767	0.063623	0.117527	0.276746	0.449319
a83	0.000972887	0.000737472	0.00116164	0.00264631	0.00306198	0.00702427	0.0209534	0.0479936	0.0663928	0.123489	0.275469	0.450098
a66	0.000921073	0.000733469	0.00112891	0.00252644	0.00324687	0.00676339	0.0186842	0.0401996	0.0548638	0.102468	0.260118	0.508347
a93	0.000692924	0.000557119	0.000780579	0.00161844	0.0022192	0.00427479	0.0123926	0.0295861	0.0436732	0.0942985	0.267072	0.542835
a96	0.000756326	0.000626772	0.00090179	0.0018896	0.00248627	0.00449258	0.0125435	0.028753	0.0460606	0.0976918	0.266341	0.537457
a0	0.000955341	0.000884783	0.00154709	0.00345626	0.0038027	0.00623143	0.0153412	0.036101	0.0579404	0.112904	0.25303	0.507805
a9	0.00144236	0.00126339	0.00189829	0.00398312	0.0049226	0.00737722	0.0158234	0.031789	0.0513449	0.107009	0.263592	0.509555
a10	0.0184566	0.0151078	0.0173884	0.0269441	0.0247021	0.0262314	0.0416262	0.0557644	0.0672204	0.123287	0.231069	0.352202
a87	0.0570182	0.0443549	0.044516	0.0557018	0.0409628	0.0374018	0.0506213	0.0614296	0.0727532	0.112992	0.171405	0.250844
a23	0.236494	0.143236	0.100408	0.0749567	0.0556415	0.0408148	0.0424025	0.0405637	0.0503172	0.0683523	0.0723505	0.0744624
a87	0.154796	0.0858659	0.0574821	0.0364189	0.0210093	0.0189046	0.0281359	0.0363731	0.0573142	0.0857358	0.157954	0.260011
</S>	0.0277331	0.0171142	0.0145669	0.0123651	0.00806015	0.0101331	0.0194817	0.0294774	0.0467203	0.0697614	0.209351	0.535236
