 	le	poisson	olombi	se	nourrit	de	petites	fourmis	noires	</S>
a66	0.312296	0.195668	0.148604	0.0834482	0.0636543	0.0513192	0.0432867	0.0392275	0.0311588	0.0313361
a87	0.465399	0.167519	0.0802106	0.0885972	0.0597644	0.031117	0.0235325	0.0241198	0.0241104	0.0356301
a23	0.517633	0.192249	0.124913	0.0596766	0.0310616	0.0143616	0.00968601	0.00921511	0.0140132	0.0271912
a87	0.433166	0.170787	0.132637	0.0582867	0.0355181	0.0192502	0.0162012	0.0233577	0.0359899	0.0748069
a23	0.438054	0.17478	0.132628	0.056113	0.0372051	0.0252137	0.0194915	0.0256546	0.03521	0.0556495
a79	0.285462	0.154952	0.147851	0.0896897	0.0606329	0.0370545	0.0322616	0.0437578	0.058987	0.0893522
a13	0.160931	0.155878	0.194518	0.138078	0.0868796	0.0494393	0.0484146	0.0505139	0.0547707	0.0605774
a70	0.160796	0.178742	0.22678	0.14959	0.083631	0.0423397	0.0345486	0.0371278	0.040119	0.0463258
a94	0.0986012	0.166982	0.216428	0.169395	0.113301	0.0657012	0.0480297	0.0416169	0.0399125	0.0400337
a70	0.0643836	0.112043	0.162079	0.170103	0.13889	0.086595	0.0669089	0.0619696	0.0650703	0.0719577
a96	0.0699159	0.0922637	0.131983	0.165565	0.151928	0.0909768	0.0653158	0.0659604	0.0740175	0.0920738
a90	0.0579381	0.0597858	0.0847211	0.140236	0.145767	0.089897	0.0692068	0.0826238	0.107995	0.16183
a25	0.0362347	0.042892	0.0589181	0.140052	0.156534	0.0984761	0.0840067	0.0954089	0.12031	0.167167
a79	0.0265262	0.036756	0.0488209	0.147625	0.163076	0.111253	0.0948274	0.0979098	0.114672	0.158534
a75	0.0315967	0.0318459	0.0470147	0.117513	0.160649	0.112006	0.101377	0.109853	0.122759	0.165385
a85	0.0240683	0.0233671	0.0306459	0.0927205	0.167361	0.141197	0.125166	0.121556	0.126436	0.147483
a47	0.0128415	0.0158303	0.0213431	0.0885771	0.17416	0.153626	0.131939	0.126398	0.134982	0.140303
a98	0.00867718	0.00808943	0.0104152	0.0396731	0.107064	0.109928	0.109979	0.129925	0.20058	0.27567
a47	0.0140098	0.0140224	0.0152353	0.0476235	0.113418	0.13033	0.135113	0.138007	0.185116	0.207125
a7	0.0107816	0.00984312	0.0100746	0.0193026	0.0556939	0.0914691	0.133811	0.165587	0.219726	0.283712
a79	0.0112578	0.00749309	0.00626042	0.00730653	0.0147615	0.0307474	0.0841134	0.135184	0.264702	0.438174
a15	0.00383531	0.00277303	0.00200885	0.00331384	0.0083197	0.020652	0.072352	0.135167	0.287697	0.463881
a7	0.00277867	0.00204114	0.00137238	0.00259003	0.00717848	0.0161712	0.055846	0.12243	0.294417	0.495175
a44	0.00555817	0.00499507	0.00452935	0.00537867	0.0099002	0.0124457	0.0341431	0.0805037	0.237223	0.605324
a70	0.00748725	0.00606282	0.00546738	0.010219	0.0225775	0.0332221	0.0738347	0.124766	0.238764	0.4776
a66	0.00637325	0.00542895	0.00508983	0.0103909	0.0238844	0.0340622	0.0666853	0.109649	0.224001	0.514435
a71	0.00830852	0.00748938	0.00730769	0.0134671	0.0281747	0.036326	0.0689015	0.126224	0.233574	0.470228
a9	0.0328474	0.0238365	0.0167327	0.0195861	0.0341989	0.0443328	0.089461	0.132866	0.239461	0.366677
a87	0.26241	0.116086	0.0590103	0.0407554	0.0518393	0.0561214	0.0747256	0.0784974	0.110336	0.150218
a23	0.423093	0.194467	0.095275	0.0539202	0.0448115	0.0367538	0.0374939	0.0376192	0.0363167	0.0402492
a87	0.225346	0.0913697	0.0358735	0.0299266	0.0376712	0.043323	0.0741942	0.115738	0.147056	0.199503
</S>	0.024351	0.0130653	0.00693543	0.0116293	0.0218366	0.0326358	0.0783875	0.142538	0.237506	0.431115
