 	ce	voleur	a	beaucoup	de	cicatrices	au	dos	à	cause	de	la	bastonnade	qu'	il	a	reçue	dans	la	rue	</S>
a15	0.220612	0.114848	0.0462292	0.0293653	0.0258292	0.0397146	0.0417412	0.0396588	0.0459006	0.0488897	0.0564156	0.0565363	0.0443758	0.0396353	0.0326538	0.029057	0.0269843	0.0202692	0.0152251	0.0141833	0.0118754
a87	0.185632	0.112165	0.08645	0.0583987	0.0526031	0.0572926	0.035412	0.0287784	0.029099	0.0308831	0.0352515	0.0249764	0.0197296	0.0303956	0.0272053	0.0304732	0.0249659	0.0266574	0.0267344	0.0316424	0.0452547
a23	0.274049	0.211267	0.141187	0.069293	0.0507592	0.0394111	0.0298605	0.0286293	0.0285922	0.0275656	0.0140322	0.00885405	0.00693854	0.00879896	0.00943515	0.00935009	0.00680807	0.00698158	0.00613915	0.00707651	0.0149714
a61	0.107584	0.112137	0.141169	0.126116	0.110908	0.0552089	0.0382362	0.0438461	0.0355894	0.0358074	0.0269738	0.0199686	0.0159745	0.0170637	0.0182292	0.0193918	0.0153318	0.0147517	0.0139886	0.0141798	0.0175447
a94	0.0724315	0.0609472	0.0649585	0.0637482	0.0638476	0.0654888	0.0509991	0.0739859	0.0652926	0.0545968	0.0423992	0.031558	0.0294344	0.0219922	0.0236217	0.0250013	0.022795	0.0278025	0.0324986	0.0538583	0.0527425
a96	0.139787	0.159566	0.125364	0.099252	0.0813304	0.0905643	0.0521713	0.0469182	0.0256243	0.0212891	0.0142928	0.0109685	0.0129664	0.0090996	0.0105218	0.0114322	0.00927525	0.0153427	0.0175681	0.0238043	0.0228613
a56	0.10452	0.181683	0.188194	0.136058	0.092862	0.0804581	0.0461099	0.04142	0.0217326	0.019444	0.0120828	0.00915077	0.00805977	0.00633575	0.00633056	0.00652298	0.00534737	0.00803923	0.00867972	0.00877953	0.00819092
a96	0.0628721	0.125063	0.183639	0.178261	0.130989	0.0945238	0.0543769	0.0446407	0.0260007	0.0247899	0.013126	0.00911083	0.00720336	0.00533851	0.00502168	0.00513407	0.00404469	0.00597619	0.00651901	0.00619612	0.00717338
a24	0.0638451	0.117269	0.170119	0.195607	0.158197	0.0915817	0.0497087	0.0380047	0.0243073	0.0246541	0.0123392	0.00822133	0.00723291	0.0052799	0.00482178	0.00506537	0.00341842	0.00443238	0.00448417	0.00503292	0.00637777
a76	0.0581021	0.0973367	0.143998	0.174412	0.160035	0.0935402	0.0572852	0.0512937	0.0384748	0.0353557	0.0188655	0.0120277	0.00966312	0.00794131	0.0072702	0.007791	0.0047319	0.00513225	0.00443348	0.00523726	0.00707247
