 	la	voiture	qui	vient	de	passer	m'	a	éclaboussée	</S>
a15	0.361483	0.195462	0.130673	0.0840574	0.0784748	0.0665782	0.0436548	0.0208246	0.0105847	0.0082073
a66	0.238666	0.133346	0.143683	0.104477	0.101339	0.0851126	0.0701819	0.0556301	0.0342319	0.033332
a87	0.38421	0.20996	0.184671	0.109562	0.0476258	0.0258208	0.0133038	0.00730986	0.00705628	0.0104815
a23	0.235683	0.250562	0.224061	0.17047	0.0675459	0.0236836	0.00998499	0.00637882	0.00508568	0.00654462
a87	0.222902	0.203443	0.15737	0.159546	0.12875	0.0571603	0.0259131	0.0171509	0.0126879	0.0150765
a23	0.211439	0.231361	0.181252	0.159054	0.108969	0.0497134	0.0234115	0.0144931	0.00952356	0.0107845
a87	0.234155	0.227057	0.14114	0.143678	0.108759	0.0476002	0.0262789	0.0226297	0.0194137	0.0292883
a23	0.225025	0.226587	0.149154	0.143072	0.116828	0.0625047	0.0316678	0.0193146	0.0113503	0.0144964
a79	0.229933	0.217777	0.125038	0.13402	0.107898	0.0529233	0.0309335	0.0280541	0.0270304	0.0463937
a69	0.247352	0.234442	0.156029	0.135811	0.0817479	0.0322496	0.0207391	0.0191719	0.0287196	0.043737
a58	0.224435	0.231395	0.166566	0.151092	0.109232	0.0418569	0.0226368	0.0144514	0.0165496	0.0217857
a90	0.108962	0.156725	0.15382	0.189525	0.15852	0.0897369	0.0547044	0.0289393	0.0239626	0.0351053
a25	0.107537	0.118469	0.145909	0.190883	0.165044	0.110558	0.0666756	0.0332326	0.0226303	0.0390627
a79	0.0726713	0.0838535	0.126046	0.155021	0.151245	0.14326	0.117152	0.0533741	0.0376311	0.0597459
a5	0.0785652	0.0765027	0.113265	0.133637	0.132503	0.144664	0.126379	0.0629766	0.052946	0.0785609
a61	0.103231	0.0986343	0.132577	0.15351	0.164632	0.1445	0.0922669	0.0409045	0.0289315	0.0408122
a12	0.0886634	0.0887481	0.126277	0.153056	0.179561	0.16942	0.105407	0.0406385	0.021341	0.0268877
a75	0.04876	0.0491437	0.0853734	0.127899	0.18205	0.207359	0.161257	0.0752237	0.0304232	0.0325107
a61	0.0347216	0.033606	0.0487031	0.0717336	0.127008	0.183431	0.189574	0.130238	0.0792436	0.101741
a47	0.0287668	0.0249069	0.040982	0.0717772	0.139539	0.20744	0.205075	0.144417	0.069585	0.0675108
a24	0.0235265	0.019927	0.0303678	0.0517595	0.108143	0.189457	0.220145	0.173061	0.0951972	0.088417
a94	0.0143682	0.0127092	0.016658	0.0257162	0.052491	0.112246	0.177009	0.223078	0.191705	0.17402
a71	0.0145441	0.0156105	0.0227146	0.0369813	0.0540274	0.105238	0.143302	0.223762	0.20039	0.18343
a3	0.0226238	0.0308709	0.0485876	0.0648298	0.0697459	0.109966	0.123538	0.166429	0.151258	0.21215
a87	0.0196901	0.0231935	0.0397356	0.0513384	0.0622031	0.0974097	0.126129	0.165418	0.166129	0.248754
a79	0.0285553	0.0213822	0.0399493	0.0469264	0.0584826	0.071556	0.122217	0.169948	0.204734	0.236249
a90	0.0091591	0.00789984	0.0139663	0.0210372	0.0264006	0.0453388	0.0597295	0.099047	0.207288	0.510133
a94	0.00387256	0.00352865	0.00578482	0.0088472	0.0129439	0.0239669	0.0382409	0.0838084	0.235282	0.583724
a90	0.000648057	0.000639248	0.00123533	0.00240022	0.00363712	0.00835325	0.0152033	0.0532717	0.214948	0.699664
a92	0.00187751	0.00174383	0.00281571	0.00495582	0.0064549	0.0124783	0.0179238	0.0566386	0.239743	0.655369
a12	0.000944139	0.000806018	0.00119276	0.00200754	0.00267992	0.00599613	0.0105655	0.0409626	0.175649	0.759196
a96	0.000523533	0.000404153	0.00053252	0.000733721	0.000928335	0.00248607	0.00561738	0.028111	0.15075	0.809914
a75	0.000285943	0.000253535	0.000417518	0.000620456	0.000670758	0.00167501	0.00376888	0.0227615	0.159909	0.809637
a47	0.000173099	0.000179289	0.000232307	0.000323192	0.000409757	0.00131235	0.00296933	0.018103	0.134337	0.841961
a36	0.000154103	0.000139471	0.000169715	0.000269189	0.000439096	0.00154006	0.00391224	0.0235707	0.157607	0.812199
a2	0.00349051	0.00179807	0.00199635	0.00185747	0.00195518	0.00474955	0.0115181	0.0439886	0.172352	0.756294
a57	0.130051	0.0527196	0.0500075	0.0389343	0.0441315	0.0680868	0.077611	0.101107	0.13081	0.306541
a87	0.224774	0.108863	0.0917374	0.0708193	0.0777624	0.0638611	0.0454037	0.070469	0.0977611	0.148549
a23	0.173725	0.0981742	0.0917074	0.0720808	0.0824116	0.0761684	0.0728019	0.0962633	0.109136	0.127531
a87	0.0700693	0.0284998	0.0392676	0.0391275	0.0403006	0.0580745	0.0593131	0.103848	0.219963	0.341537
</S>	0.0230114	0.00921968	0.0124779	0.0126088	0.0152195	0.0229118	0.0349686	0.0726154	0.231193	0.565773
