 	ce	n'	est	pas	lui	qui	m'	a	battu	c'	est	l'	autre	</S>
a23	0.189473	0.116787	0.0789847	0.0862939	0.0966025	0.10803	0.0861119	0.0628206	0.0501973	0.0433094	0.0327517	0.0202667	0.015183	0.013188
a87	0.231681	0.134199	0.0918072	0.0616454	0.0609684	0.0843871	0.0725514	0.0530623	0.0385838	0.0401617	0.0380839	0.0339466	0.030105	0.0288167
a79	0.114002	0.100951	0.0984933	0.0784985	0.0683926	0.0776824	0.0639248	0.0467205	0.0347057	0.0369209	0.0426853	0.0604337	0.0779673	0.0986223
a41	0.350013	0.208177	0.108989	0.0628033	0.043522	0.0331729	0.0226176	0.0168988	0.0145265	0.0203662	0.0246635	0.028155	0.0308039	0.0352916
a96	0.368725	0.276128	0.131528	0.060101	0.0357221	0.0275983	0.0188169	0.0121781	0.00965848	0.0113337	0.0112043	0.0117967	0.0126079	0.012602
a90	0.241108	0.239151	0.168531	0.0938999	0.0566063	0.047177	0.0330495	0.0215248	0.0164355	0.0165219	0.0153267	0.0154748	0.0165006	0.0186929
a15	0.113345	0.134384	0.128621	0.102827	0.0792169	0.0706046	0.0630678	0.0485164	0.0406766	0.0386453	0.0365308	0.0394416	0.0468042	0.0573196
a44	0.106293	0.13036	0.133244	0.115024	0.0941782	0.0849765	0.0751456	0.0535354	0.0428319	0.0355207	0.0286738	0.0271525	0.0320517	0.0410133
a58	0.0608779	0.0809979	0.101052	0.109625	0.102275	0.0974969	0.0933989	0.0686501	0.0544531	0.043778	0.036656	0.0375502	0.0477497	0.0654399
a54	0.0552482	0.0706039	0.091281	0.105528	0.103098	0.0996972	0.0967368	0.0706948	0.0564927	0.0438777	0.037336	0.0398744	0.0528713	0.0766594
a73	0.0484264	0.0559474	0.0743563	0.0971059	0.106268	0.104661	0.101639	0.0812095	0.0656911	0.0508345	0.0429203	0.0432288	0.053824	0.0738878
a69	0.0500601	0.0573843	0.0805088	0.114843	0.127277	0.12287	0.105267	0.0792049	0.0622831	0.0449346	0.0346785	0.0314541	0.0375737	0.051661
a20	0.0383023	0.0425839	0.0566493	0.0892448	0.111099	0.120086	0.118416	0.0946788	0.0756163	0.0543132	0.0422161	0.0388059	0.0478308	0.070157
a94	0.0453484	0.0467285	0.0548268	0.0770567	0.0969581	0.109441	0.109996	0.0989323	0.0836974	0.066273	0.0532225	0.0438231	0.0486474	0.0650494
a76	0.0513827	0.0529349	0.0627716	0.0821043	0.0970016	0.114021	0.11274	0.0964185	0.0769664	0.061146	0.0494059	0.0414543	0.0445714	0.0570819
a69	0.0480527	0.0497269	0.0578072	0.0757993	0.0897668	0.103743	0.105878	0.0972438	0.0832461	0.0708624	0.0591967	0.0484329	0.0486474	0.0615969
a90	0.0550209	0.0548557	0.0602727	0.0766594	0.0911546	0.104073	0.111677	0.103851	0.0871109	0.0676307	0.050927	0.038713	0.0415874	0.0564668
