 	ils	ont	sorti	les	veuves	de	leur	deuil	aujourd'	hui	</S>
a66	0.126636	0.144919	0.154894	0.154111	0.133431	0.163792	0.0825278	0.0180592	0.00696049	0.00727532	0.00739482
a87	0.345051	0.27484	0.208387	0.0732446	0.0212012	0.0398592	0.0149995	0.00738031	0.0048312	0.00458159	0.00562488
a23	0.376169	0.263619	0.139742	0.079153	0.054315	0.0517415	0.0175697	0.00481091	0.00358442	0.00417968	0.0051153
a87	0.316779	0.293282	0.189012	0.0775949	0.0381264	0.0228521	0.00872841	0.00602734	0.00833092	0.0153163	0.0239508
a23	0.327743	0.283106	0.188795	0.0802454	0.045112	0.0274991	0.00985847	0.00515793	0.00590176	0.0105959	0.0159857
a79	0.225558	0.208359	0.117421	0.0581405	0.0403289	0.0273555	0.0224371	0.0339106	0.052101	0.0914517	0.122937
a15	0.0723916	0.0841191	0.102579	0.0978337	0.105984	0.147744	0.114269	0.0898233	0.056247	0.0575145	0.0714944
a36	0.0371062	0.0499624	0.107336	0.118245	0.110915	0.159653	0.149679	0.129425	0.0565235	0.0451063	0.0360476
a40	0.0164186	0.0331358	0.111518	0.123485	0.087991	0.137688	0.123476	0.161812	0.0913966	0.065705	0.0473748
a94	0.0193833	0.0272173	0.0657834	0.13728	0.145104	0.177142	0.142668	0.135773	0.0676681	0.0469776	0.0350034
a70	0.0319655	0.0328345	0.0459434	0.0990423	0.177699	0.162394	0.0952108	0.0868136	0.0998479	0.0932285	0.0750209
a0	0.0315997	0.029137	0.0294662	0.0847707	0.18207	0.172521	0.0972298	0.0765945	0.105244	0.101629	0.0897371
a54	0.0184774	0.0164112	0.0148171	0.048652	0.139084	0.178273	0.118285	0.0963152	0.141446	0.120086	0.108152
a15	0.00451142	0.004561	0.00545467	0.0141559	0.0285373	0.0565634	0.09789	0.170718	0.228006	0.210226	0.179377
a7	0.00730883	0.00764895	0.00728205	0.0165236	0.0271708	0.0644371	0.115982	0.200127	0.219345	0.184065	0.150108
a34	0.00863679	0.00841676	0.00696344	0.0147292	0.0203066	0.0287432	0.0593819	0.156133	0.270666	0.231047	0.194976
a62	0.00817551	0.00795516	0.00584254	0.0103455	0.014597	0.0193863	0.0448863	0.131328	0.231065	0.261163	0.265256
a96	0.0035012	0.00371399	0.0034833	0.00745066	0.0103819	0.0123638	0.0290788	0.105286	0.235396	0.287638	0.301706
a88	0.00143472	0.0013908	0.00108571	0.00193712	0.00243575	0.00375423	0.0115156	0.0750808	0.214293	0.30924	0.377832
a54	0.00052095	0.000497769	0.000368539	0.000789844	0.00107381	0.0018859	0.0062661	0.0456416	0.227113	0.30954	0.406303
a15	0.000197488	0.000178194	0.000126356	0.000290112	0.000402162	0.00102083	0.00536789	0.0538151	0.242955	0.317215	0.378433
a7	7.05295e-05	7.0084e-05	4.36821e-05	0.000113685	0.000180194	0.000542731	0.00261708	0.0247006	0.197317	0.354822	0.419523
a84	0.00017143	0.000165629	0.000129583	0.000252869	0.000307789	0.000849193	0.00357207	0.0267103	0.160042	0.339536	0.468263
a57	0.0338562	0.034557	0.0292605	0.0291359	0.0181287	0.0226216	0.0245516	0.0337361	0.0829494	0.217833	0.47337
a87	0.279531	0.209608	0.0925547	0.0668548	0.0379474	0.0237522	0.0215548	0.025552	0.0490251	0.0755787	0.118041
a23	0.412788	0.308084	0.109193	0.0599649	0.0212578	0.0116381	0.0105318	0.0118304	0.0147727	0.0177696	0.0221703
a87	0.123024	0.0871364	0.0482834	0.035955	0.0139132	0.0165884	0.0292817	0.0995685	0.221473	0.179184	0.145592
</S>	0.0122943	0.00965515	0.00491346	0.00648493	0.00337019	0.00497513	0.016039	0.121804	0.328504	0.271078	0.220881
