 	le	guérisseur	soigne	le	malade	</S>
a15	0.402859	0.241515	0.147763	0.104208	0.0606344	0.0430206
a30	0.318291	0.199321	0.12917	0.134933	0.100921	0.117363
a10	0.409138	0.162269	0.0824529	0.0905013	0.102439	0.153199
a83	0.43693	0.179304	0.103811	0.096028	0.086771	0.0971563
a75	0.32021	0.195333	0.116615	0.096646	0.116574	0.154621
a6	0.418205	0.260646	0.153164	0.0801694	0.0497286	0.0380873
a96	0.370659	0.275824	0.201985	0.0845681	0.0403601	0.026604
a75	0.353031	0.296282	0.207699	0.08307	0.0353936	0.0245248
a85	0.236679	0.242656	0.22335	0.139351	0.0884479	0.0695155
a44	0.166326	0.184807	0.193227	0.173901	0.145478	0.136261
a38	0.169547	0.212051	0.216408	0.198517	0.112599	0.0908777
a25	0.113382	0.150396	0.175306	0.240125	0.176904	0.143887
a90	0.0542126	0.0805741	0.121812	0.232702	0.266379	0.24432
a84	0.033808	0.0446922	0.0711759	0.169704	0.306824	0.373797
a53	0.0075018	0.0076512	0.0118414	0.0445515	0.215432	0.713022
a90	0.0135	0.0149237	0.0233225	0.0706968	0.268342	0.609215
a44	0.0150602	0.0179121	0.0278654	0.0755193	0.245675	0.617968
a83	0.00655712	0.00696984	0.0114844	0.0435765	0.202508	0.728904
a9	0.00221377	0.00239342	0.00441396	0.021251	0.152457	0.817271
a87	0.0348586	0.0276044	0.0297284	0.0642212	0.197585	0.646002
a23	0.256393	0.187187	0.097271	0.103409	0.135157	0.220583
a87	0.188685	0.131047	0.0832335	0.102539	0.18971	0.304785
a23	0.0440363	0.0342092	0.0309569	0.0735726	0.250068	0.567156
a87	0.0934316	0.0707222	0.049609	0.0894974	0.242072	0.454668
</S>	0.0673824	0.056179	0.0532543	0.105027	0.264965	0.453192
