 	raconte-moi	comment	as-tu	fait	ton	mariage	</S>
a66	0.273461	0.214849	0.158776	0.129809	0.110994	0.0814534	0.0306576
a87	0.306509	0.159758	0.157795	0.129783	0.132059	0.0795372	0.0345586
a97	0.4181	0.268173	0.138456	0.0689833	0.0492761	0.0320591	0.0249521
a87	0.43335	0.297245	0.150886	0.0604966	0.0296977	0.0154422	0.0128816
a97	0.443255	0.286182	0.153213	0.0591842	0.0309042	0.0152232	0.0120383
a87	0.435009	0.242762	0.137238	0.0664203	0.0508681	0.0346189	0.0330828
a99	0.465346	0.245747	0.131704	0.059314	0.0431167	0.0299467	0.0248258
a30	0.379844	0.234467	0.136391	0.0805794	0.0605144	0.0497431	0.0584613
a53	0.359756	0.25343	0.139502	0.080699	0.0623542	0.0457501	0.0585088
a93	0.265998	0.226713	0.155679	0.103852	0.104196	0.0619826	0.0815787
a70	0.225119	0.290684	0.201271	0.121843	0.0835799	0.0391628	0.0383409
a96	0.179612	0.273892	0.21489	0.141968	0.0976783	0.0498925	0.0420677
a12	0.114286	0.202604	0.198673	0.170291	0.141871	0.0960676	0.0762072
a94	0.066151	0.122316	0.14612	0.171657	0.185118	0.167466	0.141172
a70	0.0699735	0.131567	0.156717	0.170635	0.170199	0.15846	0.142448
a54	0.0732239	0.133556	0.159884	0.166393	0.158622	0.152951	0.155369
a36	0.11305	0.164375	0.174436	0.147423	0.150802	0.122559	0.127355
a7	0.0724993	0.114752	0.149358	0.15617	0.173814	0.149937	0.183469
a54	0.0727934	0.10025	0.140349	0.154766	0.188776	0.14975	0.193315
a36	0.0686237	0.0836233	0.110416	0.129913	0.193358	0.195165	0.218901
a94	0.0425886	0.0607919	0.0877028	0.121445	0.198935	0.184394	0.304143
a18	0.0218404	0.026415	0.0476914	0.0772813	0.174358	0.211932	0.440482
a94	0.00578856	0.00750213	0.0174837	0.0389022	0.143599	0.253805	0.53292
a24	0.00452795	0.00547134	0.0129223	0.0285222	0.113997	0.2359	0.59866
a98	0.00364851	0.00424567	0.00925004	0.0194999	0.0881147	0.239217	0.636025
a18	0.00384548	0.00397428	0.00747474	0.0154533	0.0700761	0.185739	0.713437
a32	0.0038274	0.00347905	0.00714258	0.0154228	0.067126	0.203299	0.699703
a62	0.00498812	0.0041039	0.00811502	0.0170711	0.0807879	0.216186	0.668748
a83	0.00218059	0.00212943	0.00485993	0.0134612	0.0734032	0.240022	0.663944
a50	0.00220287	0.00223318	0.00479501	0.0131001	0.0688144	0.226334	0.682521
a88	0.00326491	0.00349109	0.00676967	0.0185342	0.0821062	0.253884	0.63195
a71	0.00260845	0.00260255	0.0052866	0.0125803	0.0582804	0.203094	0.715547
a83	0.0134905	0.0125621	0.0145886	0.0243822	0.0748433	0.212015	0.648118
a38	0.0161275	0.0121624	0.0154236	0.023402	0.0746486	0.197963	0.660273
a90	0.0257007	0.017197	0.0194667	0.0245845	0.0699616	0.18707	0.65602
a69	0.00290823	0.00233063	0.00517262	0.0133076	0.0695631	0.19313	0.713588
a4	0.0010003	0.00100624	0.0027617	0.00895632	0.0521519	0.172212	0.761912
a58	0.0013519	0.00120212	0.00266582	0.00696826	0.0393012	0.171368	0.777143
a82	0.00294089	0.0023825	0.00415743	0.00842482	0.0366863	0.170973	0.774435
a87	0.0745698	0.0560055	0.0542452	0.0548046	0.0796417	0.177197	0.503536
a23	0.145586	0.12883	0.0907337	0.0779702	0.0842085	0.150216	0.322455
a97	0.177852	0.139327	0.108136	0.0927568	0.105832	0.143591	0.232506
a87	0.156035	0.131047	0.111332	0.0978874	0.0978899	0.132481	0.273328
</S>	0.163404	0.136447	0.102482	0.0849658	0.0858662	0.115044	0.311791
