 	cet	homme-ci	est	un	grand	sorcier	</S>
a66	0.321462	0.168125	0.122698	0.0834782	0.103869	0.119489	0.0808774
a87	0.239979	0.166793	0.187668	0.187422	0.128282	0.0572007	0.032655
a23	0.433884	0.285084	0.125606	0.0662604	0.0398368	0.0280345	0.0212934
a83	0.433397	0.268412	0.151931	0.064292	0.0308665	0.0236957	0.027406
a90	0.463019	0.222437	0.145616	0.0812306	0.0347989	0.0261457	0.0267531
a98	0.328882	0.213648	0.191181	0.142728	0.0650399	0.0337555	0.0247657
a92	0.0750861	0.109234	0.181938	0.281683	0.168415	0.102517	0.0811272
a21	0.0972203	0.108654	0.191862	0.255953	0.137489	0.110735	0.098087
a12	0.0874692	0.0937386	0.164078	0.208754	0.164106	0.145714	0.13614
a18	0.0732119	0.0629772	0.128129	0.195434	0.182699	0.18466	0.17289
a31	0.0182146	0.0137789	0.0293335	0.0702632	0.157507	0.323819	0.387084
a47	0.00901211	0.00650665	0.0120346	0.0316564	0.147124	0.350411	0.443255
a21	0.0101749	0.00663273	0.010195	0.01922	0.104452	0.356232	0.493093
a6	0.00229862	0.00156492	0.00238238	0.00634566	0.0596251	0.32263	0.605154
a36	0.00127881	0.000858525	0.00141158	0.00423432	0.0382422	0.264156	0.689819
a2	0.00503128	0.00360239	0.00450278	0.00875942	0.0419288	0.242839	0.693337
a57	0.0659936	0.0545823	0.0458293	0.0377336	0.0714256	0.213302	0.511134
a87	0.237943	0.177306	0.152034	0.0856911	0.0978245	0.104006	0.145196
a23	0.26215	0.219749	0.225428	0.141714	0.0750033	0.0400343	0.0359202
a99	0.178153	0.140349	0.117131	0.0810885	0.105742	0.142701	0.234835
a87	0.0754315	0.0711339	0.0533174	0.0437111	0.10448	0.249539	0.402387
a97	0.0201971	0.0200132	0.0161968	0.0192216	0.0802942	0.270882	0.573195
</S>	0.0585731	0.0508013	0.0399617	0.0394683	0.0781798	0.207891	0.525125
