 	le	fait	d'	assurer	l'	intermédiaire	entre	deux	amants	est	une	mauvaise	tâche	</S>
a66	0.127067	0.0921806	0.0725233	0.0828096	0.0470721	0.0474528	0.10623	0.126216	0.0941	0.0944682	0.0756584	0.01934	0.00804499	0.00683608
a87	0.177862	0.112784	0.0614755	0.0293484	0.0229151	0.0191001	0.0342293	0.0682064	0.129139	0.122971	0.107773	0.0534357	0.0320801	0.0286807
a97	0.16299	0.103762	0.0896111	0.0427165	0.0417475	0.0452678	0.0505187	0.0821665	0.111984	0.091662	0.0836105	0.0403941	0.0225442	0.0310258
a87	0.107795	0.0819521	0.0950909	0.0612404	0.0567104	0.0687036	0.0597763	0.0829333	0.114964	0.0955455	0.0779789	0.0413673	0.0261728	0.0297696
a10	0.0926157	0.0731819	0.0756114	0.0514518	0.0476067	0.0528617	0.0566251	0.0853675	0.116642	0.106797	0.104945	0.0607209	0.0377978	0.0377743
a97	0.0973089	0.0710593	0.0676156	0.0464362	0.0379552	0.0423095	0.0506387	0.0813879	0.109449	0.101139	0.121871	0.081265	0.0502263	0.041338
a99	0.097348	0.065046	0.059428	0.0353717	0.0301024	0.0348055	0.0472815	0.0924029	0.103973	0.118246	0.149908	0.0875658	0.0452487	0.0332734
a97	0.125036	0.082348	0.0919308	0.0529528	0.0465838	0.0535316	0.0545029	0.0925322	0.078057	0.0883037	0.121421	0.0694088	0.0257518	0.0176401
a99	0.147785	0.0904873	0.0955678	0.0502623	0.0491531	0.052194	0.0540061	0.0903503	0.0704268	0.0841589	0.112843	0.0650091	0.0227402	0.0150164
a97	0.153121	0.0932097	0.101598	0.0502663	0.048932	0.0512643	0.0498961	0.0828838	0.0623393	0.0660227	0.0942513	0.0779273	0.0396284	0.0286605
a79	0.135495	0.0806167	0.0882027	0.0478872	0.0506427	0.0495001	0.0508212	0.0905834	0.064593	0.0841536	0.123526	0.0764273	0.0333529	0.0241988
a53	0.161766	0.106768	0.12148	0.105939	0.0799361	0.0676222	0.0594031	0.0749107	0.0483109	0.0466541	0.0518815	0.0335366	0.021609	0.0201826
a44	0.127728	0.138104	0.154727	0.170045	0.113505	0.105754	0.0668156	0.0475035	0.0391229	0.0139057	0.0104548	0.00556281	0.00326065	0.00351088
a56	0.0777913	0.120088	0.136033	0.168236	0.119273	0.129509	0.0842293	0.0620961	0.056067	0.021106	0.0116601	0.0054789	0.0038477	0.00458531
a34	0.0674	0.101846	0.111761	0.147367	0.121214	0.147756	0.0995975	0.0769208	0.070638	0.0262149	0.0131119	0.00560805	0.00485563	0.00570817
a56	0.0595197	0.0900846	0.0952528	0.119327	0.113222	0.134366	0.109597	0.0947943	0.0926971	0.0473788	0.023361	0.0077196	0.00610308	0.00657758
a37	0.0550191	0.0755154	0.0752187	0.0983839	0.106161	0.146376	0.115704	0.102236	0.106779	0.0523302	0.0284998	0.0113803	0.0122355	0.0141602
a62	0.0381932	0.0526582	0.0498731	0.0654825	0.0893022	0.134949	0.120033	0.119682	0.133772	0.0726802	0.0474526	0.0203724	0.0252014	0.0303475
a31	0.0217055	0.0268548	0.0233346	0.0319178	0.0590492	0.104576	0.10711	0.117849	0.139531	0.0884722	0.0742628	0.0446595	0.0761173	0.0845599
a0	0.0078647	0.00962039	0.0086303	0.0121174	0.0267594	0.0527231	0.06792	0.0897429	0.110709	0.0982587	0.111672	0.0965435	0.154094	0.153344
a75	0.00338426	0.0036296	0.00323163	0.00422776	0.0113863	0.0233002	0.0365315	0.0572829	0.0785178	0.0891273	0.128397	0.165395	0.232374	0.163215
a5	0.00209192	0.00221759	0.00220021	0.00276894	0.00606016	0.0132744	0.0238807	0.0302012	0.0317768	0.040143	0.0613568	0.119631	0.26025	0.404147
a12	0.00360652	0.00339357	0.00357473	0.00492135	0.0102049	0.0212333	0.0351961	0.0390006	0.0376051	0.0444561	0.0721074	0.163185	0.280128	0.281387
a18	0.000627437	0.000469819	0.000448027	0.00055954	0.00168871	0.00300272	0.00569275	0.00778845	0.00794289	0.0149579	0.0331227	0.150615	0.397991	0.375093
a88	0.000320946	0.000298709	0.000231125	0.000254539	0.000597036	0.000875676	0.00191357	0.00300119	0.00310796	0.00548787	0.0156332	0.074465	0.407336	0.486477
a62	0.000178848	0.000151274	0.000112516	0.000122918	0.000295379	0.00048398	0.00123338	0.00215077	0.00224497	0.004573	0.0145862	0.066294	0.37884	0.528733
a88	0.000122613	8.32426e-05	6.25133e-05	5.98475e-05	0.000157679	0.000280843	0.000832854	0.00177764	0.00283957	0.00599502	0.0194104	0.0940666	0.389065	0.485246
a71	4.25405e-05	3.13188e-05	2.43264e-05	2.45026e-05	5.05848e-05	8.8984e-05	0.000265388	0.000507115	0.000937007	0.00164897	0.00582846	0.0388005	0.370699	0.581051
a9	0.000220546	0.000201312	0.000124176	0.00014006	0.000219708	0.000374374	0.000879672	0.000961804	0.000931311	0.00131898	0.00317438	0.0170099	0.283441	0.691002
