 	pendant	la	saison	de	grandes	pluies	les	populations	de	boundji	se	nourrissent	d'	oseille	et	de	mangues	</S>
a87	0.0906699	0.0818419	0.0629611	0.0729368	0.0572123	0.0500612	0.0470362	0.0547423	0.0469314	0.0653765	0.0815846	0.103796	0.0931491	0.0397656	0.0165659	0.0126819	0.0109286	0.0117589
a10	0.0986681	0.0546909	0.0332046	0.0235422	0.0199306	0.0213292	0.0179659	0.0190775	0.0296553	0.0411215	0.0675812	0.0950512	0.113307	0.0673993	0.048856	0.0570281	0.0862241	0.105367
a87	0.144487	0.0906493	0.0642221	0.0463668	0.0308649	0.0276924	0.0252165	0.0324409	0.0236968	0.0285776	0.0401895	0.0596334	0.0622395	0.0452641	0.0305087	0.0432387	0.0723167	0.132395
a83	0.22269	0.128584	0.0760358	0.0508224	0.0288014	0.0177978	0.0160815	0.0233055	0.0136852	0.0186221	0.0303502	0.0518615	0.0524647	0.0383392	0.0278735	0.0401922	0.0615507	0.100942
a62	0.145867	0.107148	0.0564297	0.037275	0.0186527	0.0142687	0.0185538	0.0199954	0.0159773	0.0218535	0.0342592	0.0773844	0.0772411	0.0576889	0.0378199	0.0570374	0.0787005	0.123848
a21	0.418074	0.237774	0.096758	0.052231	0.0222443	0.0147423	0.0158849	0.0207748	0.0155639	0.017642	0.0161078	0.0192489	0.0149533	0.0106275	0.00686799	0.00683598	0.00623745	0.00743189
a66	0.36334	0.211756	0.102604	0.0594561	0.0275611	0.021053	0.0237697	0.0323665	0.0231865	0.0306154	0.0249714	0.0260036	0.0184882	0.0115548	0.00603558	0.00608565	0.00535313	0.00579919
a98	0.211385	0.162544	0.116533	0.0926175	0.0450444	0.0309316	0.0301278	0.0419706	0.0356474	0.0372427	0.036375	0.0448256	0.0358152	0.0265041	0.0146643	0.0139026	0.011405	0.012463
a79	0.101031	0.095955	0.100495	0.113443	0.0836333	0.0652575	0.0660347	0.0818809	0.0643392	0.0546121	0.0334086	0.0288347	0.0226704	0.0205433	0.0173829	0.0168005	0.0158758	0.0178022
a44	0.0706811	0.0787617	0.0982258	0.123717	0.0977328	0.0714496	0.0727416	0.0893874	0.0688809	0.0599207	0.0362008	0.0301655	0.0243107	0.0207361	0.0155249	0.0137241	0.0130277	0.0148114
a98	0.0555642	0.0783486	0.106743	0.135658	0.107982	0.0717871	0.0709102	0.0872713	0.0625536	0.0546428	0.0347797	0.0296379	0.026222	0.0215337	0.0151928	0.0130091	0.0129079	0.0152556
a73	0.0369541	0.0558056	0.0831173	0.119045	0.112836	0.0913445	0.0863164	0.0933809	0.0777827	0.0671846	0.0433425	0.0287878	0.0249893	0.0185971	0.0139561	0.0128151	0.0147737	0.0189714
a94	0.0240343	0.0388537	0.0642219	0.104888	0.114857	0.100721	0.0941215	0.0965879	0.0823693	0.0728253	0.0501522	0.0332471	0.0297927	0.0225103	0.0163217	0.014856	0.0172503	0.0223902
a44	0.0193842	0.0289899	0.0523399	0.1038	0.124475	0.116295	0.102467	0.10328	0.0819779	0.0616286	0.0408209	0.0266138	0.0253129	0.0208612	0.0176743	0.0174702	0.023112	0.0334972
a56	0.0146457	0.0207498	0.0368238	0.082245	0.117739	0.12073	0.10425	0.1015	0.0754386	0.0527063	0.0365841	0.0261961	0.0260057	0.0233657	0.0239252	0.0289637	0.0435301	0.064602
a70	0.0287182	0.0336262	0.045162	0.0840082	0.116413	0.129972	0.111477	0.101865	0.0851485	0.0603702	0.0439731	0.027128	0.0231472	0.0176279	0.0169097	0.0171534	0.0235847	0.0337153
a61	0.0133441	0.0174254	0.028194	0.0620585	0.11612	0.137522	0.1155	0.106595	0.0826952	0.0553508	0.0383547	0.0249633	0.0242445	0.0201723	0.0229543	0.02829	0.0431574	0.0630577
a70	0.0181052	0.0216076	0.0317449	0.0648108	0.11683	0.147212	0.125851	0.112191	0.0921803	0.0610215	0.0427217	0.026511	0.0244605	0.0193393	0.0191273	0.0183214	0.0238312	0.0341332
a98	0.0151224	0.0178462	0.0257733	0.0505774	0.100695	0.153481	0.130928	0.110801	0.102321	0.0659889	0.0492636	0.0304914	0.0297284	0.0225662	0.0211088	0.0188335	0.0230628	0.0314107
a85	0.0152862	0.0166928	0.0211044	0.040058	0.0878775	0.150703	0.128566	0.107384	0.0891398	0.067717	0.0577872	0.0386722	0.0344656	0.0243282	0.0229582	0.0230593	0.0306609	0.0435397
a37	0.0180046	0.017999	0.0208752	0.0370477	0.0818908	0.146167	0.12187	0.0976547	0.0791902	0.063762	0.0564987	0.0416205	0.0371126	0.0281348	0.0279008	0.029995	0.0393743	0.0549024
a66	0.0113879	0.0135914	0.0201688	0.040271	0.0842303	0.153084	0.134395	0.110291	0.0907634	0.0613666	0.0470682	0.0295201	0.0274757	0.021797	0.0259813	0.0280095	0.0403253	0.060274
