 	quand	ils	n'	avaient	pas	encore	d'	enfants	la	femme	restait	toute	triste	dans	la	maison	</S>
a87	0.155943	0.089861	0.053783	0.0289522	0.0325912	0.0348011	0.0464818	0.0494825	0.0780939	0.0814392	0.089079	0.057942	0.0717965	0.0416883	0.0356024	0.0300666	0.0223962
a23	0.146231	0.058677	0.0446593	0.0360769	0.0404485	0.0565053	0.0599103	0.0593172	0.0650041	0.0485022	0.0296195	0.0228288	0.0321979	0.0440584	0.078488	0.0897225	0.0877535
a87	0.0874366	0.0572595	0.0625133	0.0568608	0.0662575	0.0743847	0.0725019	0.0705603	0.0796337	0.0685671	0.0413642	0.0301616	0.0355875	0.0412106	0.0563007	0.053764	0.045636
a23	0.0710262	0.0455943	0.0482603	0.0411407	0.0496354	0.0610335	0.0633146	0.0736738	0.0850393	0.0819158	0.0536947	0.0424968	0.0477019	0.0531072	0.0642921	0.0612799	0.0567935
a40	0.0791776	0.0590883	0.0634815	0.0574752	0.064519	0.0550206	0.0527176	0.0490286	0.0542747	0.0523992	0.0315718	0.029653	0.0544438	0.0751637	0.0993818	0.072366	0.0502377
a56	0.290725	0.190089	0.126933	0.0960231	0.0632621	0.048242	0.0340184	0.0260087	0.0267579	0.0248557	0.0170577	0.0101582	0.00922213	0.00705047	0.00681137	0.00982881	0.0129557
a66	0.230534	0.167678	0.128295	0.112332	0.0747749	0.0615137	0.0440291	0.0341194	0.0323952	0.0299759	0.0219299	0.0137598	0.0122174	0.00861482	0.00703517	0.00927862	0.0115166
a75	0.128257	0.119376	0.114427	0.108162	0.0832148	0.0731609	0.0559831	0.0487058	0.048111	0.0473385	0.0423197	0.0299301	0.0241169	0.0171544	0.0145905	0.019505	0.025648
a6	0.0628551	0.0765755	0.0862631	0.105499	0.0998137	0.0968545	0.0796896	0.074054	0.0662066	0.066245	0.050791	0.0307101	0.0199702	0.0134631	0.0131968	0.0227303	0.0350824
a44	0.0582324	0.0764404	0.0876348	0.104902	0.100424	0.0960518	0.0787926	0.0719578	0.0642753	0.0646201	0.0489942	0.0299616	0.0202763	0.0144077	0.0150161	0.026354	0.0416582
a13	0.0610463	0.0826632	0.101882	0.116419	0.107492	0.102403	0.0786461	0.0674415	0.0613519	0.0602089	0.0461921	0.0278327	0.0171329	0.0112066	0.0108127	0.0182584	0.0290113
a54	0.0777519	0.088453	0.103512	0.108924	0.0987423	0.0969735	0.0734352	0.0646807	0.0651413	0.0654287	0.0533154	0.0303469	0.0170526	0.0100715	0.00899675	0.0143446	0.0228293
a47	0.0312499	0.0454498	0.0597626	0.0820026	0.0922006	0.0958676	0.0800275	0.0776235	0.0703732	0.0782639	0.0672989	0.0428844	0.0302193	0.0226946	0.0228255	0.0387952	0.0624609
a41	0.0364608	0.0483323	0.0606541	0.0774586	0.0878751	0.0884309	0.0775023	0.0779917	0.0751938	0.0845644	0.0766544	0.0443286	0.0292139	0.0208502	0.0218653	0.0358354	0.0567881
a37	0.0421923	0.0486805	0.0573385	0.0706045	0.0801881	0.0838122	0.0742226	0.0793352	0.078161	0.0892368	0.0891084	0.0540369	0.0360902	0.0225056	0.0198674	0.02931	0.04531
a93	0.0404425	0.0445596	0.0512686	0.0588747	0.0714488	0.082667	0.0795073	0.0889002	0.093554	0.103071	0.102986	0.0613135	0.0361558	0.0189678	0.0142463	0.0199998	0.0320372
a70	0.0306086	0.0384302	0.0490952	0.0582841	0.0724938	0.0873979	0.0848387	0.0915321	0.0984713	0.102107	0.0962052	0.0618828	0.0372406	0.0206095	0.0155229	0.021658	0.0336222
