 	je	suis	comme	ton	cadet	</S>
a66	0.520521	0.186077	0.0974228	0.0828618	0.0688474	0.0442706
a87	0.414883	0.248246	0.158569	0.102411	0.0398485	0.0360426
a23	0.548064	0.292605	0.0977765	0.0328342	0.0144861	0.0142344
a87	0.591048	0.256483	0.0790545	0.0322074	0.020002	0.0212047
a23	0.579901	0.278674	0.0875767	0.0274461	0.0123331	0.0140698
a83	0.571466	0.204961	0.0795518	0.0500105	0.043831	0.0501791
a62	0.464141	0.212165	0.130865	0.0942275	0.060807	0.0377943
a21	0.305879	0.284828	0.201987	0.108903	0.058783	0.0396205
a12	0.169202	0.264737	0.276435	0.167835	0.0749804	0.0468104
a75	0.11265	0.205139	0.292542	0.220114	0.108313	0.0612408
a92	0.091511	0.169853	0.271957	0.225165	0.150065	0.0914493
a56	0.0939156	0.158045	0.241689	0.243981	0.156439	0.10593
a44	0.074872	0.115855	0.19117	0.275939	0.198953	0.143211
a43	0.0401043	0.0494828	0.0951133	0.246061	0.314483	0.254755
a61	0.0146257	0.0145097	0.0277918	0.12472	0.385783	0.432569
a34	0.00854228	0.00862929	0.0155802	0.0666387	0.344665	0.555945
a75	0.00288937	0.00372639	0.00804707	0.0393153	0.280102	0.66592
a92	0.0010069	0.00126673	0.00354906	0.0200887	0.207724	0.766364
a37	0.000485858	0.000685406	0.00208624	0.013234	0.164129	0.81938
a26	0.000596551	0.000661125	0.00150909	0.00693153	0.105314	0.884987
a82	0.0213145	0.017527	0.0193007	0.0284962	0.135165	0.778197
a87	0.215834	0.084099	0.0611063	0.0620958	0.139422	0.437443
a23	0.382009	0.210168	0.110951	0.0577569	0.0843679	0.154747
a87	0.315432	0.148268	0.076924	0.0568609	0.106698	0.295818
</S>	0.0691115	0.0426955	0.0407998	0.0572601	0.195889	0.594244
