 	on	jette	les	balayures	derrière	la	case	</S>
a10	0.222258	0.161534	0.154013	0.162133	0.106376	0.0720396	0.0649618	0.0566849
a87	0.225504	0.103364	0.0955523	0.12075	0.121829	0.109133	0.109494	0.114373
a23	0.339564	0.135982	0.0863424	0.0840085	0.073311	0.0800272	0.094683	0.106082
a99	0.380171	0.163554	0.100373	0.0817342	0.0756062	0.0682886	0.0667182	0.0635549
a54	0.509674	0.204481	0.0956544	0.0271227	0.0280147	0.0351954	0.0443964	0.0554609
a30	0.614103	0.199225	0.0933119	0.0268518	0.0168387	0.017863	0.0164745	0.0153318
a14	0.411122	0.258938	0.164958	0.0639438	0.033602	0.026523	0.0221302	0.0187834
a44	0.367802	0.279132	0.197931	0.07075	0.0286019	0.0220354	0.0180451	0.0157019
a26	0.332464	0.286189	0.204952	0.0697474	0.0319253	0.0268501	0.0244437	0.0234286
a38	0.27188	0.283766	0.22655	0.0873346	0.0368351	0.0318801	0.0303512	0.0314031
a30	0.291475	0.30632	0.228433	0.0792677	0.0288815	0.0227981	0.0210706	0.0217545
a35	0.307079	0.308308	0.212831	0.0824128	0.0294586	0.0221179	0.0191549	0.0186384
a24	0.241132	0.290144	0.239194	0.104735	0.0417147	0.0308828	0.027486	0.0247117
a41	0.204964	0.24526	0.21849	0.113763	0.0664342	0.0558821	0.0509014	0.0443051
a35	0.14633	0.203022	0.225169	0.127435	0.0726046	0.0663074	0.0763917	0.0827404
a26	0.132623	0.167983	0.187839	0.13423	0.0908354	0.084993	0.098625	0.10287
a24	0.0593383	0.0880827	0.123004	0.128181	0.145446	0.151785	0.159413	0.14475
a94	0.0611043	0.074876	0.0846903	0.0751953	0.103073	0.148606	0.215266	0.237189
a76	0.0393266	0.0431158	0.0511285	0.0615206	0.107257	0.164896	0.256265	0.276492
a35	0.0453191	0.0455697	0.0453787	0.0563359	0.10233	0.162115	0.254327	0.288624
a26	0.0252769	0.021924	0.0235244	0.0377002	0.0966213	0.160515	0.281695	0.352743
a66	0.0227863	0.0183594	0.0223519	0.0353908	0.0756922	0.137093	0.279551	0.408776
a98	0.0533719	0.0355756	0.0388529	0.0464094	0.0746712	0.127022	0.244802	0.379295
a14	0.0247425	0.0125897	0.0113688	0.015829	0.0441267	0.102789	0.272185	0.516369
a73	0.0101542	0.00694029	0.00787385	0.0151081	0.0515101	0.122982	0.300772	0.484659
a84	0.00904282	0.00628222	0.00811412	0.0135999	0.0517988	0.118644	0.298536	0.493982
a57	0.0136657	0.00733168	0.00837742	0.015686	0.0515751	0.107515	0.260008	0.535841
a87	0.0267536	0.0158765	0.0114548	0.0212309	0.0544233	0.107095	0.258486	0.50468
a79	0.0274071	0.0314294	0.0257538	0.0417842	0.084461	0.14776	0.26348	0.377925
a94	0.0352947	0.0441538	0.038262	0.0593396	0.103623	0.167266	0.246504	0.305556
a76	0.0239412	0.0217109	0.0229029	0.045121	0.0908948	0.141722	0.241039	0.412668
a94	0.0302841	0.0227261	0.0199419	0.0337676	0.0759348	0.127724	0.248538	0.441083
a35	0.00795102	0.00652278	0.00817031	0.0206749	0.071509	0.136979	0.27294	0.475253
a98	0.00654682	0.00505373	0.00579085	0.0108711	0.0435764	0.104453	0.26799	0.555717
a14	0.00240562	0.002268	0.00346073	0.0106828	0.0447639	0.111161	0.269671	0.555586
a37	0.00376552	0.00361639	0.00545886	0.0122269	0.045431	0.110976	0.272406	0.54612
a98	0.0019924	0.00144168	0.00200306	0.00541973	0.0257222	0.0765271	0.240001	0.646893
a66	0.00724248	0.00598553	0.00703186	0.0109684	0.0347033	0.0879763	0.248908	0.597184
a61	0.00653903	0.00458842	0.00471111	0.0119549	0.0400673	0.0940312	0.246149	0.591959
a47	0.00977212	0.00593097	0.00546015	0.011674	0.039149	0.0876981	0.243965	0.596351
a62	0.0127431	0.0073734	0.00735789	0.0166157	0.0447107	0.0975655	0.248367	0.565266
a83	0.0127654	0.00734515	0.00667312	0.0116016	0.0380189	0.091436	0.245662	0.586498
a9	0.0185146	0.0109237	0.00954194	0.0169249	0.0472564	0.101933	0.245825	0.54908
a99	0.0313931	0.0245204	0.0195382	0.0293079	0.0556616	0.106389	0.23435	0.49884
a87	0.0215467	0.0202739	0.0179278	0.0252395	0.0557401	0.0944586	0.237711	0.527102
</S>	0.0248363	0.0225443	0.0187089	0.031617	0.0657114	0.108632	0.246832	0.481118
