 	la	tempête	s'	est	apaisée	</S>
a66	0.199008	0.261875	0.229027	0.141415	0.101826	0.0668493
a10	0.210902	0.244956	0.194973	0.135447	0.102003	0.111719
a11	0.389011	0.272507	0.163228	0.094393	0.0503281	0.0305325
a30	0.489058	0.283953	0.116686	0.0532577	0.0357005	0.0213452
a87	0.477303	0.296421	0.126619	0.0521663	0.0297748	0.0177155
a23	0.425385	0.335156	0.140814	0.0573405	0.0266706	0.0146337
a62	0.435446	0.278152	0.143148	0.0662224	0.0411011	0.0359302
a83	0.413768	0.181292	0.146775	0.089401	0.0843748	0.0843888
a70	0.504748	0.17921	0.109328	0.0719884	0.0606209	0.0741047
a34	0.581298	0.177712	0.089414	0.0597882	0.0410241	0.0507635
a43	0.506902	0.204252	0.114919	0.0739129	0.0488614	0.0511526
a0	0.395235	0.227302	0.140786	0.101731	0.0751557	0.0597904
a47	0.346951	0.249999	0.156151	0.106703	0.0766351	0.0635608
a62	0.399109	0.282677	0.136246	0.0855076	0.0591922	0.0372684
a88	0.347427	0.307139	0.148307	0.0920661	0.06131	0.0437512
a71	0.258256	0.332725	0.167829	0.104238	0.0804304	0.0565218
a38	0.179633	0.303861	0.181471	0.133732	0.129541	0.0717629
a90	0.125969	0.305119	0.217901	0.143778	0.13302	0.0742128
a69	0.0716001	0.191053	0.217257	0.192759	0.200907	0.126424
a58	0.0352582	0.12296	0.180401	0.196154	0.288158	0.177069
a57	0.0567488	0.145464	0.151481	0.166641	0.283704	0.195962
a82	0.0558837	0.131456	0.168642	0.165064	0.261746	0.217209
a11	0.143472	0.182789	0.218911	0.181819	0.157423	0.115585
a10	0.210972	0.213003	0.26155	0.179573	0.0858874	0.0490145
a87	0.234147	0.21259	0.257116	0.173287	0.0830988	0.0397613
a23	0.351395	0.217101	0.202697	0.124424	0.0647538	0.0396291
a2	0.080736	0.138835	0.19994	0.184096	0.208135	0.188259
a30	0.117963	0.121542	0.186734	0.197292	0.212616	0.163854
a2	0.0536741	0.0535029	0.0939291	0.138024	0.289137	0.371733
a10	0.148721	0.122102	0.153676	0.153175	0.187678	0.234649
</S>	0.201091	0.181694	0.194016	0.149998	0.137186	0.136015
