 	nous	avons	acheté	les	feuilles	de	man-	ioc	au	marché	</S>
a66	0.276597	0.108929	0.118083	0.125404	0.0914602	0.0711207	0.0442475	0.0467042	0.0429343	0.0412261	0.0332943
a87	0.107075	0.0496492	0.0326774	0.0543065	0.0711922	0.0776834	0.140414	0.179469	0.142105	0.0818363	0.0635922
a23	0.308917	0.162755	0.113892	0.07692	0.05156	0.084608	0.0824078	0.0420548	0.0348013	0.0242098	0.0178749
a83	0.250656	0.217438	0.194836	0.118586	0.0605387	0.0673098	0.0435654	0.0125793	0.0111563	0.0108031	0.0125325
a9	0.325681	0.151511	0.147754	0.146512	0.0765401	0.0582321	0.0437136	0.0194078	0.0122503	0.0101571	0.00824117
a24	0.170931	0.162792	0.218688	0.164846	0.0929024	0.0697421	0.059372	0.023398	0.0154503	0.0124631	0.00941593
a47	0.148942	0.179618	0.244572	0.128363	0.0871263	0.0779627	0.0748108	0.0230634	0.0158509	0.0105276	0.00916381
a31	0.11768	0.143416	0.192804	0.103462	0.0853736	0.074405	0.140458	0.0593812	0.0348516	0.025557	0.022611
a43	0.103251	0.115634	0.136372	0.090057	0.0798057	0.0653037	0.174269	0.105547	0.0591818	0.0396151	0.0309625
a75	0.0707263	0.0901192	0.100811	0.0794947	0.0685019	0.0548196	0.168589	0.171593	0.096746	0.0594199	0.0391791
a56	0.0461242	0.0556531	0.0928505	0.117512	0.110063	0.0845131	0.131132	0.108203	0.0986648	0.0862791	0.0690046
a98	0.042698	0.0495147	0.0631746	0.087559	0.0665495	0.0505926	0.0793229	0.158487	0.172671	0.140146	0.0892842
a85	0.0189314	0.0274689	0.0408737	0.0914616	0.106052	0.092347	0.119213	0.171792	0.132331	0.105434	0.0940958
a21	0.00678508	0.00826162	0.0112254	0.0260284	0.029422	0.0316464	0.0586658	0.196381	0.246064	0.215827	0.169693
a85	0.00539817	0.00515749	0.0044927	0.00751135	0.00848148	0.0109381	0.0311934	0.168314	0.281183	0.259819	0.217511
a21	0.00593702	0.00487358	0.00521164	0.0077224	0.00955291	0.00937827	0.0205894	0.121567	0.268211	0.296044	0.250913
a61	0.00596386	0.00643915	0.00545156	0.00882207	0.00892736	0.01179	0.0230704	0.12335	0.249827	0.307052	0.249306
a75	0.00205465	0.00215151	0.00167549	0.00252136	0.00313342	0.00343841	0.00793191	0.0437462	0.143806	0.359456	0.430085
a92	0.000473918	0.000498115	0.000652065	0.000991693	0.00117994	0.00132909	0.00239685	0.0126451	0.0845773	0.322484	0.572772
a75	0.000754273	0.000805529	0.000912447	0.00144018	0.00213476	0.00206956	0.00276977	0.00986474	0.0581599	0.308956	0.612132
a5	0.000441633	0.000417742	0.000499069	0.000998478	0.00156287	0.00185051	0.00238775	0.00892647	0.0516628	0.266341	0.664912
a37	0.00026456	0.000299694	0.000295739	0.000527753	0.000995135	0.00143145	0.00225977	0.00902526	0.0562021	0.304222	0.624476
a18	0.000890389	0.000850166	0.000812958	0.00148831	0.00433987	0.004485	0.00760146	0.0169017	0.0844505	0.324384	0.553795
a82	0.0108727	0.00811172	0.00872281	0.0136354	0.0240236	0.0157008	0.0240244	0.033899	0.0718117	0.223542	0.565656
a87	0.140664	0.0647589	0.0575805	0.0507753	0.057803	0.041166	0.0419783	0.0348108	0.0508063	0.140591	0.319066
a23	0.174891	0.0804639	0.0712588	0.0784888	0.096752	0.117324	0.108264	0.0515368	0.0530947	0.0725566	0.0953693
a99	0.0337539	0.013272	0.00692938	0.00604789	0.0109426	0.0157207	0.0313571	0.0282561	0.0882284	0.299986	0.465506
a97	0.0108954	0.00486905	0.00321593	0.00289165	0.00487946	0.00746552	0.022992	0.052064	0.169581	0.34749	0.373656
a3	0.00428374	0.00212677	0.00164314	0.00161359	0.00264416	0.00488581	0.0167243	0.0377446	0.131008	0.332924	0.464401
</S>	0.0207832	0.0124766	0.0129338	0.0151001	0.0192261	0.0329515	0.0781532	0.0706263	0.128579	0.253868	0.355302
