 	j'	ai	perdu	mon	honneur	dans	ce	village	</S>
a66	0.341519	0.165114	0.107371	0.120309	0.107959	0.0678508	0.0398822	0.0245617	0.0254333
a87	0.363854	0.199928	0.127865	0.100118	0.0587165	0.0399711	0.0342225	0.0306549	0.0446699
a97	0.2761	0.210697	0.156705	0.132015	0.0723909	0.0390856	0.0304365	0.0356949	0.0468754
a13	0.300999	0.218607	0.155605	0.129106	0.0673631	0.03557	0.027121	0.0297431	0.0358854
a62	0.41067	0.244944	0.142433	0.086081	0.0449749	0.0226608	0.0165755	0.0148855	0.0167753
a21	0.354365	0.247454	0.174861	0.0909457	0.0501946	0.0269894	0.019966	0.0157819	0.0194425
a12	0.297933	0.242698	0.190378	0.11394	0.0643487	0.0354064	0.0208218	0.0160606	0.018414
a62	0.184948	0.221359	0.230535	0.12622	0.0789515	0.0548759	0.0376958	0.0306244	0.0347913
a0	0.140546	0.177234	0.245589	0.161275	0.103543	0.0613368	0.0393404	0.0342935	0.0368429
a75	0.0712488	0.0957258	0.196942	0.185681	0.153093	0.0951709	0.0651785	0.0646152	0.0723444
a90	0.0527187	0.0617301	0.131054	0.153172	0.132762	0.124854	0.106757	0.114461	0.122491
a93	0.049474	0.0595225	0.127561	0.162591	0.157547	0.141459	0.1012	0.100351	0.100295
a90	0.0519984	0.054077	0.106279	0.144862	0.166688	0.143876	0.0994844	0.110033	0.122702
a75	0.0279077	0.0237323	0.0424033	0.0945997	0.163618	0.191051	0.14622	0.155975	0.154493
a6	0.00716657	0.00592598	0.0114976	0.0320816	0.093232	0.168687	0.180046	0.240142	0.261221
a56	0.00197332	0.00181886	0.00452744	0.014456	0.0582306	0.150952	0.199558	0.26863	0.299855
a75	0.00176978	0.0015176	0.00272523	0.00604145	0.0218528	0.0722468	0.158158	0.321793	0.413896
a15	0.000593525	0.000528768	0.00117633	0.00305146	0.0135231	0.0673199	0.166896	0.326691	0.42022
a7	0.000125936	0.000119972	0.000290072	0.000808043	0.00417928	0.0312456	0.109121	0.342377	0.511734
a4	0.000436246	0.00040148	0.000567106	0.00103057	0.0035182	0.0244765	0.0951437	0.347164	0.527262
a53	0.000314127	0.00027594	0.000426783	0.00094774	0.00354306	0.0236945	0.0923667	0.33571	0.542721
a7	0.000164691	0.000158324	0.000295973	0.000730255	0.00285224	0.020714	0.0908584	0.341836	0.54239
a2	0.000527384	0.000480118	0.000898358	0.00185247	0.0059292	0.0323544	0.106089	0.311519	0.54035
a57	0.0787311	0.046524	0.0469583	0.0560559	0.0596791	0.0786844	0.106493	0.217732	0.309143
a87	0.111208	0.0685601	0.0572602	0.0722921	0.0785828	0.101105	0.119067	0.174655	0.217269
a97	0.136572	0.0867863	0.0663226	0.070504	0.0745999	0.0961565	0.117809	0.169049	0.182201
a99	0.065386	0.0490236	0.0328869	0.0322099	0.0368155	0.0773272	0.139515	0.257655	0.30918
a97	0.0339403	0.0278076	0.0242947	0.028957	0.0413318	0.0945968	0.153268	0.257316	0.338488
a3	0.0179007	0.0187763	0.019431	0.0285902	0.0473008	0.0976559	0.150105	0.257621	0.362619
</S>	0.0178997	0.0193521	0.0201774	0.0295374	0.0521924	0.104775	0.157965	0.255835	0.342266
