 	on	fabrique	le	tam-tam	avec	la	peau	de	cabri	</S>
a66	0.429494	0.186033	0.117113	0.0948571	0.0768468	0.0421823	0.0212343	0.0129434	0.00962523	0.00967067
a87	0.507767	0.129638	0.0694869	0.063095	0.0535226	0.0395289	0.0293644	0.0275316	0.0300324	0.050033
a23	0.392996	0.156658	0.108654	0.0887446	0.0628179	0.043658	0.0327144	0.0300994	0.032428	0.0512286
a20	0.245913	0.117054	0.140388	0.120145	0.0710664	0.0452884	0.0358088	0.0407931	0.0633494	0.120194
a15	0.448635	0.17836	0.114401	0.0660073	0.0467782	0.0322191	0.0261079	0.0255763	0.029036	0.0328795
a36	0.25431	0.189277	0.180373	0.105431	0.0779683	0.0544095	0.0385205	0.0322689	0.0332204	0.0342218
a6	0.141165	0.146437	0.189274	0.123066	0.0791428	0.0563669	0.0501459	0.0570246	0.0725597	0.0848181
a37	0.0907859	0.114773	0.168934	0.137239	0.0985834	0.0764401	0.0654635	0.0674221	0.0809471	0.0994116
a61	0.111762	0.141545	0.217201	0.158288	0.0976615	0.0628001	0.044714	0.0432982	0.0530281	0.0697016
a0	0.108823	0.149229	0.215904	0.17051	0.108579	0.0669435	0.0425245	0.0373089	0.0440159	0.0561619
a62	0.0623851	0.105834	0.182667	0.180226	0.121252	0.0841009	0.0574836	0.0532014	0.066147	0.0867036
a75	0.0416863	0.0721667	0.13978	0.20809	0.175519	0.131185	0.0771353	0.0485366	0.0471333	0.0587679
a92	0.014775	0.0222171	0.046229	0.0896736	0.0887623	0.112376	0.131956	0.137691	0.149918	0.206401
a37	0.0160428	0.0229963	0.0452433	0.0947176	0.101552	0.13046	0.150123	0.147501	0.137791	0.153575
a21	0.0211989	0.0288032	0.0497056	0.108319	0.127741	0.153327	0.153921	0.121318	0.107102	0.128563
a12	0.0104986	0.0128575	0.021656	0.0541545	0.0751378	0.11593	0.176785	0.189592	0.169293	0.174094
a18	0.00852738	0.0112211	0.0196643	0.0468511	0.0651631	0.0993453	0.162716	0.193919	0.192612	0.199981
a90	0.0111597	0.0110889	0.0151552	0.0286949	0.0342137	0.0436176	0.0711367	0.113068	0.218457	0.453409
a98	0.00262407	0.00290313	0.00621061	0.0176351	0.0268723	0.0515747	0.109891	0.186567	0.264943	0.330779
a92	0.00132818	0.00177098	0.00375347	0.00854057	0.0113568	0.0232413	0.0583559	0.12598	0.268925	0.496747
a44	0.00115414	0.00143893	0.00302252	0.00842797	0.0142543	0.0279295	0.0650841	0.141346	0.290024	0.447318
a56	0.00102392	0.000993868	0.00174576	0.00450383	0.00685626	0.0137511	0.0391039	0.107809	0.297882	0.52633
a0	0.00158285	0.0013867	0.00190459	0.00447373	0.0067464	0.0137087	0.0426459	0.12652	0.309638	0.491392
a38	0.00157946	0.00135595	0.00167267	0.00305521	0.00435062	0.00920245	0.0323386	0.107347	0.298543	0.540555
a9	0.0050059	0.00505293	0.00540516	0.00628735	0.00808229	0.0167851	0.0516865	0.136101	0.309123	0.456471
a10	0.075718	0.0517957	0.0424299	0.0430026	0.0524195	0.0716583	0.106826	0.131986	0.183437	0.240727
a87	0.269976	0.103082	0.0589251	0.0604172	0.0642513	0.0675261	0.0742924	0.0837454	0.0950435	0.122741
a23	0.219728	0.0783281	0.0391914	0.0402644	0.0444284	0.0510535	0.0713763	0.107671	0.147829	0.20013
a99	0.0579394	0.0182772	0.00984071	0.0103149	0.0134313	0.0224572	0.0527441	0.125627	0.275825	0.413542
a87	0.026457	0.00903992	0.00641793	0.00837958	0.0118404	0.0219767	0.0535253	0.123952	0.280808	0.457603
a97	0.00791526	0.00406383	0.00391289	0.00595129	0.00695018	0.012443	0.0344732	0.0978374	0.271321	0.555132
</S>	0.0353407	0.0207224	0.0203952	0.0285221	0.0264853	0.0278274	0.0421805	0.0870696	0.218993	0.492463
