 	le	pagne	au	pointillé	me	plait	</S>
a66	0.303196	0.284825	0.178486	0.12043	0.0590851	0.0310446	0.0229334
a87	0.213565	0.246373	0.225681	0.170498	0.077862	0.0405949	0.0254273
a97	0.317636	0.254511	0.131792	0.0927976	0.0993335	0.0667602	0.0371694
a87	0.357943	0.33196	0.164155	0.0751403	0.035086	0.0204921	0.0152227
a23	0.337262	0.307828	0.171055	0.0892953	0.0470277	0.0278609	0.019671
a50	0.402944	0.322457	0.135383	0.0519537	0.0357192	0.0271803	0.0243628
a83	0.428731	0.276031	0.121985	0.0452907	0.0517273	0.0454719	0.0307637
a9	0.465175	0.26665	0.113077	0.0306738	0.0442822	0.04461	0.0355321
a13	0.378953	0.251533	0.150992	0.0414575	0.0569924	0.0627883	0.0572846
a75	0.270423	0.206473	0.159528	0.0647664	0.0926314	0.104918	0.101259
a5	0.254579	0.207725	0.176099	0.0614608	0.0810415	0.10452	0.114575
a12	0.28088	0.238166	0.194093	0.0669357	0.0544528	0.0710776	0.0943952
a21	0.270673	0.252609	0.210074	0.0776542	0.0468903	0.0602147	0.0818847
a75	0.218141	0.250107	0.238253	0.106027	0.0494886	0.0580593	0.0799247
a85	0.122036	0.207293	0.223956	0.146193	0.0972277	0.0893004	0.113994
a6	0.07911	0.148513	0.200799	0.172013	0.134317	0.119519	0.14573
a36	0.0916249	0.152144	0.204139	0.201199	0.118802	0.103364	0.128726
a79	0.0397934	0.0950422	0.156714	0.230828	0.138291	0.150025	0.189306
a56	0.0353547	0.07707	0.121597	0.197311	0.170927	0.17156	0.226182
a96	0.0220811	0.0478156	0.0926468	0.209923	0.201305	0.200304	0.225924
a88	0.0161237	0.0295214	0.0594867	0.185112	0.184465	0.226103	0.299188
a75	0.00868218	0.0144174	0.0278847	0.129057	0.188578	0.285809	0.345571
a92	0.00395254	0.00702666	0.0143029	0.0821904	0.150593	0.282431	0.459504
a12	0.00173058	0.00313213	0.00693326	0.0637707	0.156266	0.286671	0.481497
a61	0.00150883	0.00272735	0.00586001	0.0456106	0.125629	0.281358	0.537306
a21	0.00109298	0.00195881	0.00457401	0.0459965	0.134496	0.289879	0.522002
a12	0.00110914	0.0017898	0.00380407	0.0389873	0.131856	0.260031	0.562423
a43	0.000549666	0.000923894	0.00212388	0.0196552	0.0785551	0.239599	0.658593
a18	0.00178493	0.00220243	0.00451504	0.0267778	0.105337	0.259847	0.599536
a25	0.0244377	0.0192605	0.0223129	0.0577235	0.125718	0.225652	0.524896
a87	0.0964018	0.0594956	0.0489576	0.0758957	0.130711	0.206127	0.382412
a10	0.124119	0.0978028	0.0773214	0.102469	0.164625	0.196378	0.237285
a87	0.109037	0.0755052	0.0681841	0.0971517	0.146697	0.246688	0.256736
a23	0.0978224	0.0847602	0.0987612	0.119245	0.144215	0.219059	0.236138
a99	0.0158657	0.0138032	0.0190529	0.031889	0.141417	0.30516	0.472812
a97	0.0164625	0.0182858	0.022894	0.0265316	0.113209	0.299309	0.503308
a3	0.0215435	0.0239626	0.0262013	0.0302985	0.0841096	0.270867	0.543018
</S>	0.0860454	0.0945076	0.0936602	0.0737424	0.103445	0.219246	0.329354
