 	cueille	de	l'	oseille	dans	ce	champ	s'	il	te	plait	</S>
a23	0.308016	0.19255	0.160172	0.114166	0.0748727	0.0365438	0.0244563	0.0168431	0.0158178	0.0238215	0.0185345	0.0142061
a87	0.282809	0.0934749	0.0514984	0.0322696	0.0525054	0.0527994	0.0606283	0.0609754	0.0659551	0.0984777	0.0869491	0.0616578
a23	0.154021	0.113724	0.0760094	0.0471164	0.0484457	0.0444788	0.043271	0.0484239	0.0666196	0.108647	0.120839	0.128404
a83	0.12941	0.066464	0.030962	0.0171187	0.0209495	0.0186385	0.0239648	0.0350668	0.06734	0.157853	0.19125	0.240983
a76	0.422581	0.154919	0.0848984	0.0492644	0.0467197	0.032711	0.0286514	0.0263725	0.0309394	0.0439354	0.0423893	0.0366184
a79	0.246656	0.161902	0.106519	0.0633178	0.0518038	0.041631	0.0396789	0.0372664	0.0433954	0.0664457	0.0741078	0.0672765
a56	0.189032	0.134972	0.103312	0.0669636	0.0552725	0.044192	0.0414055	0.0407876	0.0498147	0.0769125	0.0982358	0.0991004
a75	0.132359	0.133373	0.122195	0.0906266	0.0782788	0.0566797	0.0444288	0.0365947	0.0414475	0.0641514	0.0883351	0.11153
a5	0.0692398	0.0866444	0.0941272	0.0878752	0.089603	0.0709881	0.0585222	0.0515443	0.0592524	0.081871	0.111815	0.138517
a43	0.111081	0.107208	0.110589	0.092736	0.0846108	0.0582203	0.0447737	0.0384789	0.0454487	0.0713749	0.105645	0.129833
a75	0.122244	0.116897	0.117384	0.0943478	0.0833277	0.0578453	0.0467474	0.0425651	0.0509438	0.0641955	0.086664	0.116839
a85	0.0721325	0.0769757	0.0890973	0.0840452	0.0733619	0.0611556	0.0614567	0.0653231	0.0733148	0.0823914	0.113606	0.14714
a37	0.0885252	0.0949233	0.107434	0.0912713	0.0723981	0.0591519	0.0532212	0.0526344	0.0614995	0.0727065	0.106142	0.140092
a61	0.138695	0.139415	0.13705	0.102658	0.0722948	0.0495744	0.0398172	0.0355162	0.0447266	0.0595236	0.0755794	0.105149
a21	0.162368	0.139374	0.125928	0.0927265	0.0645731	0.0439737	0.0422911	0.0442147	0.0486215	0.0566178	0.072919	0.106393
a5	0.164605	0.127899	0.115643	0.0885089	0.0647555	0.0439256	0.0436614	0.050037	0.0564774	0.062017	0.0740028	0.108467
a43	0.122101	0.100495	0.0904751	0.0702316	0.0532853	0.0351464	0.0342669	0.0440069	0.0636207	0.0850306	0.109635	0.191705
a75	0.0645581	0.0726877	0.0772487	0.0729165	0.0642887	0.0469845	0.0448333	0.0509271	0.0649423	0.086987	0.128489	0.225137
a79	0.0542338	0.0558636	0.0549137	0.0503113	0.0432365	0.0326543	0.0348675	0.0508588	0.0893629	0.110153	0.147435	0.276109
a7	0.0343982	0.0458135	0.0514653	0.0504837	0.0447619	0.0377779	0.0405109	0.0542182	0.0839936	0.103743	0.14779	0.305045
a84	0.010285	0.0155612	0.0202249	0.0238288	0.0242586	0.0272576	0.0378749	0.0627211	0.106355	0.134521	0.183397	0.353715
a11	0.00430661	0.00340015	0.00414666	0.00415296	0.00429119	0.00524572	0.00904801	0.0219264	0.0820528	0.186591	0.244955	0.429883
a70	0.00392427	0.00263265	0.00308779	0.00346193	0.00420384	0.00655094	0.0155061	0.0446124	0.135273	0.200405	0.232031	0.348311
a75	0.00198619	0.00149724	0.00194203	0.00241358	0.00328862	0.00452421	0.00865292	0.023747	0.0809833	0.170832	0.264366	0.435767
a21	0.00191614	0.00225041	0.00282139	0.00328359	0.00415911	0.00510669	0.00975935	0.025782	0.0888798	0.167904	0.23961	0.448527
a47	0.00133262	0.00134212	0.00181368	0.00229222	0.00300198	0.00456616	0.00941413	0.024984	0.0905837	0.181537	0.264884	0.414249
a83	0.00128321	0.00107366	0.00136739	0.00166921	0.00230889	0.0035608	0.00787742	0.0247496	0.0928513	0.166003	0.264292	0.432964
a9	0.000608079	0.000526453	0.000733442	0.000950645	0.00128632	0.00243725	0.00589476	0.0201845	0.0825381	0.166187	0.267653	0.451
a30	0.00272057	0.00261158	0.00349701	0.00372772	0.00360657	0.00689571	0.0176293	0.05407	0.128369	0.176743	0.228292	0.371838
a10	0.00680019	0.00464214	0.00525171	0.00650181	0.00836012	0.0154713	0.0348123	0.0783996	0.131443	0.164788	0.196004	0.347527
a87	0.0395336	0.0388781	0.0442731	0.0477808	0.0442879	0.0455901	0.0567437	0.0805213	0.106843	0.129561	0.163669	0.202318
a23	0.0292192	0.0236117	0.0251274	0.0237139	0.0235061	0.02637	0.0366131	0.0706622	0.130855	0.174455	0.235611	0.200255
a87	0.00812817	0.012322	0.0140893	0.0171652	0.0181335	0.0272226	0.0452148	0.077559	0.132709	0.171913	0.236061	0.239483
</S>	0.00199332	0.00432504	0.00635745	0.00923575	0.010093	0.0176165	0.0314934	0.0605968	0.130888	0.182707	0.262338	0.282356
