 	la	mère	écarquillait	l'	oeil	de	son	enfant	pour	y	mettre	le	médicament	</S>
a66	0.167105	0.211882	0.155634	0.146893	0.095907	0.0683338	0.0482369	0.0356391	0.0262593	0.0171037	0.00941447	0.00546859	0.00585418	0.00626838
a87	0.492338	0.251035	0.0420524	0.029918	0.0190777	0.0167557	0.0135042	0.014401	0.0138248	0.0169696	0.0159319	0.0201516	0.0256402	0.0284002
a23	0.409961	0.247139	0.0643378	0.0612227	0.0540709	0.0392565	0.0203304	0.0168106	0.0113513	0.0100362	0.00863626	0.0113086	0.0221499	0.0233888
a13	0.163765	0.0685419	0.0426226	0.0916218	0.113041	0.0929791	0.0605007	0.047192	0.0286527	0.0278886	0.0354097	0.045662	0.0808038	0.101319
a30	0.142044	0.0761986	0.0667051	0.102304	0.121539	0.0980601	0.0685981	0.0535273	0.0372465	0.0316604	0.033864	0.0412671	0.0516125	0.0753732
a4	0.117865	0.0995115	0.119823	0.154975	0.19846	0.101026	0.053514	0.0280184	0.0168617	0.0148634	0.0158616	0.0189206	0.0253997	0.0349001
a54	0.213263	0.208705	0.198303	0.108508	0.0982678	0.0543111	0.0355265	0.019282	0.0116757	0.00876353	0.00947447	0.00983241	0.00986279	0.0142251
a6	0.130934	0.108416	0.105356	0.113511	0.131792	0.117571	0.0926626	0.0600969	0.0393134	0.0275982	0.0222147	0.0177736	0.0141063	0.0186549
a36	0.0753975	0.0664203	0.0879749	0.110775	0.124578	0.126737	0.109788	0.0786182	0.0537624	0.0407149	0.032954	0.0276306	0.027387	0.0372623
a5	0.0756169	0.0730681	0.105317	0.115312	0.131481	0.117198	0.099324	0.0655828	0.0403049	0.0322309	0.0289501	0.0271978	0.0332978	0.0551188
a75	0.0344634	0.0439786	0.091838	0.12734	0.126949	0.120727	0.135035	0.0946417	0.0625279	0.0388293	0.0318831	0.024103	0.0259849	0.0416995
a6	0.020211	0.0274324	0.0594573	0.0976603	0.109757	0.129931	0.14368	0.111102	0.0747494	0.0543725	0.0426289	0.0312952	0.0363537	0.0613703
a47	0.0219342	0.0295117	0.0651192	0.10144	0.108524	0.135389	0.137378	0.104574	0.0754919	0.0583426	0.0439347	0.030569	0.0342261	0.0535643
a36	0.0123145	0.0194321	0.0447258	0.0919172	0.123583	0.148921	0.147723	0.102345	0.069812	0.055267	0.0417176	0.032036	0.0421304	0.0680749
a2	0.0144717	0.0274648	0.0776448	0.124551	0.150248	0.141882	0.123823	0.0794093	0.0540793	0.0337196	0.0276535	0.0265495	0.0445367	0.0739665
