 	les	feuilles	du	manguier	sont	en	train	de	tomber	</S>
a23	0.283042	0.159434	0.106083	0.0942661	0.109847	0.091675	0.0612992	0.043064	0.0288947	0.0223957
a54	0.310388	0.188574	0.106251	0.103893	0.0896026	0.0664064	0.0413742	0.0356473	0.0306063	0.0272569
a85	0.443108	0.26922	0.132289	0.0431612	0.0218508	0.0177451	0.0170538	0.0179652	0.0186572	0.0189499
a0	0.353671	0.25547	0.177586	0.0791994	0.038876	0.0276333	0.0222811	0.0195267	0.0147699	0.0109862
a41	0.297365	0.282408	0.195217	0.103529	0.0369847	0.020594	0.0133644	0.0136372	0.0165676	0.0203337
a75	0.198597	0.225365	0.208078	0.150851	0.0650521	0.0396139	0.027324	0.0252587	0.0276898	0.0321701
a25	0.227092	0.230573	0.186958	0.121208	0.0584518	0.0410165	0.031223	0.0288879	0.0329164	0.0416731
a79	0.135536	0.166875	0.179213	0.14154	0.0909043	0.0659958	0.0508014	0.0465547	0.0524738	0.0701054
a98	0.103294	0.126483	0.154294	0.155672	0.105499	0.0784844	0.0635664	0.0587524	0.0665288	0.087426
a92	0.0598291	0.0722907	0.0984901	0.12974	0.110522	0.0981503	0.0952497	0.0940221	0.104814	0.136892
a37	0.0540036	0.0619145	0.0783208	0.129666	0.11731	0.101224	0.0973124	0.0952327	0.111724	0.153292
a90	0.0589523	0.0640485	0.0707878	0.127746	0.145705	0.122938	0.0980958	0.087291	0.0959563	0.12848
a56	0.03791	0.041834	0.0497406	0.0910635	0.114044	0.112393	0.117977	0.120842	0.139409	0.174787
a21	0.0341058	0.0372852	0.0435484	0.073884	0.104273	0.120909	0.137271	0.138133	0.147602	0.162988
a12	0.0594016	0.0590991	0.0596337	0.076369	0.0897474	0.101735	0.116238	0.118967	0.140332	0.178477
a96	0.0219335	0.0228883	0.026644	0.0467765	0.0660179	0.0962991	0.153542	0.172164	0.183165	0.21057
a94	0.0135039	0.0131286	0.0144556	0.0296526	0.0439192	0.070961	0.141209	0.184385	0.219833	0.268952
a90	0.00550109	0.00598329	0.00755137	0.020457	0.0298294	0.0492339	0.109752	0.171415	0.24991	0.350367
a56	0.0133078	0.0153756	0.0193203	0.0358395	0.0433272	0.0620381	0.110987	0.152336	0.220018	0.327451
a61	0.00469118	0.00530442	0.00664214	0.0154329	0.0218384	0.0354738	0.0815965	0.14251	0.264934	0.421576
a96	0.00197605	0.0020753	0.00249148	0.00651279	0.010253	0.0184304	0.0508994	0.110126	0.267519	0.529716
a37	0.000936766	0.000903198	0.00100031	0.00247259	0.00439403	0.0085975	0.028029	0.0776463	0.252461	0.623559
a26	0.00071913	0.000650481	0.000712665	0.00175865	0.00332099	0.00668872	0.0219538	0.068833	0.251073	0.64429
a57	0.00433956	0.00316181	0.00293317	0.00529977	0.00789925	0.0143216	0.038144	0.0957488	0.288243	0.539909
a97	0.0377976	0.0223908	0.015972	0.0182603	0.0237342	0.038401	0.0799068	0.138448	0.261694	0.363395
a87	0.0994181	0.0708747	0.0479633	0.0449805	0.0526921	0.0722076	0.110011	0.139463	0.176912	0.185477
a23	0.0954469	0.0703002	0.0464336	0.0469746	0.0567459	0.0775102	0.112206	0.138878	0.173276	0.182228
a87	0.0412508	0.0284718	0.0204582	0.0284464	0.0547371	0.0857977	0.139727	0.176789	0.194367	0.229955
a97	0.00736037	0.00643695	0.00697737	0.0179492	0.0448321	0.0724183	0.12487	0.176216	0.249658	0.293281
</S>	0.0178209	0.0154086	0.0150251	0.0309931	0.0518325	0.0705903	0.107506	0.148688	0.227591	0.314544
