 	c'	était	lui	qui	nous	a	éclairci	sur	ce	problème	</S>
a66	0.146593	0.152642	0.1471	0.173171	0.166965	0.102083	0.0319424	0.0236454	0.0214139	0.0175021	0.0169422
a87	0.166147	0.151429	0.1381	0.14365	0.114744	0.0842479	0.0542336	0.0499814	0.0377817	0.030921	0.028764
a23	0.320106	0.229049	0.148021	0.0984039	0.096723	0.0492033	0.0149171	0.0123535	0.0104738	0.00962304	0.0111263
a10	0.300931	0.214606	0.11627	0.0823727	0.0875606	0.0569301	0.0332443	0.0306649	0.0232731	0.0239476	0.0302003
a87	0.264743	0.203019	0.111167	0.0825403	0.0890931	0.0692708	0.0435728	0.0376663	0.0298395	0.0316114	0.0374776
a97	0.305845	0.219607	0.11273	0.0812084	0.0916091	0.0643281	0.0366924	0.0270994	0.0205596	0.0196067	0.0207145
a10	0.272565	0.216764	0.111112	0.0830999	0.0896535	0.0680497	0.0431317	0.0328813	0.0262585	0.0276762	0.0288085
a87	0.267804	0.205104	0.100938	0.0765268	0.0780092	0.0722732	0.0554808	0.0399405	0.0305501	0.0358061	0.0375676
a23	0.279321	0.2011	0.0934721	0.0677801	0.0690255	0.0623581	0.0526369	0.0472678	0.0384712	0.0436773	0.0448893
a70	0.17559	0.135781	0.0837272	0.0734973	0.0779658	0.0913664	0.0878303	0.0739476	0.0570522	0.0655164	0.0777255
a13	0.101236	0.0961067	0.0799853	0.0750114	0.0765448	0.0861651	0.0922403	0.104619	0.0797238	0.0898565	0.118512
a50	0.10752	0.101875	0.0796829	0.0654675	0.0750028	0.075928	0.0760235	0.0912866	0.0815474	0.0945171	0.15115
a93	0.0844076	0.0777436	0.0689412	0.07187	0.0984498	0.096768	0.0840464	0.0873678	0.0810216	0.0926394	0.156745
a69	0.0826543	0.0816491	0.0777187	0.0826152	0.118678	0.111989	0.0736183	0.0715745	0.0692128	0.0833378	0.146952
a93	0.0683274	0.0765508	0.081039	0.0979249	0.152393	0.141421	0.0750151	0.0621354	0.059883	0.0709905	0.114319
a34	0.0496071	0.055723	0.0634601	0.0813924	0.132364	0.125916	0.0738576	0.073418	0.0827593	0.104703	0.1568
a90	0.037918	0.041555	0.0551458	0.0833105	0.139206	0.139084	0.0833647	0.0812545	0.0898669	0.108282	0.141013
a93	0.0173017	0.0193992	0.032704	0.0705174	0.122886	0.13578	0.10001	0.110621	0.109321	0.121261	0.160199
a70	0.0211183	0.0229223	0.0395422	0.0853383	0.136465	0.144463	0.100302	0.100287	0.0978372	0.108525	0.1432
a56	0.0119216	0.0110547	0.0178896	0.0445184	0.0809242	0.112256	0.113175	0.131508	0.138646	0.149167	0.188939
a70	0.00852894	0.00756126	0.0121003	0.0307815	0.0554135	0.0827306	0.106269	0.1399	0.153742	0.171807	0.231166
a13	0.00504819	0.00402111	0.00597825	0.014401	0.0257211	0.0495141	0.0969688	0.145461	0.173771	0.199235	0.279881
a83	0.00339299	0.00284451	0.00425538	0.00951267	0.0156797	0.0344603	0.0769704	0.131839	0.178481	0.2195	0.323064
a88	0.00167193	0.00132891	0.0018903	0.00397922	0.00624268	0.0140749	0.051642	0.114102	0.18578	0.243402	0.375886
a0	0.000707379	0.000586404	0.000836278	0.00159943	0.00217663	0.0049066	0.0289245	0.0874694	0.180761	0.270365	0.421667
a50	0.000990246	0.000843032	0.00105494	0.00149679	0.00160621	0.00263797	0.025874	0.0787806	0.187049	0.293313	0.406354
a99	0.00202679	0.00144764	0.00153165	0.00188202	0.00181688	0.00376652	0.0319175	0.0766536	0.176633	0.293084	0.409241
a53	0.00331315	0.00197892	0.00177719	0.00209509	0.00212089	0.00430457	0.035426	0.0665133	0.144834	0.289659	0.447979
a44	0.000164988	0.000100453	0.000122329	0.000207411	0.000211164	0.000727296	0.0157228	0.0532323	0.150169	0.312126	0.467216
a13	9.5632e-05	6.01553e-05	8.26397e-05	0.000163752	0.000177349	0.000631957	0.0127787	0.0454175	0.13077	0.298992	0.51083
a57	0.000574139	0.000333627	0.000349389	0.000485397	0.000517636	0.00158797	0.0203011	0.0491172	0.135101	0.299487	0.492145
a13	0.0162018	0.00858957	0.00664093	0.00774044	0.0080436	0.0103005	0.0397072	0.0655216	0.132752	0.263264	0.441239
a3	0.021799	0.0114708	0.00877155	0.00998069	0.00995337	0.0122104	0.0422267	0.0765274	0.145828	0.260534	0.400699
a97	0.115572	0.0748574	0.0600318	0.0570229	0.0556442	0.0402747	0.0507823	0.0800105	0.120496	0.1556	0.189709
a87	0.0926816	0.0681375	0.0613791	0.0652501	0.0710541	0.0726763	0.0769908	0.0998137	0.115321	0.127616	0.149079
a23	0.075861	0.0583817	0.0556615	0.0759132	0.104858	0.129587	0.091485	0.0955291	0.0962041	0.101767	0.114753
a87	0.0839863	0.0439162	0.036651	0.0372013	0.0396655	0.0412238	0.0470065	0.120567	0.150415	0.173317	0.22605
a97	0.0353186	0.0186652	0.0195331	0.0329363	0.0419522	0.0473142	0.0461195	0.120494	0.159037	0.202533	0.276098
a87	0.0339713	0.0216125	0.0273738	0.0482336	0.0632427	0.0724671	0.0566264	0.110338	0.138584	0.180085	0.247465
a23	0.0475837	0.0321993	0.0346484	0.0495901	0.0665862	0.0756585	0.0608892	0.116787	0.134555	0.159924	0.221578
a87	0.0556875	0.0308202	0.0287542	0.0379658	0.0474657	0.050397	0.0463733	0.126932	0.156043	0.181529	0.238033
</S>	0.0326291	0.0192557	0.0198016	0.0264075	0.0314133	0.0344601	0.0413873	0.130544	0.169402	0.213315	0.281384
