 	leur	père	est	un	grand	bagarreur	</S>
a66	0.394111	0.261589	0.163512	0.109903	0.0431158	0.0156917	0.0120779
a87	0.45176	0.237459	0.141818	0.0707659	0.0383407	0.0376018	0.0222547
a23	0.467047	0.207512	0.142018	0.0759466	0.0382903	0.0348292	0.0343572
a40	0.296123	0.14109	0.107221	0.0646302	0.075082	0.148875	0.166979
a47	0.398219	0.27502	0.167066	0.0783696	0.0337453	0.0235537	0.0240263
a36	0.192664	0.293799	0.292309	0.138348	0.0472823	0.0222847	0.0133126
a47	0.178786	0.22786	0.250599	0.14916	0.0905509	0.0583428	0.0447022
a85	0.162531	0.19998	0.260795	0.177427	0.0866996	0.0645502	0.0480173
a98	0.121997	0.198633	0.270025	0.195555	0.0802921	0.0734383	0.060059
a79	0.146266	0.223281	0.270956	0.170982	0.0672798	0.0688866	0.0523489
a98	0.135203	0.172223	0.206236	0.169715	0.0920387	0.12061	0.103973
a47	0.112256	0.159599	0.189798	0.161844	0.120838	0.131281	0.124384
a37	0.035223	0.0432393	0.0607452	0.0979557	0.136688	0.277262	0.348886
a92	0.0286168	0.0305954	0.0361509	0.0618008	0.135594	0.290237	0.417005
a37	0.0163353	0.0142781	0.0169701	0.0486718	0.145147	0.296239	0.462359
a34	0.0091815	0.00603918	0.00624755	0.0154374	0.0549508	0.269491	0.638653
a21	0.00322966	0.00245781	0.00343206	0.0113606	0.0481528	0.261775	0.669592
a12	0.00388576	0.00405676	0.00687474	0.0233455	0.0686827	0.26227	0.630884
a18	0.00136042	0.00161686	0.00310795	0.0143875	0.06234	0.30037	0.616817
a25	0.00147843	0.00116384	0.00200167	0.0120653	0.0540593	0.262262	0.666969
a87	0.105701	0.0748659	0.0599483	0.061715	0.0952018	0.198229	0.404339
a23	0.430202	0.262824	0.168266	0.056841	0.026815	0.0246841	0.0303669
a87	0.171451	0.0741198	0.0421852	0.0326977	0.0629937	0.238001	0.378552
</S>	0.0233076	0.0112436	0.00840814	0.0157573	0.0515015	0.309661	0.580121
