 	l'	avocat	est	mou	</S>
a66	0.585878	0.29783	0.0744345	0.02986	0.0119974
a87	0.473436	0.282972	0.163255	0.0687609	0.0115757
a23	0.608898	0.31964	0.0314572	0.0243182	0.0156866
a10	0.483878	0.450677	0.0309432	0.0201805	0.0143206
a38	0.538119	0.393259	0.037677	0.0200242	0.0109205
a36	0.413292	0.441057	0.083135	0.0438607	0.0186551
a44	0.209948	0.507222	0.1801	0.0659813	0.0367486
a4	0.176687	0.481165	0.202767	0.0801015	0.0592799
a57	0.148074	0.345138	0.266679	0.151102	0.0890075
a54	0.0741049	0.215576	0.339863	0.214022	0.156435
a47	0.0170545	0.0359836	0.153335	0.497896	0.29573
a36	0.0109775	0.0194255	0.14912	0.533374	0.287103
a37	0.00808213	0.00628687	0.0377258	0.277945	0.66996
a92	0.0105328	0.00561794	0.030265	0.164732	0.788852
a79	0.00277998	0.00159143	0.0163479	0.139896	0.839385
a44	0.000734378	0.000515177	0.00761929	0.115232	0.875899
a4	0.00112982	0.000927616	0.0139396	0.138862	0.845141
a58	0.00391321	0.00339528	0.0347922	0.195305	0.762594
a82	0.00720052	0.00440341	0.0313394	0.231503	0.725554
a87	0.108923	0.0290918	0.0696632	0.223305	0.569017
a23	0.593626	0.141966	0.065235	0.0845129	0.114659
a87	0.159203	0.0441975	0.0482645	0.216676	0.531659
</S>	0.0172716	0.00600505	0.0163492	0.257866	0.702508
