 	la	marmite	qui	est	au	feu	a	séché	</S>
a66	0.177877	0.13544	0.105005	0.0999895	0.13764	0.184592	0.100051	0.039141	0.020264
a87	0.296314	0.157866	0.129799	0.113384	0.10543	0.0959834	0.0498368	0.0273931	0.0239941
a23	0.286527	0.188657	0.147606	0.121297	0.0948393	0.0640438	0.0365928	0.0296163	0.030821
a18	0.249335	0.193516	0.161184	0.144714	0.128683	0.0634353	0.0239515	0.0184481	0.0167347
a11	0.198404	0.18412	0.156299	0.135593	0.131718	0.0733711	0.0342023	0.0425509	0.0437429
a94	0.223209	0.204611	0.162707	0.127886	0.133584	0.0849798	0.0306362	0.0203192	0.0120665
a70	0.149517	0.179053	0.170628	0.148199	0.139757	0.106856	0.0487444	0.0339	0.0233458
a96	0.105067	0.133649	0.143448	0.142036	0.137989	0.127569	0.0819599	0.0704715	0.0578099
a62	0.105568	0.118856	0.124487	0.148283	0.164528	0.145007	0.0802617	0.0638952	0.0491147
a21	0.111229	0.117491	0.117994	0.136688	0.151953	0.144603	0.0928446	0.0679588	0.0592387
a12	0.065946	0.0642695	0.0775411	0.117152	0.172687	0.230562	0.13627	0.0703122	0.0652603
a56	0.0409202	0.0403913	0.055254	0.0998253	0.165543	0.235267	0.157665	0.0954042	0.10973
a96	0.0373967	0.0344844	0.046972	0.0872862	0.155395	0.235332	0.177432	0.109849	0.115853
a12	0.0358305	0.0300195	0.0370814	0.0595841	0.101858	0.182908	0.208766	0.166841	0.177113
a21	0.028926	0.0230789	0.0265683	0.0398772	0.0637047	0.133957	0.217034	0.227362	0.239492
a47	0.0154428	0.0119969	0.0132016	0.0181633	0.026779	0.0606196	0.170093	0.30655	0.377154
a61	0.0237173	0.0182124	0.0192304	0.0222889	0.0236379	0.044754	0.131489	0.295388	0.421282
a75	0.00916846	0.00654192	0.00649185	0.00741776	0.00802245	0.0182933	0.0879158	0.305629	0.550519
a85	0.00199903	0.0012389	0.00132968	0.00154234	0.00185645	0.00498562	0.0431119	0.297717	0.646219
a47	0.000933063	0.000622743	0.000736271	0.000826061	0.00082379	0.00219191	0.0288025	0.264859	0.700205
a36	0.00238923	0.00153824	0.00176034	0.0022928	0.0027119	0.00699546	0.0563852	0.303936	0.621991
a2	0.00554829	0.00338167	0.00374459	0.00365856	0.00315733	0.00513979	0.0180739	0.173108	0.784188
a57	0.109495	0.0636821	0.0658109	0.0545353	0.0410859	0.0326402	0.042877	0.128926	0.460947
a87	0.25503	0.121874	0.105244	0.0756539	0.0651716	0.0493626	0.0469021	0.0812101	0.199552
a23	0.300846	0.146876	0.12179	0.085088	0.0661594	0.0480602	0.048227	0.0757107	0.107243
a87	0.156324	0.0689471	0.0506227	0.03298	0.0201629	0.0169184	0.0268415	0.137704	0.4895
</S>	0.0543142	0.0227152	0.0153279	0.0110022	0.00868316	0.0103559	0.0291342	0.154582	0.693885
