 	l'	herbe	coupante	m'	a	écorché	aux	pieds	</S>
a66	0.154402	0.160906	0.169522	0.16711	0.201436	0.0984058	0.026223	0.0127379	0.00925735
a87	0.445414	0.290101	0.104255	0.0788909	0.052235	0.0126662	0.00648456	0.00422973	0.00572346
a23	0.513323	0.24203	0.133278	0.053138	0.0283488	0.0109448	0.00537266	0.00474977	0.00881367
a99	0.370371	0.221813	0.20116	0.113478	0.0243674	0.0091419	0.0115271	0.0131773	0.0349643
a97	0.309027	0.13499	0.196924	0.17321	0.0606395	0.0251191	0.0255062	0.0289268	0.0456564
a87	0.331774	0.126177	0.124763	0.128012	0.0854178	0.0521689	0.0451505	0.0440838	0.0624533
a23	0.343332	0.165152	0.136014	0.117274	0.0799261	0.038304	0.0375198	0.0318031	0.0506748
a40	0.179098	0.0856742	0.165319	0.160445	0.0649813	0.0722246	0.0844344	0.0871429	0.100682
a37	0.144801	0.151338	0.13268	0.189108	0.175585	0.103373	0.0495866	0.031503	0.0220248
a21	0.16021	0.199064	0.12557	0.233125	0.182243	0.0479535	0.0246831	0.016262	0.0108892
a5	0.0912971	0.0945743	0.115732	0.246415	0.25694	0.112698	0.0431051	0.0239532	0.0152842
a6	0.0631102	0.0781335	0.127852	0.285581	0.235732	0.118641	0.0441995	0.0269783	0.0197733
a37	0.0282002	0.0489345	0.0884681	0.270728	0.234712	0.143277	0.074063	0.0582136	0.053404
a18	0.0531677	0.0775054	0.103443	0.257481	0.266229	0.101016	0.0489133	0.0446997	0.0475452
a75	0.0413683	0.0439581	0.0530502	0.181218	0.291188	0.160895	0.0701168	0.0688173	0.0893885
a47	0.0185709	0.0257205	0.0509135	0.167712	0.266261	0.15525	0.110641	0.101004	0.103927
a0	0.015375	0.0179625	0.0372535	0.126124	0.223604	0.174032	0.123657	0.124555	0.157438
a75	0.022933	0.0208894	0.029418	0.0820614	0.219669	0.214781	0.107634	0.126981	0.175634
a85	0.00973389	0.0116934	0.0238027	0.0591162	0.15559	0.225337	0.165986	0.164379	0.18436
a6	0.00605257	0.00615632	0.0122083	0.0295604	0.0873804	0.1973	0.173399	0.202385	0.285559
a75	0.00535646	0.00578928	0.0128106	0.0218536	0.0573388	0.187178	0.190831	0.228806	0.290037
a47	0.00217485	0.00235255	0.00508255	0.00850962	0.0234731	0.129782	0.191815	0.264812	0.371999
a7	0.000571201	0.000392209	0.000751397	0.00163965	0.00382151	0.038787	0.149921	0.332125	0.471991
a2	0.001133	0.000939893	0.00142217	0.00249791	0.00384868	0.0389798	0.118709	0.283471	0.548998
a13	0.00212391	0.00128555	0.000690417	0.000740902	0.00105251	0.00657123	0.0391927	0.207278	0.741065
a57	0.00236915	0.00176632	0.00109994	0.00118394	0.00239511	0.0155376	0.0580553	0.200304	0.717289
a3	0.00485803	0.0036592	0.00187755	0.00216871	0.00541561	0.0234381	0.0671875	0.217131	0.674264
a87	0.0531165	0.0229519	0.013229	0.0177093	0.0348068	0.0684981	0.126745	0.253117	0.409826
a23	0.15726	0.068364	0.0325187	0.0423434	0.0790995	0.116626	0.131702	0.181395	0.190692
a87	0.205725	0.0566064	0.0102799	0.0178399	0.0325143	0.084187	0.160973	0.210688	0.221187
</S>	0.0173027	0.00733336	0.00412894	0.00884539	0.0123379	0.0534182	0.170832	0.299053	0.426749
