 	sur	la	route	qui	mène	à	ekyembe	il	y	a	avait	cent	vaches	dans	un	enclos	</S>
a6	0.00583383	0.00467958	0.00459899	0.00564957	0.00811977	0.0162554	0.0494379	0.048902	0.042919	0.0457589	0.0339962	0.026497	0.0264934	0.0638901	0.107573	0.194539	0.314856
a36	0.0079271	0.00695163	0.0063467	0.00948437	0.0145455	0.0315605	0.0799006	0.0661348	0.0588989	0.0625082	0.0539856	0.0475031	0.0491383	0.0758152	0.0922048	0.122782	0.214312
a75	0.00604917	0.00534287	0.00575568	0.00812752	0.0137748	0.0286597	0.0810015	0.0656439	0.0570414	0.055955	0.0471911	0.0428902	0.0441548	0.0710376	0.0966597	0.131799	0.238916
a85	0.00545699	0.00480043	0.00487214	0.00741874	0.0128097	0.0254907	0.0809477	0.0646078	0.0582226	0.0575804	0.0513425	0.0486527	0.0465595	0.0642288	0.0869066	0.134023	0.246079
a47	0.00836575	0.00806805	0.0072103	0.0103351	0.0181129	0.0275275	0.0705309	0.061187	0.0650552	0.0748201	0.0711202	0.0612318	0.0435753	0.0539262	0.0743134	0.120704	0.223917
a37	0.00305488	0.00296734	0.00341255	0.00499405	0.00929197	0.0188159	0.0737189	0.0594764	0.059905	0.063682	0.0558352	0.0477604	0.0414898	0.0598117	0.0976352	0.141768	0.256381
a44	0.00354971	0.00324743	0.00384198	0.00574097	0.0118685	0.0232609	0.0865927	0.0850427	0.0919275	0.0929966	0.0848398	0.0822136	0.0625586	0.064478	0.0749676	0.081651	0.141222
a90	0.00399576	0.00363478	0.00336116	0.00430103	0.00750158	0.0119772	0.0518794	0.0673361	0.0867828	0.0904468	0.0838824	0.0840663	0.0628477	0.0803408	0.091458	0.0933075	0.172881
a92	0.00169282	0.00156024	0.00166518	0.00189954	0.0034663	0.00694646	0.0320843	0.0426282	0.0606427	0.0663834	0.0644301	0.0709627	0.0552679	0.0906737	0.112086	0.136368	0.251242
a44	0.000910731	0.00081377	0.000794327	0.000952202	0.00172464	0.00314077	0.0148042	0.0193172	0.0295867	0.0366559	0.0426141	0.0555719	0.0475492	0.0759728	0.105694	0.200773	0.363125
a75	0.000872224	0.000849876	0.00092857	0.00118106	0.00222088	0.00418924	0.0259413	0.0348874	0.0552989	0.0650868	0.0670087	0.0728033	0.0482583	0.0809811	0.119176	0.160883	0.259433
a5	0.000669055	0.000621069	0.000627417	0.000687904	0.001119	0.00187808	0.0131376	0.0177877	0.0289095	0.0367829	0.040797	0.0523192	0.0417971	0.0888618	0.130557	0.199921	0.343527
a23	0.00101027	0.000956656	0.00109001	0.00121594	0.00195702	0.0032122	0.0222144	0.0296778	0.0482368	0.057563	0.0567146	0.0627399	0.0454041	0.0795009	0.115265	0.181519	0.291722
a27	0.000807113	0.000784288	0.000845192	0.000813133	0.00138572	0.00189233	0.0110429	0.0127575	0.0202376	0.0261236	0.026032	0.0284368	0.0196215	0.0564043	0.112099	0.234386	0.446331
a40	0.006562	0.00647974	0.00717414	0.00946947	0.0165292	0.0179713	0.034708	0.034238	0.0481213	0.0553115	0.0499241	0.0577676	0.0357062	0.048364	0.106758	0.187949	0.276966
a75	0.000608943	0.000549879	0.000576012	0.000548977	0.000756553	0.00111932	0.00583956	0.00640928	0.00890364	0.0114457	0.012743	0.0161911	0.0136655	0.0516095	0.101872	0.265259	0.501902
a85	0.00039413	0.000386321	0.000420387	0.000464515	0.000678152	0.000951666	0.00503865	0.00578502	0.00885833	0.0122244	0.0146799	0.0199324	0.0166509	0.0563494	0.113634	0.284678	0.458873
a47	0.000608779	0.000601399	0.000592784	0.000698865	0.00106321	0.00151798	0.00714487	0.00846793	0.0126499	0.0166958	0.0178707	0.0223288	0.0193253	0.0517552	0.110996	0.28146	0.446222
a37	0.000363497	0.000377542	0.000446944	0.000481678	0.000828944	0.00128198	0.00736169	0.00778216	0.0108303	0.0145216	0.0154064	0.0164619	0.0119486	0.0366213	0.094903	0.279342	0.501041
a98	0.000616536	0.000630101	0.000797138	0.000793515	0.00135572	0.00188165	0.00926681	0.00943563	0.0132425	0.0164537	0.0155382	0.0147358	0.00882516	0.0238228	0.0746706	0.274986	0.532948
a6	0.000325052	0.000338577	0.000408168	0.000429365	0.000653294	0.000865309	0.00416592	0.00468306	0.00714822	0.00994488	0.0113296	0.0132917	0.00927135	0.0285106	0.0776963	0.282	0.548938
a0	0.000358773	0.000373992	0.000442374	0.000408593	0.000584697	0.000741955	0.00361619	0.00457352	0.00724794	0.00965045	0.010225	0.0111962	0.0074358	0.0232803	0.0687684	0.283023	0.568073
a11	0.000633954	0.00069428	0.000930916	0.000984408	0.00165571	0.00198124	0.00673281	0.00663169	0.00875638	0.0107206	0.00938383	0.00902085	0.00460257	0.0138469	0.0577329	0.264046	0.601645
a62	0.00137117	0.0014938	0.00183367	0.00202934	0.00355839	0.00363592	0.00704917	0.00760342	0.00942522	0.0111422	0.00851791	0.00897808	0.00560059	0.0195489	0.0824503	0.286507	0.539255
a88	0.000695235	0.000755411	0.000955969	0.00124089	0.00221431	0.00261339	0.00676518	0.00771813	0.010093	0.0118511	0.00940465	0.0101971	0.00701118	0.021198	0.0828474	0.30082	0.523619
a54	0.000616154	0.000647192	0.000800054	0.00108607	0.00229661	0.00290276	0.00803921	0.00770945	0.00880719	0.0100373	0.00690768	0.00692002	0.00398701	0.0154782	0.0634437	0.300148	0.560173
a47	0.000191851	0.000206622	0.000270947	0.000366064	0.000634884	0.000841821	0.00352856	0.00344597	0.00404382	0.00473564	0.00410048	0.00475415	0.00290272	0.0118297	0.0492019	0.278044	0.630901
a7	0.000470998	0.0004905	0.000547788	0.000644708	0.00100919	0.00122359	0.00556375	0.00551973	0.0070542	0.00885869	0.00888602	0.00993911	0.00477576	0.0146918	0.052993	0.262525	0.614807
a36	0.00315394	0.00324995	0.0032613	0.00379091	0.00698205	0.00667877	0.0113399	0.0120322	0.0140141	0.0167842	0.0134735	0.0129468	0.00587525	0.0200211	0.0849904	0.268535	0.51287
a26	0.00989323	0.0100056	0.00946305	0.011017	0.0172573	0.0152861	0.0205625	0.0199048	0.0207191	0.0226804	0.0187006	0.0169659	0.00874962	0.0271047	0.100335	0.253452	0.417903
a57	0.00812421	0.00842239	0.00821686	0.0100053	0.0150599	0.0147827	0.0213502	0.0188539	0.0188928	0.02031	0.0164012	0.0129	0.00656648	0.0255368	0.102382	0.278153	0.414042
a87	0.0416994	0.035899	0.0272427	0.0220805	0.0246292	0.0225743	0.0274902	0.0228478	0.021658	0.0224374	0.0194762	0.0164106	0.0131249	0.0625409	0.149863	0.217156	0.252869
a23	0.0995686	0.0740136	0.0594956	0.043059	0.0405192	0.0373715	0.0303518	0.0293796	0.0300519	0.029946	0.0287719	0.033358	0.0319027	0.0689255	0.123289	0.10764	0.132356
a97	0.0181547	0.0107676	0.00799259	0.00573021	0.00471141	0.00433443	0.00494542	0.00658542	0.00799405	0.00857565	0.00851526	0.0074702	0.00683172	0.0510102	0.20629	0.242238	0.397854
</S>	0.0239837	0.0141821	0.0119252	0.0100917	0.0115739	0.0154125	0.0301434	0.0321117	0.0312362	0.0303509	0.0248375	0.0185074	0.0147571	0.0376823	0.112558	0.182455	0.398192
