 	c'	est	une	ancienne	plantation	</S>
a23	0.21099	0.134603	0.11306	0.165392	0.148127	0.227828
a41	0.289699	0.195679	0.166518	0.138632	0.107444	0.102028
a32	0.479366	0.260616	0.150057	0.068585	0.0261127	0.0152636
a71	0.43812	0.29052	0.160555	0.0607066	0.0322591	0.0178397
a38	0.366304	0.290992	0.184772	0.0810855	0.047846	0.0290006
a76	0.320169	0.267716	0.20109	0.104089	0.0693504	0.0375854
a20	0.239453	0.222732	0.215876	0.17062	0.101348	0.0499704
a94	0.189197	0.199108	0.213048	0.209603	0.124063	0.064981
a57	0.130926	0.158993	0.190233	0.229309	0.177756	0.112783
a3	0.0409915	0.067514	0.100405	0.15096	0.249461	0.390668
a87	0.0379865	0.064718	0.0941524	0.129076	0.241788	0.432279
a23	0.0300577	0.0510703	0.0727276	0.124767	0.22734	0.494038
a13	0.0434308	0.0715085	0.0914874	0.155969	0.239339	0.398264
a26	0.0730745	0.104843	0.121001	0.127829	0.194736	0.378517
a35	0.0192858	0.0352169	0.0587443	0.130325	0.258098	0.498331
a14	0.0083704	0.0150529	0.0286321	0.0643316	0.231075	0.652539
a30	0.0105215	0.0185576	0.0336828	0.0759432	0.25027	0.611025
a57	0.0133528	0.0224291	0.0409873	0.0863961	0.23835	0.598485
a87	0.0115915	0.0210348	0.0431573	0.0960552	0.235856	0.592305
a23	0.0138106	0.0178802	0.0302649	0.086834	0.290536	0.560675
a87	0.0645358	0.0690507	0.0746545	0.146315	0.249574	0.39587
</S>	0.0467299	0.061536	0.0751669	0.139989	0.259713	0.416866
