 	les	canards	ne	veulent	pas	s'	exposer	au	soleil	</S>
a66	0.543694	0.261195	0.058072	0.0436892	0.0344587	0.024555	0.0121255	0.00865404	0.00707396	0.00648295
a87	0.403767	0.177765	0.044165	0.0246313	0.0250854	0.0257024	0.0283748	0.0525729	0.0997712	0.118165
a40	0.326433	0.223315	0.110515	0.0323245	0.0248048	0.0212697	0.0277407	0.0469449	0.0939889	0.0926642
a47	0.375407	0.233036	0.0866608	0.045504	0.0473379	0.0427623	0.0361115	0.0353118	0.0467376	0.051131
a0	0.307324	0.296063	0.164528	0.0739431	0.0521351	0.0370495	0.0157406	0.0168226	0.0156885	0.0207058
a21	0.297904	0.373824	0.22016	0.048341	0.0244644	0.0145069	0.00535909	0.00594553	0.00393135	0.0055643
a75	0.246588	0.420319	0.24195	0.0426346	0.0204722	0.0118027	0.00469174	0.00431941	0.00314966	0.00407246
a98	0.243848	0.373031	0.230203	0.0584987	0.0376354	0.0239637	0.0101191	0.00903676	0.0063314	0.00733267
a85	0.222581	0.29437	0.20291	0.101188	0.0677537	0.0517919	0.021047	0.0156821	0.0109221	0.0117547
a37	0.147985	0.214866	0.203501	0.141927	0.101517	0.0819108	0.0404899	0.028208	0.0202424	0.0193527
a56	0.23924	0.21887	0.152869	0.0998377	0.0713668	0.0621362	0.05761	0.0408348	0.0314439	0.0257918
a25	0.105862	0.114448	0.115478	0.127032	0.101738	0.0995318	0.116572	0.0880525	0.0720515	0.0592352
a69	0.0223804	0.0415285	0.0687092	0.135462	0.151127	0.16478	0.144832	0.103385	0.0868514	0.0809435
a90	0.00393399	0.00663452	0.0215266	0.0842009	0.125393	0.170716	0.230169	0.145896	0.1181	0.0934284
a25	0.00569201	0.00712911	0.0241747	0.104623	0.136178	0.157976	0.211983	0.144328	0.118052	0.0898639
a79	0.00363555	0.00647691	0.0269031	0.1096	0.123647	0.138452	0.183206	0.148778	0.134064	0.125238
a44	0.000700505	0.00120165	0.00536871	0.0294866	0.0477552	0.069252	0.196478	0.210476	0.231533	0.207749
a56	0.000187585	0.000242647	0.000899389	0.00675889	0.0154781	0.0298907	0.172647	0.232973	0.277585	0.263337
a43	0.000205314	0.000289431	0.000901361	0.00616363	0.0148307	0.0281238	0.14576	0.236374	0.301314	0.266038
a75	8.92829e-05	9.36444e-05	0.000429454	0.00274064	0.00655703	0.0134826	0.085818	0.165974	0.321594	0.403222
a61	4.24509e-05	5.49142e-05	0.000275171	0.0022108	0.00591261	0.0131843	0.0865658	0.186089	0.339292	0.366373
a18	0.000127997	0.000192035	0.000617615	0.00277238	0.00684479	0.0128791	0.0756806	0.178057	0.338209	0.38462
a54	0.000144993	0.000108027	0.000249655	0.00117751	0.00293607	0.00722741	0.0627418	0.138298	0.334165	0.452952
a36	3.58852e-05	3.63508e-05	0.000125426	0.000900156	0.00236375	0.00661537	0.0485084	0.123332	0.331776	0.486306
a26	0.000331781	0.000220652	0.000439763	0.00150583	0.00307872	0.00638975	0.0626546	0.123675	0.328459	0.473246
a57	0.0199298	0.0142686	0.0145907	0.0203362	0.0249332	0.0262301	0.0915498	0.145051	0.268636	0.374475
a97	0.0511914	0.0227781	0.0165711	0.0209173	0.0236559	0.0252632	0.0947585	0.147707	0.297393	0.299765
a87	0.0377041	0.0163424	0.0100555	0.0138351	0.0180929	0.023223	0.11121	0.165065	0.305574	0.298897
a97	0.021194	0.0118727	0.00683909	0.00939558	0.0128087	0.0186266	0.120582	0.186659	0.319636	0.292386
</S>	0.0054226	0.00376016	0.00277754	0.0054526	0.010059	0.0172524	0.114281	0.187477	0.339996	0.313522
