 	sa	femme	l'	a	quitté	parce	qu'	il	est	devenu	écervelé	</S>
a66	0.101494	0.0922493	0.0907105	0.101501	0.184824	0.146248	0.108402	0.0744272	0.0553106	0.0242092	0.0122959	0.00832849
a87	0.129332	0.0897556	0.0806107	0.0747177	0.094733	0.108411	0.0963596	0.0855116	0.0892882	0.0632485	0.0458596	0.042172
a97	0.26861	0.192239	0.133599	0.0698895	0.0582154	0.039224	0.0341637	0.0290978	0.0358755	0.0496437	0.0382818	0.0511605
a87	0.224899	0.200766	0.153773	0.0967009	0.0877807	0.0623082	0.0519051	0.0337853	0.0260901	0.027675	0.0153302	0.0189874
a97	0.200155	0.182119	0.145439	0.0954334	0.0885763	0.062509	0.05129	0.0421872	0.039672	0.0439954	0.0232607	0.0253628
a87	0.191437	0.17479	0.138323	0.0977661	0.0994066	0.0657298	0.0421719	0.0354742	0.0426086	0.052807	0.0281013	0.0313849
a10	0.184999	0.161601	0.125275	0.0880851	0.0910798	0.0581561	0.0369858	0.0360014	0.0531688	0.0764806	0.0420955	0.0460719
a87	0.186299	0.162344	0.12542	0.0881315	0.0888717	0.0487397	0.0267422	0.0304305	0.0554505	0.0828821	0.0502597	0.0544287
a23	0.207483	0.164232	0.119289	0.0800042	0.0812887	0.049399	0.0308712	0.0315709	0.0508272	0.0778306	0.0505043	0.0566998
a87	0.165062	0.152984	0.119482	0.0902777	0.0756172	0.0372876	0.0206041	0.034297	0.075185	0.100918	0.0696332	0.0586529
a30	0.175263	0.158461	0.124569	0.0935576	0.0743202	0.0362448	0.0195789	0.0293058	0.0621523	0.0893427	0.0744939	0.0627114
a53	0.180549	0.174615	0.129884	0.0908079	0.0618727	0.0283435	0.0166707	0.0267721	0.0536631	0.0757875	0.0893874	0.0716473
a54	0.275739	0.229779	0.155563	0.0950813	0.066732	0.0306559	0.0143638	0.0113356	0.0140212	0.0163274	0.0369507	0.0534501
a47	0.127193	0.136697	0.135615	0.123923	0.129311	0.0790737	0.053045	0.0397172	0.0372558	0.032189	0.046285	0.0596941
a73	0.131074	0.142301	0.134561	0.126118	0.128486	0.0962102	0.0643175	0.0417325	0.0288884	0.0199367	0.0327202	0.0536541
a75	0.0929937	0.105181	0.104504	0.116667	0.133375	0.130393	0.107822	0.0728442	0.0415479	0.0220543	0.0262738	0.0463447
a6	0.0864684	0.0885241	0.0976908	0.118704	0.148937	0.148004	0.118192	0.0789177	0.044364	0.0190228	0.0210642	0.0301102
a36	0.0627242	0.0658101	0.0802335	0.11656	0.159346	0.16359	0.132679	0.0896894	0.0517505	0.0231908	0.0232055	0.0312207
