 	arrête	de	te	plaindre	apporte	plutôt	des	arguments	</S>
a66	0.268712	0.187035	0.1332	0.145518	0.130377	0.0559188	0.0457803	0.0231209	0.0103391
a87	0.247856	0.144882	0.0721642	0.0941714	0.10675	0.0740153	0.114682	0.104108	0.0413713
a23	0.363604	0.24122	0.171461	0.142909	0.03866	0.0114232	0.0115566	0.0111968	0.00796942
a5	0.375809	0.290306	0.161947	0.101089	0.0389768	0.0211434	0.00464508	0.00251976	0.00356442
a41	0.263458	0.206611	0.137131	0.096895	0.0698424	0.0769379	0.0499508	0.055522	0.0436522
a21	0.205131	0.147439	0.106903	0.101337	0.121171	0.0886887	0.0752444	0.0867351	0.0673511
a5	0.174629	0.11977	0.0917118	0.0919555	0.146234	0.112214	0.0799906	0.10259	0.0809053
a23	0.116229	0.0961614	0.0802151	0.0968713	0.182449	0.144405	0.0868179	0.110507	0.0863446
a85	0.0679436	0.0635917	0.0535306	0.0727752	0.144402	0.238281	0.161548	0.113919	0.0840088
a5	0.0365806	0.0318626	0.0199925	0.0357695	0.0544542	0.173801	0.225434	0.197238	0.224868
a6	0.0541394	0.0541002	0.0308173	0.0695718	0.1648	0.294196	0.194271	0.0714913	0.066613
a36	0.0434118	0.0386805	0.0277483	0.0434787	0.109321	0.249034	0.187338	0.114299	0.186689
a2	0.136693	0.11067	0.0595717	0.0619729	0.0556204	0.090047	0.111605	0.0962705	0.277549
a57	0.122631	0.116215	0.0804346	0.0727148	0.0450008	0.055159	0.126361	0.130576	0.250908
a87	0.101411	0.0680799	0.0510494	0.0521328	0.0723687	0.0889232	0.188928	0.200631	0.176476
a23	0.096606	0.0624051	0.0540635	0.0529426	0.0741632	0.0805366	0.172047	0.20408	0.203156
a40	0.0563782	0.0343842	0.0202216	0.0188246	0.0374421	0.0774479	0.189792	0.249007	0.316502
a36	0.0172891	0.00913018	0.00640845	0.0132502	0.116221	0.248109	0.3065	0.16491	0.118182
a5	0.00166648	0.00119513	0.00093653	0.00189034	0.0190276	0.0660001	0.301997	0.342301	0.264986
a36	0.00257718	0.00187881	0.00140157	0.00234805	0.0146376	0.0554292	0.281183	0.315319	0.325225
a27	0.00664814	0.00562793	0.00375552	0.00542217	0.0140064	0.0393065	0.17483	0.28936	0.461044
a61	0.040814	0.0283027	0.0270789	0.027365	0.0324542	0.0533049	0.0939363	0.128189	0.568555
a21	0.00772902	0.00611292	0.00468569	0.00555759	0.0104189	0.0314316	0.111516	0.193732	0.628816
a85	0.00832744	0.00752524	0.00588053	0.00849144	0.0125106	0.0277103	0.133154	0.258943	0.537457
a36	0.00265643	0.00218962	0.0013932	0.00188517	0.00232619	0.00743874	0.0757427	0.218181	0.688187
a2	0.00585335	0.00433804	0.00276395	0.00267098	0.00638847	0.0259539	0.0946099	0.201742	0.65568
a57	0.07501	0.0479875	0.0427474	0.0382062	0.0330056	0.0366818	0.100903	0.186703	0.438755
a87	0.23108	0.1054	0.0798968	0.0793642	0.0841368	0.0674099	0.0822146	0.100965	0.169532
a23	0.37424	0.14623	0.0907845	0.0854274	0.0395315	0.0291926	0.0719067	0.0858845	0.0768021
a87	0.221211	0.0833679	0.050323	0.0362335	0.0315767	0.0389008	0.0960256	0.120146	0.322215
</S>	0.0266791	0.00992675	0.00494477	0.00442437	0.00843036	0.0172949	0.0891041	0.19547	0.643725
