 	j'	ai	loupé	l'	ami	que	je	suis	allé	voir	hier	</S>
a66	0.118044	0.107283	0.174097	0.15493	0.150456	0.110118	0.0832998	0.0565721	0.0227315	0.0104693	0.00614582	0.00585287
a87	0.448849	0.231972	0.0690244	0.0377411	0.0503371	0.0520245	0.0429374	0.0316072	0.0124305	0.00752146	0.00661645	0.0089386
a23	0.388079	0.197094	0.0753544	0.0533629	0.06523	0.065812	0.0535399	0.0419241	0.0227533	0.0133872	0.0105467	0.0129164
a83	0.306573	0.151916	0.0734958	0.0612148	0.0793813	0.0836908	0.0664767	0.0417241	0.0240952	0.0234952	0.0324453	0.0554922
a0	0.179601	0.12309	0.0711312	0.0690948	0.102311	0.0899366	0.0695073	0.0547817	0.0499653	0.0487241	0.0589953	0.0828619
a24	0.305683	0.187854	0.115019	0.0823682	0.0773454	0.0568517	0.0422089	0.0346567	0.0245504	0.0199884	0.022653	0.0308207
a11	0.180411	0.19048	0.146538	0.0979638	0.0909066	0.0697383	0.0516738	0.0478472	0.0347511	0.0253184	0.0285573	0.0358134
a93	0.151127	0.177962	0.122596	0.0838013	0.0825204	0.0703087	0.0568703	0.0573813	0.0527121	0.0462284	0.048264	0.0502286
a4	0.110773	0.162231	0.137695	0.103806	0.097207	0.0736455	0.0575947	0.0488432	0.046734	0.0488376	0.0544516	0.0581815
a13	0.109565	0.145296	0.144754	0.120021	0.117077	0.0913808	0.0736831	0.0552713	0.0420866	0.0383205	0.033835	0.0287096
a62	0.0797222	0.110773	0.13496	0.118549	0.11536	0.0947261	0.0806	0.0617417	0.0520911	0.0511084	0.0510331	0.0493345
a21	0.0549313	0.0817872	0.136997	0.129647	0.132278	0.116114	0.106904	0.076222	0.0500367	0.0416264	0.0381867	0.0352697
a12	0.0462259	0.0636307	0.126483	0.120864	0.120035	0.106544	0.10815	0.0833613	0.0624575	0.0551647	0.0526498	0.054433
a47	0.0286201	0.0399503	0.110139	0.11773	0.120348	0.120369	0.132929	0.104208	0.0773946	0.0595253	0.0474128	0.0413735
a88	0.0177516	0.0283541	0.107144	0.138582	0.153406	0.15915	0.149538	0.102122	0.0589728	0.0356234	0.0265677	0.0227869
a62	0.0109177	0.0176466	0.0901357	0.138947	0.166977	0.17274	0.157675	0.106482	0.0582111	0.0306045	0.0241113	0.0255521
a96	0.0117728	0.0177764	0.0782992	0.125146	0.140738	0.158435	0.157672	0.109231	0.0713775	0.0472563	0.0406275	0.0416682
a70	0.0102862	0.014727	0.0619128	0.110545	0.128417	0.149967	0.159386	0.115468	0.0846267	0.058063	0.0521173	0.054485
a90	0.00808364	0.0110098	0.0469038	0.101941	0.140135	0.158424	0.157072	0.114597	0.101102	0.0624476	0.0486242	0.0496595
a79	0.00730258	0.00862326	0.0287195	0.0503011	0.0656919	0.0917764	0.120729	0.130495	0.139528	0.120214	0.117831	0.118788
a44	0.00426828	0.00525608	0.0192119	0.0390589	0.0565941	0.0854546	0.112895	0.114477	0.136723	0.124503	0.143242	0.158316
a7	0.00506751	0.00564633	0.0178841	0.0379021	0.0585863	0.0823766	0.103633	0.0989028	0.137675	0.126038	0.14711	0.179178
a75	0.00331736	0.00353799	0.00994353	0.0237866	0.0379945	0.0560914	0.0778441	0.086375	0.152891	0.15173	0.173029	0.223459
a6	0.00205117	0.00184667	0.00454994	0.0101899	0.0139946	0.0205562	0.0331317	0.042287	0.0853334	0.144712	0.271911	0.369436
a36	0.00143228	0.00128903	0.00297154	0.00759395	0.0108848	0.016977	0.0261343	0.0314215	0.0766462	0.134383	0.275402	0.414864
a2	0.00279801	0.00226711	0.00387123	0.00950404	0.0136644	0.0179926	0.0202357	0.0208673	0.064478	0.124999	0.264138	0.455184
a57	0.027044	0.0257515	0.0246114	0.0301287	0.0314947	0.0316105	0.0290487	0.0282894	0.0565601	0.112616	0.237479	0.365366
a87	0.0604815	0.0442244	0.0465076	0.0508856	0.0502455	0.0468877	0.045474	0.0541571	0.0942134	0.137645	0.175243	0.194036
a99	0.156829	0.0850409	0.052624	0.0532811	0.0479664	0.0447508	0.0479473	0.0688946	0.0909643	0.112107	0.122111	0.117484
a50	0.0742581	0.0526965	0.0235711	0.0198161	0.0269711	0.0395083	0.0541261	0.0874448	0.123485	0.141949	0.170008	0.186165
a83	0.00248057	0.00262765	0.00264209	0.00502316	0.00917353	0.0140663	0.0242935	0.0493661	0.135972	0.20554	0.256944	0.29187
a71	0.00078064	0.00108056	0.00251915	0.00664986	0.0118791	0.0189814	0.0332836	0.0533153	0.130327	0.197752	0.248921	0.29451
a62	0.00102105	0.00126433	0.00212837	0.00482852	0.00917399	0.0136591	0.0231439	0.034909	0.0940901	0.15979	0.26257	0.393422
a88	0.00105465	0.00114823	0.00260838	0.00466305	0.00705428	0.0114487	0.0216893	0.0354939	0.0865767	0.168604	0.261636	0.398024
